(241s) phi_loss: -371.312,  theta_loss: 7504.468,  ess: 2.888
(241s) phi_loss: -540.267,  theta_loss: 3151.899,  ess: 4.214
(246s) phi_loss: -540.335,  theta_loss: 2938.231,  ess: 4.135
(246s) phi_loss: -533.122,  theta_loss: 2619.405,  ess: 3.546
(244s) phi_loss: -553.458,  theta_loss: 2394.361,  ess: 3.402
(246s) phi_loss: -568.775,  theta_loss: 2199.727,  ess: 3.341
(245s) phi_loss: -594.524,  theta_loss: 2039.286,  ess: 3.543
(244s) phi_loss: -611.062,  theta_loss: 1875.508,  ess: 3.720
(242s) phi_loss: -621.371,  theta_loss: 1711.421,  ess: 3.784
(247s) phi_loss: -627.246,  theta_loss: 1612.074,  ess: 3.742
(246s) phi_loss: -633.066,  theta_loss: 1545.783,  ess: 3.718
(246s) phi_loss: -638.401,  theta_loss: 1486.256,  ess: 3.720
(245s) phi_loss: -648.657,  theta_loss: 1446.405,  ess: 3.784
(248s) phi_loss: -657.903,  theta_loss: 1406.516,  ess: 3.906
(244s) phi_loss: -666.640,  theta_loss: 1355.998,  ess: 3.975
(244s) phi_loss: -676.139,  theta_loss: 1338.252,  ess: 4.134
(248s) phi_loss: -678.017,  theta_loss: 1304.653,  ess: 4.167
(248s) phi_loss: -682.732,  theta_loss: 1286.748,  ess: 4.163
(247s) phi_loss: -684.428,  theta_loss: 1281.317,  ess: 4.190
(247s) phi_loss: -685.460,  theta_loss: 1262.285,  ess: 4.176
(244s) phi_loss: -680.790,  theta_loss: 1245.734,  ess: 4.109
(245s) phi_loss: -678.576,  theta_loss: 1252.371,  ess: 4.078
(242s) phi_loss: -680.099,  theta_loss: 1239.669,  ess: 4.011
(248s) phi_loss: -688.981,  theta_loss: 1228.693,  ess: 4.073
(247s) phi_loss: -682.197,  theta_loss: 1236.230,  ess: 4.107
(246s) phi_loss: -674.796,  theta_loss: 1241.162,  ess: 4.103
(247s) phi_loss: -676.991,  theta_loss: 1254.073,  ess: 4.118
(247s) phi_loss: -670.417,  theta_loss: 1252.895,  ess: 4.174
(242s) phi_loss: -667.929,  theta_loss: 1254.199,  ess: 4.138
(242s) phi_loss: -664.907,  theta_loss: 1255.399,  ess: 4.121
(242s) phi_loss: -667.427,  theta_loss: 1233.335,  ess: 4.100
(242s) phi_loss: -666.770,  theta_loss: 1230.960,  ess: 4.094
(242s) phi_loss: -667.133,  theta_loss: 1224.884,  ess: 4.082
(248s) phi_loss: -670.938,  theta_loss: 1210.094,  ess: 4.105
(246s) phi_loss: -669.762,  theta_loss: 1210.785,  ess: 4.085
(247s) phi_loss: -671.211,  theta_loss: 1203.014,  ess: 4.052
(246s) phi_loss: -672.505,  theta_loss: 1192.082,  ess: 4.077
(246s) phi_loss: -674.588,  theta_loss: 1184.125,  ess: 4.062
(246s) phi_loss: -672.364,  theta_loss: 1188.721,  ess: 4.057
(248s) phi_loss: -676.384,  theta_loss: 1177.148,  ess: 4.082
(248s) phi_loss: -678.628,  theta_loss: 1164.928,  ess: 4.067
(248s) phi_loss: -680.117,  theta_loss: 1157.870,  ess: 4.078
(248s) phi_loss: -677.933,  theta_loss: 1159.269,  ess: 4.056
(243s) phi_loss: -680.359,  theta_loss: 1149.574,  ess: 4.063
(243s) phi_loss: -678.553,  theta_loss: 1160.280,  ess: 4.055
(243s) phi_loss: -669.821,  theta_loss: 1181.386,  ess: 4.072
(243s) phi_loss: -670.624,  theta_loss: 1055.094,  ess: 4.063
(247s) phi_loss: -676.518,  theta_loss: 948.922,  ess: 4.140
(245s) phi_loss: -676.325,  theta_loss: 933.440,  ess: 4.197
(243s) phi_loss: -677.385,  theta_loss: 910.427,  ess: 4.176
(242s) phi_loss: -681.238,  theta_loss: 896.431,  ess: 4.240
(242s) phi_loss: -687.111,  theta_loss: 882.506,  ess: 4.268
(243s) phi_loss: -687.749,  theta_loss: 879.336,  ess: 4.232
(242s) phi_loss: -692.439,  theta_loss: 866.445,  ess: 4.251
(244s) phi_loss: -696.086,  theta_loss: 845.072,  ess: 4.322
(247s) phi_loss: -699.010,  theta_loss: 836.641,  ess: 4.328
(242s) phi_loss: -698.704,  theta_loss: 828.114,  ess: 4.303
(242s) phi_loss: -698.223,  theta_loss: 821.470,  ess: 4.296
(244s) phi_loss: -698.843,  theta_loss: 812.486,  ess: 4.316
(247s) phi_loss: -702.249,  theta_loss: 810.769,  ess: 4.371
(246s) phi_loss: -703.120,  theta_loss: 810.016,  ess: 4.399
(246s) phi_loss: -705.890,  theta_loss: 811.785,  ess: 4.415
(246s) phi_loss: -704.626,  theta_loss: 797.615,  ess: 4.388
(247s) phi_loss: -704.441,  theta_loss: 791.669,  ess: 4.397
(244s) phi_loss: -702.741,  theta_loss: 780.886,  ess: 4.346
(244s) phi_loss: -705.659,  theta_loss: 791.390,  ess: 4.398
(245s) phi_loss: -706.450,  theta_loss: 777.197,  ess: 4.409
(243s) phi_loss: -704.692,  theta_loss: 775.991,  ess: 4.394
(247s) phi_loss: -706.735,  theta_loss: 772.245,  ess: 4.398
(246s) phi_loss: -705.776,  theta_loss: 769.860,  ess: 4.406
(241s) phi_loss: -706.159,  theta_loss: 761.278,  ess: 4.407
(241s) phi_loss: -706.612,  theta_loss: 756.669,  ess: 4.405
(242s) phi_loss: -706.370,  theta_loss: 744.628,  ess: 4.388
(242s) phi_loss: -709.757,  theta_loss: 753.231,  ess: 4.452
(244s) phi_loss: -707.401,  theta_loss: 740.166,  ess: 4.411
(243s) phi_loss: -708.468,  theta_loss: 744.514,  ess: 4.424
(248s) phi_loss: -711.084,  theta_loss: 747.478,  ess: 4.465
(245s) phi_loss: -712.002,  theta_loss: 748.229,  ess: 4.455
(243s) phi_loss: -713.123,  theta_loss: 738.319,  ess: 4.488
(246s) phi_loss: -713.362,  theta_loss: 744.878,  ess: 4.480
(248s) phi_loss: -714.729,  theta_loss: 740.810,  ess: 4.470
(245s) phi_loss: -720.133,  theta_loss: 741.220,  ess: 4.532
(242s) phi_loss: -718.157,  theta_loss: 734.634,  ess: 4.530
(245s) phi_loss: -718.295,  theta_loss: 738.101,  ess: 4.515
(243s) phi_loss: -719.676,  theta_loss: 729.463,  ess: 4.542
(248s) phi_loss: -718.877,  theta_loss: 721.975,  ess: 4.513
(247s) phi_loss: -718.179,  theta_loss: 719.912,  ess: 4.495
(246s) phi_loss: -718.951,  theta_loss: 723.003,  ess: 4.528
(247s) phi_loss: -719.573,  theta_loss: 725.041,  ess: 4.519
(247s) phi_loss: -719.755,  theta_loss: 725.889,  ess: 4.505
(246s) phi_loss: -720.903,  theta_loss: 714.741,  ess: 4.536
(247s) phi_loss: -720.628,  theta_loss: 717.169,  ess: 4.546
(246s) phi_loss: -719.458,  theta_loss: 714.088,  ess: 4.532
(242s) phi_loss: -718.134,  theta_loss: 710.680,  ess: 4.513
(245s) phi_loss: -721.885,  theta_loss: 718.040,  ess: 4.549
(246s) phi_loss: -721.625,  theta_loss: 719.667,  ess: 4.554
(242s) phi_loss: -721.450,  theta_loss: 714.804,  ess: 4.555
(247s) phi_loss: -723.275,  theta_loss: 708.269,  ess: 4.574
(245s) phi_loss: -717.728,  theta_loss: 709.148,  ess: 4.525
(248s) phi_loss: -719.913,  theta_loss: 708.556,  ess: 4.513
(248s) phi_loss: -721.503,  theta_loss: 710.367,  ess: 4.553
(246s) phi_loss: -721.950,  theta_loss: 712.452,  ess: 4.546
(242s) phi_loss: -720.820,  theta_loss: 708.873,  ess: 4.534
(242s) phi_loss: -720.535,  theta_loss: 701.992,  ess: 4.547
(243s) phi_loss: -720.005,  theta_loss: 695.696,  ess: 4.536
(246s) phi_loss: -722.393,  theta_loss: 707.008,  ess: 4.561
(247s) phi_loss: -721.524,  theta_loss: 699.800,  ess: 4.539
(247s) phi_loss: -719.602,  theta_loss: 695.577,  ess: 4.555
(247s) phi_loss: -717.757,  theta_loss: 693.718,  ess: 4.536
(242s) phi_loss: -717.756,  theta_loss: 699.988,  ess: 4.536
(244s) phi_loss: -718.361,  theta_loss: 693.242,  ess: 4.540
(248s) phi_loss: -718.590,  theta_loss: 690.120,  ess: 4.536
(243s) phi_loss: -720.977,  theta_loss: 690.663,  ess: 4.565
(242s) phi_loss: -720.143,  theta_loss: 697.695,  ess: 4.568
(243s) phi_loss: -718.131,  theta_loss: 695.048,  ess: 4.546
(246s) phi_loss: -718.134,  theta_loss: 701.003,  ess: 4.552
(247s) phi_loss: -719.659,  theta_loss: 698.584,  ess: 4.575
(243s) phi_loss: -720.153,  theta_loss: 697.836,  ess: 4.584
(243s) phi_loss: -716.608,  theta_loss: 689.474,  ess: 4.556
(243s) phi_loss: -713.453,  theta_loss: 688.155,  ess: 4.525
(243s) phi_loss: -712.814,  theta_loss: 694.800,  ess: 4.535
(243s) phi_loss: -713.050,  theta_loss: 693.897,  ess: 4.534
(243s) phi_loss: -712.202,  theta_loss: 694.453,  ess: 4.544
(245s) phi_loss: -711.644,  theta_loss: 701.639,  ess: 4.538
(241s) phi_loss: -711.337,  theta_loss: 697.462,  ess: 4.547
(233s) phi_loss: -710.675,  theta_loss: 688.942,  ess: 4.611
(234s) phi_loss: -710.043,  theta_loss: 681.672,  ess: 4.626
(234s) phi_loss: -709.885,  theta_loss: 681.191,  ess: 4.621
(233s) phi_loss: -708.435,  theta_loss: 682.652,  ess: 4.616
(234s) phi_loss: -709.582,  theta_loss: 689.346,  ess: 4.627
