(61s) phi_loss: -146.643,  theta_loss: 11493.695,  ess: 1.833
(62s) phi_loss: -370.367,  theta_loss: 5310.264,  ess: 3.087
(62s) phi_loss: -427.190,  theta_loss: 2138.803,  ess: 3.193
(62s) phi_loss: -448.948,  theta_loss: 995.219,  ess: 3.356
(62s) phi_loss: -472.442,  theta_loss: 709.092,  ess: 3.603
(62s) phi_loss: -495.795,  theta_loss: 619.147,  ess: 3.727
(63s) phi_loss: -514.945,  theta_loss: 567.807,  ess: 3.837
(63s) phi_loss: -525.384,  theta_loss: 532.858,  ess: 3.978
(62s) phi_loss: -530.726,  theta_loss: 500.017,  ess: 4.084
(63s) phi_loss: -533.788,  theta_loss: 456.510,  ess: 4.148
(63s) phi_loss: -535.151,  theta_loss: 403.495,  ess: 4.213
(63s) phi_loss: -537.294,  theta_loss: 347.413,  ess: 4.278
(62s) phi_loss: -539.930,  theta_loss: 304.635,  ess: 4.293
(62s) phi_loss: -543.196,  theta_loss: 274.408,  ess: 4.293
(62s) phi_loss: -547.823,  theta_loss: 250.205,  ess: 4.362
(62s) phi_loss: -552.259,  theta_loss: 229.972,  ess: 4.399
(62s) phi_loss: -555.526,  theta_loss: 213.106,  ess: 4.398
(62s) phi_loss: -559.209,  theta_loss: 200.297,  ess: 4.425
(61s) phi_loss: -562.759,  theta_loss: 182.788,  ess: 4.409
(61s) phi_loss: -565.264,  theta_loss: 174.991,  ess: 4.442
(62s) phi_loss: -567.773,  theta_loss: 164.914,  ess: 4.438
(61s) phi_loss: -571.450,  theta_loss: 161.052,  ess: 4.485
(62s) phi_loss: -573.404,  theta_loss: 146.054,  ess: 4.460
(62s) phi_loss: -570.714,  theta_loss: 180.393,  ess: 4.381
(62s) phi_loss: -571.624,  theta_loss: 148.058,  ess: 4.522
(63s) phi_loss: -570.613,  theta_loss: 123.324,  ess: 4.431
(63s) phi_loss: -573.061,  theta_loss: 135.181,  ess: 4.584
(63s) phi_loss: -573.559,  theta_loss: 137.385,  ess: 4.596
(63s) phi_loss: -573.818,  theta_loss: 125.408,  ess: 4.613
(64s) phi_loss: -573.917,  theta_loss: 125.035,  ess: 4.605
