(46s) phi_loss: 857.247,  theta_loss: 75150.590,  ess: 1.084
(45s) phi_loss: 450.224,  theta_loss: 9486.378,  ess: 1.270
(46s) phi_loss: 21.569,  theta_loss: 3193.485,  ess: 1.665
(45s) phi_loss: -207.288,  theta_loss: 1448.477,  ess: 2.112
(46s) phi_loss: -327.310,  theta_loss: 866.319,  ess: 2.286
(46s) phi_loss: -422.213,  theta_loss: 550.962,  ess: 2.369
(46s) phi_loss: -548.752,  theta_loss: 226.767,  ess: 2.983
(45s) phi_loss: -664.351,  theta_loss: 4.185,  ess: 3.859
(45s) phi_loss: -719.377,  theta_loss: -48.060,  ess: 4.138
(45s) phi_loss: -756.403,  theta_loss: -84.618,  ess: 4.569
(45s) phi_loss: -758.908,  theta_loss: -104.418,  ess: 4.849
(46s) phi_loss: -744.034,  theta_loss: -112.721,  ess: 4.916
(46s) phi_loss: -714.757,  theta_loss: -116.662,  ess: 4.934
(45s) phi_loss: -685.241,  theta_loss: -121.113,  ess: 5.020
(45s) phi_loss: -639.150,  theta_loss: -120.394,  ess: 4.977
(46s) phi_loss: -607.150,  theta_loss: -120.623,  ess: 4.969
(46s) phi_loss: -578.328,  theta_loss: -118.869,  ess: 4.923
(46s) phi_loss: -551.613,  theta_loss: -114.098,  ess: 4.815
(46s) phi_loss: -523.844,  theta_loss: -103.588,  ess: 4.656
(45s) phi_loss: -501.868,  theta_loss: -97.249,  ess: 4.541
(45s) phi_loss: -484.843,  theta_loss: -88.730,  ess: 4.477
(46s) phi_loss: -462.536,  theta_loss: -71.915,  ess: 4.348
(45s) phi_loss: -444.046,  theta_loss: -65.543,  ess: 4.269
(46s) phi_loss: -433.765,  theta_loss: -45.069,  ess: 4.205
(45s) phi_loss: -419.732,  theta_loss: -39.544,  ess: 4.101
(45s) phi_loss: -415.770,  theta_loss: -32.539,  ess: 4.099
(46s) phi_loss: -408.051,  theta_loss: -12.056,  ess: 4.060
(45s) phi_loss: -396.968,  theta_loss: 7.601,  ess: 3.927
(46s) phi_loss: -389.663,  theta_loss: 43.433,  ess: 3.814
(46s) phi_loss: -383.899,  theta_loss: 58.272,  ess: 3.800
(46s) phi_loss: -378.836,  theta_loss: 62.294,  ess: 3.773
(46s) phi_loss: -382.165,  theta_loss: 58.883,  ess: 3.857
(46s) phi_loss: -379.557,  theta_loss: 71.590,  ess: 3.843
(46s) phi_loss: -371.863,  theta_loss: 101.089,  ess: 3.790
(46s) phi_loss: -378.627,  theta_loss: 81.333,  ess: 4.022
(46s) phi_loss: -395.300,  theta_loss: 10.972,  ess: 4.386
(45s) phi_loss: -415.606,  theta_loss: -57.233,  ess: 4.755
(45s) phi_loss: -426.710,  theta_loss: -85.668,  ess: 4.987
(45s) phi_loss: -431.336,  theta_loss: -105.701,  ess: 5.108
(45s) phi_loss: -432.117,  theta_loss: -107.131,  ess: 5.215
(45s) phi_loss: -434.123,  theta_loss: -111.116,  ess: 5.266
(45s) phi_loss: -433.145,  theta_loss: -111.420,  ess: 5.263
(46s) phi_loss: -433.618,  theta_loss: -110.874,  ess: 5.329
(46s) phi_loss: -435.502,  theta_loss: -109.355,  ess: 5.311
(46s) phi_loss: -432.384,  theta_loss: -103.030,  ess: 5.302
(46s) phi_loss: -432.086,  theta_loss: -93.464,  ess: 5.195
(46s) phi_loss: -433.309,  theta_loss: -87.170,  ess: 5.212
(45s) phi_loss: -428.473,  theta_loss: -67.093,  ess: 5.055
(45s) phi_loss: -429.679,  theta_loss: -51.075,  ess: 4.948
(46s) phi_loss: -429.826,  theta_loss: -45.234,  ess: 4.970
(46s) phi_loss: -428.808,  theta_loss: -16.511,  ess: 4.858
(46s) phi_loss: -425.510,  theta_loss: 10.808,  ess: 4.793
(46s) phi_loss: -419.926,  theta_loss: 35.546,  ess: 4.650
(45s) phi_loss: -416.627,  theta_loss: 58.895,  ess: 4.619
(46s) phi_loss: -409.936,  theta_loss: 101.345,  ess: 4.418
(46s) phi_loss: -404.838,  theta_loss: 112.102,  ess: 4.360
(45s) phi_loss: -398.943,  theta_loss: 146.654,  ess: 4.384
(46s) phi_loss: -388.789,  theta_loss: 208.502,  ess: 4.231
(46s) phi_loss: -382.752,  theta_loss: 241.201,  ess: 4.122
(45s) phi_loss: -382.690,  theta_loss: 247.366,  ess: 4.176
(45s) phi_loss: -389.614,  theta_loss: 208.955,  ess: 4.269
(45s) phi_loss: -390.201,  theta_loss: 227.917,  ess: 4.291
(45s) phi_loss: -394.523,  theta_loss: 229.087,  ess: 4.184
(45s) phi_loss: -394.605,  theta_loss: 256.025,  ess: 4.157
(45s) phi_loss: -393.206,  theta_loss: 268.796,  ess: 4.146
(45s) phi_loss: 745.606,  theta_loss: 7438.354,  ess: 1.140
(45s) phi_loss: 274.679,  theta_loss: 1203.574,  ess: 1.813
(45s) phi_loss: 8.292,  theta_loss: 904.188,  ess: 2.947
(45s) phi_loss: -19.285,  theta_loss: 885.669,  ess: 3.222
(45s) phi_loss: -20.011,  theta_loss: 879.252,  ess: 3.342
(45s) phi_loss: -17.846,  theta_loss: 853.805,  ess: 3.425
