(247s) phi_loss: -379.650,  theta_loss: 7435.601,  ess: 2.707
(243s) phi_loss: -533.777,  theta_loss: 3290.335,  ess: 3.945
(242s) phi_loss: -561.149,  theta_loss: 3060.749,  ess: 4.618
(242s) phi_loss: -543.851,  theta_loss: 2794.093,  ess: 4.006
(244s) phi_loss: -535.178,  theta_loss: 2458.458,  ess: 3.490
(244s) phi_loss: -566.891,  theta_loss: 2310.689,  ess: 3.637
(243s) phi_loss: -589.484,  theta_loss: 2027.911,  ess: 3.558
(241s) phi_loss: -612.277,  theta_loss: 1814.029,  ess: 3.591
(243s) phi_loss: -632.473,  theta_loss: 1698.351,  ess: 3.659
(244s) phi_loss: -645.335,  theta_loss: 1684.531,  ess: 3.690
(243s) phi_loss: -659.239,  theta_loss: 1658.820,  ess: 3.716
(243s) phi_loss: -670.638,  theta_loss: 1675.306,  ess: 3.814
(244s) phi_loss: -674.096,  theta_loss: 1666.024,  ess: 3.786
(243s) phi_loss: -664.618,  theta_loss: 1655.587,  ess: 3.633
(242s) phi_loss: -660.667,  theta_loss: 1671.338,  ess: 3.621
(245s) phi_loss: -657.389,  theta_loss: 1666.727,  ess: 3.582
(244s) phi_loss: -654.239,  theta_loss: 1670.590,  ess: 3.553
(242s) phi_loss: -651.914,  theta_loss: 1670.467,  ess: 3.473
(242s) phi_loss: -650.479,  theta_loss: 1683.016,  ess: 3.433
(242s) phi_loss: -654.988,  theta_loss: 1689.357,  ess: 3.491
(244s) phi_loss: -660.414,  theta_loss: 1710.917,  ess: 3.515
(242s) phi_loss: -662.369,  theta_loss: 1750.074,  ess: 3.497
(244s) phi_loss: -669.271,  theta_loss: 1734.788,  ess: 3.489
(244s) phi_loss: -669.632,  theta_loss: 1707.798,  ess: 3.494
(242s) phi_loss: -666.025,  theta_loss: 1704.720,  ess: 3.466
(243s) phi_loss: -664.408,  theta_loss: 1717.752,  ess: 3.459
(245s) phi_loss: -660.746,  theta_loss: 1753.265,  ess: 3.452
(243s) phi_loss: -657.269,  theta_loss: 1794.874,  ess: 3.491
(244s) phi_loss: -646.198,  theta_loss: 1974.603,  ess: 3.462
(243s) phi_loss: -643.421,  theta_loss: 1900.671,  ess: 3.440
(245s) phi_loss: -650.142,  theta_loss: 2004.653,  ess: 3.346
(242s) phi_loss: -653.402,  theta_loss: 1909.707,  ess: 3.403
(243s) phi_loss: -651.349,  theta_loss: 2059.404,  ess: 3.342
(242s) phi_loss: -663.343,  theta_loss: 1949.509,  ess: 3.317
(243s) phi_loss: -678.766,  theta_loss: 1957.997,  ess: 3.330
(245s) phi_loss: -694.202,  theta_loss: 1813.291,  ess: 3.354
(243s) phi_loss: -702.782,  theta_loss: 1846.792,  ess: 3.307
(243s) phi_loss: -700.494,  theta_loss: 1732.317,  ess: 3.303
(244s) phi_loss: -683.559,  theta_loss: 2044.550,  ess: 3.309
(243s) phi_loss: -662.386,  theta_loss: 2130.926,  ess: 3.424
(242s) phi_loss: -659.684,  theta_loss: 1996.582,  ess: 3.440
(242s) phi_loss: -667.180,  theta_loss: 1965.290,  ess: 3.431
(242s) phi_loss: -676.175,  theta_loss: 2021.771,  ess: 3.381
(242s) phi_loss: -686.280,  theta_loss: 2106.314,  ess: 3.422
(243s) phi_loss: -695.169,  theta_loss: 2095.420,  ess: 3.444
(242s) phi_loss: -703.751,  theta_loss: 2168.826,  ess: 3.449
(244s) phi_loss: -716.127,  theta_loss: 2153.281,  ess: 3.481
(245s) phi_loss: -724.694,  theta_loss: 2215.637,  ess: 3.479
(243s) phi_loss: -733.062,  theta_loss: 2252.067,  ess: 3.485
(243s) phi_loss: -737.927,  theta_loss: 2248.311,  ess: 3.488
(242s) phi_loss: -741.126,  theta_loss: 2202.759,  ess: 3.445
(241s) phi_loss: -745.350,  theta_loss: 2185.311,  ess: 3.426
(241s) phi_loss: -748.757,  theta_loss: 2165.052,  ess: 3.435
(242s) phi_loss: -752.141,  theta_loss: 2165.018,  ess: 3.466
(242s) phi_loss: -756.451,  theta_loss: 2151.689,  ess: 3.482
(243s) phi_loss: -759.743,  theta_loss: 2167.943,  ess: 3.493
(244s) phi_loss: -759.786,  theta_loss: 2160.416,  ess: 3.480
(242s) phi_loss: -759.450,  theta_loss: 2140.250,  ess: 3.450
(242s) phi_loss: -759.552,  theta_loss: 2130.542,  ess: 3.444
(242s) phi_loss: -762.820,  theta_loss: 2103.715,  ess: 3.478
(245s) phi_loss: -766.727,  theta_loss: 2132.741,  ess: 3.472
(243s) phi_loss: -769.408,  theta_loss: 2104.024,  ess: 3.474
(242s) phi_loss: -767.912,  theta_loss: 2094.055,  ess: 3.460
(242s) phi_loss: -769.118,  theta_loss: 2129.507,  ess: 3.452
