(236s) phi_loss: -252.059,  theta_loss: 11410.312,  ess: 2.254
(236s) phi_loss: -484.557,  theta_loss: 3789.511,  ess: 3.657
(233s) phi_loss: -510.817,  theta_loss: 3002.931,  ess: 3.140
(232s) phi_loss: -540.122,  theta_loss: 2768.733,  ess: 3.231
(231s) phi_loss: -503.876,  theta_loss: 2592.494,  ess: 3.091
(232s) phi_loss: -547.402,  theta_loss: 2403.517,  ess: 3.404
(233s) phi_loss: -583.661,  theta_loss: 2328.643,  ess: 3.758
(233s) phi_loss: -595.428,  theta_loss: 2266.330,  ess: 3.986
(232s) phi_loss: -599.232,  theta_loss: 2223.047,  ess: 4.132
(232s) phi_loss: -594.125,  theta_loss: 2213.740,  ess: 4.187
(231s) phi_loss: -591.554,  theta_loss: 2184.084,  ess: 4.232
(231s) phi_loss: -588.337,  theta_loss: 2148.395,  ess: 4.242
(231s) phi_loss: -587.714,  theta_loss: 2125.168,  ess: 4.203
(231s) phi_loss: -587.884,  theta_loss: 2068.546,  ess: 4.184
(234s) phi_loss: -587.689,  theta_loss: 2055.233,  ess: 4.149
(231s) phi_loss: -586.706,  theta_loss: 2018.692,  ess: 4.135
(231s) phi_loss: -585.837,  theta_loss: 2014.748,  ess: 4.154
(231s) phi_loss: -588.899,  theta_loss: 2020.990,  ess: 4.209
(231s) phi_loss: -591.689,  theta_loss: 2000.232,  ess: 4.272
(230s) phi_loss: -592.575,  theta_loss: 2007.099,  ess: 4.289
(232s) phi_loss: -592.788,  theta_loss: 2001.500,  ess: 4.279
(234s) phi_loss: -593.999,  theta_loss: 2000.902,  ess: 4.290
(233s) phi_loss: -595.603,  theta_loss: 1998.345,  ess: 4.301
(234s) phi_loss: -595.320,  theta_loss: 1986.400,  ess: 4.281
(233s) phi_loss: -596.873,  theta_loss: 2003.674,  ess: 4.262
(232s) phi_loss: -598.521,  theta_loss: 2004.287,  ess: 4.265
(234s) phi_loss: -599.555,  theta_loss: 2007.939,  ess: 4.254
(234s) phi_loss: -600.542,  theta_loss: 2006.475,  ess: 4.244
(233s) phi_loss: -601.741,  theta_loss: 1998.612,  ess: 4.224
(233s) phi_loss: -601.787,  theta_loss: 1971.515,  ess: 4.218
(232s) phi_loss: -602.666,  theta_loss: 1983.224,  ess: 4.210
(231s) phi_loss: -603.485,  theta_loss: 1994.687,  ess: 4.197
(234s) phi_loss: -603.812,  theta_loss: 1963.273,  ess: 4.177
(234s) phi_loss: -603.760,  theta_loss: 1968.703,  ess: 4.159
(240s) phi_loss: -603.532,  theta_loss: 1979.106,  ess: 4.141
(236s) phi_loss: -603.771,  theta_loss: 1964.353,  ess: 4.126
(236s) phi_loss: -602.890,  theta_loss: 1954.555,  ess: 4.091
(238s) phi_loss: -602.915,  theta_loss: 1951.358,  ess: 4.074
(240s) phi_loss: -603.110,  theta_loss: 1966.755,  ess: 4.053
(238s) phi_loss: -602.633,  theta_loss: 1943.885,  ess: 4.033
(236s) phi_loss: -602.410,  theta_loss: 1955.395,  ess: 4.021
