(17s) phi_loss: -11794.619,  theta_loss: 11417.709,  ess: 1.005
(21s) phi_loss: -3927.312,  theta_loss: 3370.295,  ess: 1.017
(18s) phi_loss: -3105.427,  theta_loss: 2434.338,  ess: 1.026
(21s) phi_loss: -2913.434,  theta_loss: 2190.051,  ess: 1.030
(19s) phi_loss: -2821.074,  theta_loss: 2068.241,  ess: 1.030
(22s) phi_loss: -2745.565,  theta_loss: 1971.315,  ess: 1.031
(21s) phi_loss: -2693.938,  theta_loss: 1906.064,  ess: 1.034
(21s) phi_loss: -2642.082,  theta_loss: 1846.788,  ess: 1.034
(22s) phi_loss: -2593.071,  theta_loss: 1780.696,  ess: 1.032
(18s) phi_loss: -2551.739,  theta_loss: 1732.516,  ess: 1.033
(17s) phi_loss: -2519.657,  theta_loss: 1695.798,  ess: 1.035
(16s) phi_loss: -2498.110,  theta_loss: 1666.679,  ess: 1.031
(18s) phi_loss: -2464.232,  theta_loss: 1633.200,  ess: 1.032
(22s) phi_loss: -2429.632,  theta_loss: 1599.517,  ess: 1.031
(22s) phi_loss: -2398.387,  theta_loss: 1563.137,  ess: 1.032
(20s) phi_loss: -2372.341,  theta_loss: 1530.366,  ess: 1.030
(19s) phi_loss: -2352.847,  theta_loss: 1512.585,  ess: 1.031
(22s) phi_loss: -2319.859,  theta_loss: 1477.088,  ess: 1.028
(20s) phi_loss: -2302.510,  theta_loss: 1460.997,  ess: 1.030
(21s) phi_loss: -2284.666,  theta_loss: 1435.399,  ess: 1.028
(22s) phi_loss: -2261.826,  theta_loss: 1407.186,  ess: 1.030
(17s) phi_loss: -2244.550,  theta_loss: 1385.105,  ess: 1.028
(21s) phi_loss: -2228.551,  theta_loss: 1365.881,  ess: 1.029
(18s) phi_loss: -2221.848,  theta_loss: 1364.636,  ess: 1.030
(18s) phi_loss: -2200.040,  theta_loss: 1339.973,  ess: 1.029
(20s) phi_loss: -2204.028,  theta_loss: 1338.250,  ess: 1.030
(22s) phi_loss: -2177.800,  theta_loss: 1312.571,  ess: 1.026
(21s) phi_loss: -2156.528,  theta_loss: 1295.207,  ess: 1.026
(20s) phi_loss: -2138.741,  theta_loss: 1278.216,  ess: 1.027
(18s) phi_loss: -2133.575,  theta_loss: 1269.598,  ess: 1.026
(16s) phi_loss: -2121.778,  theta_loss: 1255.237,  ess: 1.028
(16s) phi_loss: -2125.097,  theta_loss: 1253.195,  ess: 1.028
(19s) phi_loss: -2112.151,  theta_loss: 1236.424,  ess: 1.028
(20s) phi_loss: -2100.674,  theta_loss: 1225.656,  ess: 1.028
(19s) phi_loss: -2081.178,  theta_loss: 1208.142,  ess: 1.028
(20s) phi_loss: -2068.580,  theta_loss: 1191.191,  ess: 1.029
(20s) phi_loss: -2069.007,  theta_loss: 1188.315,  ess: 1.028
(21s) phi_loss: -2059.878,  theta_loss: 1188.434,  ess: 1.028
(22s) phi_loss: -2055.462,  theta_loss: 1179.933,  ess: 1.027
(21s) phi_loss: -2048.675,  theta_loss: 1170.960,  ess: 1.028
(18s) phi_loss: -2034.125,  theta_loss: 1155.806,  ess: 1.028
(19s) phi_loss: -2025.527,  theta_loss: 1152.408,  ess: 1.030
(21s) phi_loss: -2015.059,  theta_loss: 1140.817,  ess: 1.029
(19s) phi_loss: -2014.481,  theta_loss: 1141.306,  ess: 1.030
(17s) phi_loss: -2007.559,  theta_loss: 1141.577,  ess: 1.028
(21s) phi_loss: -1993.650,  theta_loss: 1123.496,  ess: 1.027
(19s) phi_loss: -1978.909,  theta_loss: 1112.085,  ess: 1.026
(19s) phi_loss: -1972.468,  theta_loss: 1099.600,  ess: 1.028
(21s) phi_loss: -1966.933,  theta_loss: 1095.529,  ess: 1.029
(20s) phi_loss: -1960.551,  theta_loss: 1089.902,  ess: 1.028
(21s) phi_loss: -1950.659,  theta_loss: 1080.372,  ess: 1.029
(22s) phi_loss: -1934.021,  theta_loss: 1061.681,  ess: 1.027
(18s) phi_loss: -1928.332,  theta_loss: 1052.005,  ess: 1.027
(20s) phi_loss: -1929.403,  theta_loss: 1053.104,  ess: 1.026
(21s) phi_loss: -1910.639,  theta_loss: 1035.186,  ess: 1.025
(32s) phi_loss: -1901.785,  theta_loss: 1028.290,  ess: 1.025
(28s) phi_loss: -1906.451,  theta_loss: 1031.744,  ess: 1.027
(25s) phi_loss: -1903.464,  theta_loss: 1024.366,  ess: 1.028
(33s) phi_loss: -1895.438,  theta_loss: 1016.995,  ess: 1.027
(44s) phi_loss: -1893.694,  theta_loss: 1016.712,  ess: 1.027
(51s) phi_loss: -1888.972,  theta_loss: 1011.779,  ess: 1.027
(50s) phi_loss: -1871.327,  theta_loss: 992.093,  ess: 1.026
