EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-249.051	-257.844	2.107	6.280	3.537	4.924	4.594
-496.842	-763.147	1.040	405.914	24.738	235.275	34.497
-249.037	-257.681	2.097	6.169	3.542	5.019	4.672
-409.921	-477.926	1.096	120.261	39.989	54.982	19.264
-249.489	-258.516	2.063	7.105	3.919	5.172	4.724
-394.902	-432.597	1.168	74.861	43.814	27.994	13.197
-249.099	-257.483	2.062	5.698	3.508	5.021	4.601
-249.244	-258.094	2.048	6.192	3.647	5.000	4.674
-385.120	-411.533	1.230	53.988	36.536	20.405	11.140
-249.162	-257.759	2.063	5.905	3.654	4.990	4.626
-377.001	-397.114	1.298	39.535	30.197	17.380	10.264
-249.128	-257.741	2.066	6.084	3.588	4.967	4.577
-372.973	-389.796	1.341	32.243	28.577	16.428	9.941
-249.040	-257.790	2.084	6.121	3.515	4.928	4.588
-371.790	-387.174	1.362	29.640	29.097	15.678	9.735
-249.213	-257.937	2.075	6.137	3.618	4.966	4.619
-371.310	-385.915	1.374	28.368	29.871	15.247	9.585
-249.135	-257.829	2.088	6.174	3.516	4.910	4.534
-371.123	-385.189	1.387	27.629	31.199	14.808	9.460
-249.091	-257.784	2.097	6.083	3.442	4.939	4.548
-370.881	-384.634	1.399	27.064	31.908	14.520	9.292
-249.041	-257.597	2.101	6.113	3.376	4.905	4.465
-370.473	-383.936	1.407	26.366	31.583	14.446	9.289
-249.116	-257.870	2.071	6.146	3.619	4.987	4.615
-370.171	-383.585	1.407	26.049	31.186	14.282	9.224
-249.137	-257.865	2.067	6.129	3.611	5.007	4.632
-369.875	-383.177	1.410	25.629	30.884	14.261	9.221
-249.098	-257.809	2.082	6.314	3.583	5.008	4.621
-369.813	-383.054	1.414	25.488	31.194	14.275	9.243
-249.154	-258.105	2.053	6.331	3.637	5.024	4.571
-369.689	-382.748	1.410	25.187	31.662	14.191	9.190
-249.074	-257.610	2.069	5.693	3.426	4.943	4.566
-369.638	-382.745	1.414	25.185	31.420	14.201	9.207
-249.559	-259.215	2.064	7.722	3.991	5.143	4.766
-369.468	-382.552	1.416	25.026	31.003	14.336	9.266
-249.085	-258.031	2.079	6.718	3.677	4.971	4.672
-369.412	-382.389	1.424	24.815	31.198	14.268	9.230
-249.164	-258.194	2.086	6.879	3.724	4.972	4.593
-249.091	-258.130	2.077	6.758	3.574	4.976	4.584
-369.252	-382.065	1.424	24.506	31.213	14.170	9.220
-249.262	-258.650	2.046	7.290	3.886	5.033	4.642
-369.167	-381.986	1.428	24.434	31.005	14.106	9.193
-249.008	-258.064	2.099	6.615	3.544	4.923	4.556
-369.003	-381.724	1.422	24.177	31.143	14.225	9.246
-248.914	-257.794	2.100	6.515	3.499	4.890	4.477
-369.037	-381.777	1.426	24.263	31.237	14.123	9.191
-249.190	-258.256	2.070	7.119	3.784	4.974	4.595
-368.831	-381.457	1.432	23.896	31.117	14.134	9.226
-249.383	-258.248	2.064	6.641	3.770	4.980	4.605
-368.693	-381.456	1.429	23.924	30.534	14.328	9.324
-249.080	-257.759	2.094	6.089	3.493	4.983	4.592
-249.208	-257.917	2.072	6.326	3.600	4.943	4.558
-368.745	-381.416	1.433	23.834	30.507	14.098	9.209
-249.084	-257.994	2.074	6.584	3.589	5.008	4.584
-368.612	-381.086	1.438	23.520	30.533	13.923	9.136
-249.039	-257.816	2.079	6.519	3.653	4.930	4.539
-368.597	-381.122	1.433	23.585	30.795	14.002	9.174
-249.007	-257.729	2.089	6.238	3.469	4.896	4.536
-368.495	-381.097	1.434	23.554	30.756	14.181	9.270
-248.963	-257.734	2.098	6.526	3.403	4.943	4.487
-368.343	-380.770	1.441	23.193	30.751	14.097	9.219
-249.207	-258.183	2.060	6.747	3.899	4.972	4.659
-368.295	-380.681	1.441	23.124	30.561	14.048	9.223
-249.183	-257.825	2.072	6.282	3.698	4.973	4.620
-367.929	-380.560	1.432	23.089	29.841	14.298	9.323
-249.050	-257.621	2.074	5.828	3.444	4.972	4.548
-366.071	-380.378	1.377	25.464	32.662	16.129	10.182
-249.342	-258.267	2.051	6.753	3.837	5.039	4.605
-360.355	-379.425	1.284	34.507	45.409	18.746	12.262
-249.265	-257.839	2.048	6.021	3.626	5.012	4.594
-354.171	-377.995	1.226	44.481	59.327	19.864	14.537
-249.114	-257.822	2.078	6.190	3.567	4.939	4.525
-249.166	-257.946	2.068	6.530	3.704	4.915	4.604
-351.329	-377.675	1.208	49.361	64.587	20.493	16.567
-249.141	-257.579	2.078	5.707	3.424	5.004	4.583
-349.716	-376.531	1.199	50.236	64.408	19.659	16.888
-249.177	-257.794	2.077	5.877	3.524	4.966	4.524
-349.253	-377.444	1.195	51.779	63.588	20.281	17.929
-249.388	-258.394	2.066	6.676	3.687	5.021	4.601
-348.209	-376.753	1.192	52.035	63.185	20.019	18.233
-249.229	-257.673	2.061	5.785	3.546	4.981	4.563
-347.898	-377.382	1.189	53.419	61.459	20.524	19.311
-249.208	-257.619	2.073	5.580	3.428	4.994	4.506
-347.383	-376.456	1.192	52.739	62.666	20.408	19.212
-249.252	-257.903	2.079	6.121	3.496	5.035	4.593
-346.904	-375.752	1.190	52.745	62.599	20.082	19.340
-249.048	-257.558	2.072	5.497	3.331	4.983	4.589
-346.705	-376.083	1.187	52.804	60.916	20.355	19.086
-248.971	-257.606	2.094	5.844	3.394	4.908	4.531
-346.583	-375.999	1.189	53.072	59.101	20.444	19.212
-249.006	-257.694	2.095	5.887	3.424	4.944	4.581
-346.368	-374.841	1.190	51.787	59.719	19.586	18.439
-249.241	-258.017	2.052	6.036	3.676	4.997	4.620
-346.331	-375.163	1.188	52.172	59.503	19.861	18.460
-249.046	-257.499	2.077	5.536	3.421	4.964	4.619
-346.379	-375.211	1.191	52.560	61.462	19.853	18.880
-249.121	-257.692	2.078	5.893	3.600	4.922	4.585
-346.024	-375.597	1.188	53.354	57.901	19.827	19.391
-249.065	-257.487	2.080	5.912	3.552	4.917	4.547
-249.152	-257.891	2.089	6.206	3.438	4.973	4.595
-345.641	-374.546	1.187	52.565	60.810	19.927	19.301
-249.211	-258.055	2.074	6.492	3.678	4.953	4.604
-345.824	-374.883	1.190	52.976	61.350	19.515	18.827
-249.102	-257.591	2.081	5.639	3.329	4.964	4.551
-345.579	-374.608	1.187	52.644	56.812	19.595	18.828
-249.284	-258.025	2.076	6.282	3.780	4.953	4.510
-345.326	-374.580	1.187	52.426	57.206	19.590	18.801
-249.155	-258.113	2.080	6.576	3.641	4.878	4.513
-345.299	-374.639	1.182	53.011	54.996	19.959	19.260
-249.100	-258.071	2.074	6.556	3.670	4.937	4.582
-345.011	-374.236	1.188	52.666	56.992	19.481	18.951
-249.123	-257.974	2.077	6.356	3.601	4.946	4.586
-344.775	-374.071	1.187	52.764	57.444	19.893	19.245
-249.022	-257.635	2.087	5.954	3.383	4.937	4.507
-344.581	-374.474	1.186	53.172	57.023	19.904	19.511
-249.080	-257.763	2.086	6.086	3.508	4.980	4.601
-344.462	-373.754	1.188	52.418	58.775	19.675	19.403
-248.981	-257.746	2.090	6.191	3.385	4.916	4.485
-249.146	-257.859	2.058	6.023	3.601	4.956	4.607
-344.185	-373.494	1.189	52.603	58.536	19.408	19.095
-249.157	-257.857	2.068	6.065	3.678	4.970	4.623
-343.521	-372.514	1.193	51.618	56.874	19.138	18.652
-249.119	-257.928	2.069	6.212	3.671	4.937	4.574
-342.046	-371.468	1.189	50.794	53.383	19.210	18.666
-249.000	-257.620	2.075	5.855	3.438	4.886	4.518
-341.766	-372.414	1.185	51.260	52.074	19.792	19.363
-249.131	-258.030	2.075	6.565	3.724	4.964	4.593
-249.271	-258.420	2.067	6.749	3.749	4.968	4.660
-341.350	-371.142	1.188	50.464	51.291	19.584	19.354
-341.219	-370.888	1.189	50.146	51.492	19.611	18.974
-249.053	-257.621	2.085	5.695	3.451	4.944	4.568
-340.775	-370.145	1.187	49.751	52.843	19.259	19.159
-249.196	-258.527	2.059	6.735	3.602	5.008	4.620
-340.652	-370.409	1.186	49.771	51.228	19.205	19.097
-249.000	-257.563	2.076	5.645	3.397	4.941	4.584
-340.437	-370.061	1.188	49.452	49.724	19.364	19.103
-249.519	-258.670	2.058	6.868	3.874	5.061	4.717
-340.141	-369.600	1.186	49.449	50.246	19.261	19.334
-250.076	-260.790	2.081	8.913	3.813	5.250	4.758
-340.106	-368.717	1.189	48.258	51.191	18.927	18.357
-249.055	-257.103	2.098	5.017	3.281	4.930	4.500
-339.594	-368.580	1.184	48.679	49.759	19.084	18.743
-249.012	-257.208	2.086	5.103	3.301	4.898	4.520
-339.858	-368.771	1.189	48.926	50.331	19.180	19.042
-249.110	-257.465	2.068	5.199	3.425	4.965	4.592
-249.022	-257.512	2.091	5.612	3.453	4.911	4.479
-339.648	-368.120	1.193	48.537	52.802	18.925	18.673
-249.037	-257.578	2.092	5.822	3.487	4.848	4.514
-339.669	-368.406	1.188	48.811	50.905	18.943	18.371
-249.109	-257.608	2.075	5.661	3.411	4.973	4.574
-339.403	-367.913	1.195	48.374	50.426	18.719	18.276
-249.149	-257.944	2.073	6.221	3.568	4.965	4.572
-339.191	-367.678	1.196	48.245	50.268	18.703	18.058
-249.189	-257.858	2.078	6.194	3.571	4.919	4.556
-339.089	-367.548	1.194	47.957	51.092	18.896	18.699
-249.174	-257.854	2.058	5.889	3.574	4.977	4.622
-249.114	-257.887	2.076	6.174	3.515	4.930	4.569
-338.828	-367.598	1.191	48.325	48.251	18.675	18.493
-249.015	-257.775	2.084	6.119	3.521	4.906	4.489
-338.740	-367.255	1.194	47.834	49.367	18.676	18.423
-249.043	-257.761	2.086	5.982	3.431	4.881	4.496
-338.595	-367.505	1.195	48.468	48.558	18.986	18.552
-249.054	-257.917	2.068	6.270	3.501	4.929	4.581
-337.350	-364.890	1.200	46.243	48.149	18.209	17.506
-249.036	-257.778	2.064	5.936	3.489	4.929	4.551
-337.039	-364.453	1.201	45.464	47.672	18.193	18.038
-249.016	-257.603	2.083	5.861	3.378	4.895	4.513
-336.965	-363.207	1.205	44.685	50.250	17.884	17.407
-249.131	-258.050	2.073	6.256	3.681	4.977	4.598
-335.959	-361.657	1.208	43.165	50.299	17.309	16.862
-249.051	-257.451	2.082	5.644	3.549	4.911	4.527
-335.402	-361.535	1.203	42.911	48.732	17.655	16.779
-249.030	-257.621	2.081	5.788	3.429	4.882	4.504
-335.334	-361.280	1.208	42.468	49.415	17.379	16.687
-249.096	-257.792	2.082	5.812	3.413	4.979	4.515
-335.165	-360.847	1.206	42.403	49.966	17.255	16.811
-249.100	-257.909	2.060	6.166	3.547	4.959	4.615
-334.533	-360.287	1.207	41.921	48.090	17.375	16.646
-249.124	-257.950	2.076	6.332	3.553	4.988	4.600
-334.271	-360.022	1.207	41.771	48.353	17.482	16.932
-249.169	-258.007	2.067	6.339	3.544	4.954	4.574
-334.445	-360.409	1.207	41.973	47.393	17.538	16.594
-249.565	-259.051	2.054	7.300	4.082	5.003	4.686
-334.349	-360.637	1.206	42.236	46.162	17.786	16.528
-249.530	-258.804	2.050	6.991	4.249	5.031	4.721
-249.176	-258.083	2.054	6.195	3.634	4.958	4.595
-333.279	-359.272	1.207	41.395	46.410	17.547	16.793
-249.121	-258.053	2.044	6.097	3.535	5.002	4.625
-333.174	-359.635	1.203	41.631	46.451	17.743	17.174
-249.143	-258.201	2.059	6.384	3.631	4.942	4.642
-333.356	-359.804	1.205	41.692	46.178	18.063	17.216
-249.012	-257.575	2.089	5.892	3.515	4.903	4.522
-333.411	-359.650	1.207	41.305	46.717	17.861	16.876
-249.026	-257.489	2.084	5.786	3.518	4.917	4.584
-333.318	-359.395	1.206	41.204	47.147	17.579	16.801
-249.112	-257.743	2.065	6.022	3.596	5.026	4.634
-333.537	-360.111	1.204	41.773	46.908	17.974	17.520
-248.888	-257.318	2.096	5.463	3.203	4.893	4.518
-333.056	-359.188	1.211	41.069	46.767	17.760	17.435
-249.248	-258.155	2.059	6.440	3.779	4.956	4.611
-332.964	-359.302	1.208	41.263	47.122	17.684	17.089
-249.116	-257.783	2.065	5.614	3.455	4.940	4.604
-332.262	-358.444	1.207	40.671	45.036	17.492	16.882
-249.021	-257.841	2.080	6.142	3.507	4.978	4.550
-332.238	-358.592	1.208	40.218	43.626	17.538	16.389
-249.104	-257.922	2.080	6.172	3.507	4.930	4.502
-332.295	-358.973	1.207	40.728	43.737	17.702	16.715
-249.113	-258.055	2.084	6.606	3.614	4.948	4.582
-332.477	-358.635	1.209	40.652	45.702	17.485	16.745
-249.220	-258.075	2.076	6.433	3.746	4.906	4.553
