EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-712.142	-989.912	1.178	789.158	766.328
-702.649	-969.762	1.182	769.191	775.199
-689.180	-950.873	1.191	750.350	784.607
-673.927	-934.374	1.180	732.817	793.777
-669.084	-916.878	1.189	716.116	803.266
-656.119	-902.808	1.187	700.592	812.723
-650.530	-887.002	1.205	685.832	822.271
-640.587	-874.359	1.203	671.938	831.695
-630.971	-858.003	1.197	658.083	841.989
-623.571	-844.926	1.203	645.191	852.006
-614.311	-832.829	1.204	632.971	862.245
-611.509	-823.405	1.217	621.392	872.581
-603.134	-811.653	1.211	610.127	883.159
-594.202	-799.667	1.214	600.303	892.664
-589.569	-792.225	1.221	590.708	902.658
-586.965	-782.414	1.220	581.571	912.658
-580.750	-774.851	1.223	572.955	922.534
-575.465	-765.373	1.234	564.539	932.756
-570.476	-755.779	1.224	556.617	942.906
-565.674	-750.447	1.241	548.646	953.627
-562.308	-743.465	1.233	541.839	962.999
-556.959	-736.984	1.231	535.452	972.038
-554.524	-731.219	1.243	529.092	981.497
-550.028	-723.187	1.227	523.046	991.020
-547.720	-716.576	1.237	517.405	1000.327
-541.921	-712.340	1.233	512.030	1009.327
-541.146	-708.038	1.248	506.815	1018.486
-536.682	-703.154	1.252	502.054	1027.019
-534.579	-698.564	1.245	497.462	1035.524
-531.750	-695.226	1.261	493.059	1044.360
-529.852	-690.128	1.240	488.955	1052.426
-527.995	-687.021	1.249	485.202	1060.221
-526.348	-681.941	1.259	481.381	1068.261
-524.385	-678.986	1.257	477.581	1076.567
-521.863	-676.577	1.255	474.429	1083.635
-518.700	-671.855	1.257	471.260	1090.935
-516.133	-669.193	1.261	468.475	1097.326
-516.537	-665.541	1.264	465.452	1104.573
-511.731	-662.647	1.256	462.296	1112.447
-514.269	-661.662	1.261	459.243	1120.484
-510.122	-658.967	1.251	456.516	1127.523
-506.209	-653.420	1.261	453.710	1134.993
-509.175	-655.064	1.261	451.892	1139.819
-506.558	-650.175	1.260	449.720	1145.565
-504.773	-649.143	1.269	447.841	1150.964
-503.671	-646.661	1.265	446.177	1155.615
-503.855	-646.424	1.264	444.614	1159.889
-502.960	-644.694	1.280	442.930	1164.856
-503.172	-643.087	1.262	441.287	1169.626
