EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-469.781	-1616.139	1.054	1415.967	43.314
-443.282	-1487.824	1.060	1284.538	42.432
-417.675	-1379.304	1.065	1170.384	41.723
-397.245	-1268.378	1.064	1074.141	41.213
-381.018	-1198.861	1.066	992.330	40.706
-363.157	-1121.403	1.073	920.690	40.182
-353.296	-1050.333	1.073	855.286	39.730
-337.008	-998.060	1.080	797.176	39.303
-331.763	-951.296	1.086	746.289	39.150
-322.206	-899.796	1.090	699.209	39.018
-314.927	-854.473	1.089	655.797	38.880
-310.570	-814.466	1.099	617.617	38.738
-307.366	-789.687	1.095	584.759	38.647
-303.915	-757.728	1.099	556.573	38.473
-301.013	-732.244	1.102	530.179	38.433
-296.783	-709.037	1.096	508.481	38.420
-294.843	-687.856	1.101	490.277	38.352
-293.719	-675.045	1.102	474.734	38.329
-290.201	-668.341	1.105	461.064	38.254
-289.799	-651.331	1.102	451.423	38.099
-288.051	-643.899	1.108	442.554	37.822
-288.219	-637.234	1.110	433.578	37.620
-285.973	-626.069	1.111	424.999	37.445
-285.349	-621.631	1.115	417.070	37.367
-283.514	-613.409	1.114	409.274	37.285
-284.124	-603.521	1.122	402.196	37.182
-281.819	-595.324	1.120	395.416	37.055
-280.814	-591.386	1.119	389.479	36.876
-278.881	-583.439	1.123	383.133	36.664
-277.761	-579.295	1.128	377.182	36.579
-277.180	-572.613	1.127	371.752	36.441
-275.996	-568.438	1.123	367.467	36.245
-274.274	-563.414	1.133	363.844	35.940
-273.584	-557.794	1.138	360.216	35.708
-272.307	-557.397	1.139	356.799	35.482
-271.174	-550.798	1.138	351.791	35.256
-269.286	-553.503	1.140	348.017	35.007
-269.595	-550.889	1.141	345.980	34.778
-267.703	-544.962	1.146	343.008	34.487
-266.530	-542.945	1.144	339.852	34.335
-266.409	-540.627	1.156	338.395	34.096
-264.697	-538.467	1.157	333.898	33.955
-263.980	-535.299	1.156	332.836	33.658
-263.538	-530.941	1.158	331.190	33.411
-263.881	-529.384	1.162	329.156	33.224
-262.801	-528.479	1.165	326.722	33.114
