EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-372.766	-1299.980	1.061	1085.232	52.432
-355.325	-1080.378	1.067	874.252	52.759
-347.128	-953.953	1.070	747.108	53.108
-343.716	-878.478	1.075	670.599	53.099
-338.675	-829.574	1.078	619.112	52.809
-334.900	-785.323	1.080	578.495	52.499
-332.470	-751.906	1.082	544.822	52.032
-329.361	-722.785	1.087	517.590	51.589
-327.244	-703.328	1.089	495.990	51.182
-323.634	-685.156	1.089	477.933	50.551
-322.114	-672.658	1.093	462.666	50.011
-319.561	-659.375	1.096	450.449	49.520
-316.182	-648.245	1.099	441.666	48.736
-315.367	-643.791	1.098	436.004	48.032
-313.743	-638.056	1.102	427.495	47.492
-311.692	-632.632	1.103	423.353	46.922
-310.632	-625.529	1.105	420.758	46.509
-308.380	-624.860	1.110	416.341	46.216
-307.264	-621.462	1.110	412.971	45.883
-306.205	-620.933	1.115	413.020	45.377
-304.341	-618.955	1.113	409.751	45.207
-303.219	-617.988	1.115	410.015	44.977
-302.167	-619.958	1.120	414.154	44.343
-300.760	-621.083	1.117	412.277	44.121
-299.037	-620.113	1.120	412.096	43.934
-298.699	-619.707	1.116	411.630	43.778
-296.951	-619.114	1.122	411.006	43.480
-296.613	-620.906	1.126	412.192	43.222
-295.248	-623.174	1.125	414.899	42.958
-294.582	-624.816	1.125	416.682	42.691
-292.930	-627.094	1.127	419.030	42.369
-292.648	-629.106	1.127	420.516	42.362
-292.115	-629.645	1.131	421.928	42.289
-290.433	-630.356	1.132	423.107	42.066
-291.340	-631.395	1.136	422.712	42.182
-288.893	-631.014	1.134	423.800	42.124
-289.267	-634.395	1.135	425.783	41.957
-288.514	-638.283	1.139	429.820	41.722
-287.533	-639.698	1.142	430.909	41.276
-286.711	-638.885	1.143	430.303	41.523
-286.532	-636.266	1.141	427.315	42.003
-285.531	-635.620	1.146	426.863	42.025
-284.078	-633.170	1.144	425.995	42.118
-284.506	-638.700	1.147	429.092	41.867
-283.613	-638.370	1.146	427.845	41.546
-282.311	-639.111	1.152	431.075	41.345
-283.584	-646.175	1.151	434.729	41.219
-282.193	-643.287	1.158	432.232	41.337
-281.679	-637.259	1.158	428.046	41.734
-281.050	-635.077	1.159	427.567	41.501
-280.185	-635.385	1.164	428.273	41.302
-278.783	-633.597	1.164	427.283	41.316
-279.474	-633.777	1.167	427.038	41.332
-279.237	-632.553	1.169	423.259	41.734
