EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-261.885	-501.586	1.116	305.548	29.028	305.548	29.028
-258.587	-486.961	1.135	287.934	30.054	287.934	30.054
-256.691	-469.810	1.141	272.406	30.779	272.406	30.779
-254.229	-456.941	1.153	257.492	30.744	257.492	30.744
-251.955	-443.508	1.166	243.719	30.344	243.719	30.344
-249.270	-429.066	1.175	232.445	29.521	232.445	29.521
-247.694	-422.395	1.185	222.666	28.447	222.666	28.447
-245.714	-410.743	1.195	212.048	27.835	212.048	27.835
-243.554	-403.034	1.216	204.147	26.772	204.147	26.772
-241.336	-394.198	1.230	195.263	25.919	195.263	25.919
-239.554	-384.981	1.247	186.117	25.076	186.117	25.076
-237.681	-376.667	1.263	177.908	24.284	177.908	24.284
-235.988	-368.449	1.281	169.492	23.504	169.492	23.504
-233.864	-359.088	1.302	160.401	22.934	160.401	22.934
-232.115	-352.565	1.320	153.416	22.209	153.416	22.209
-229.899	-344.792	1.347	146.336	21.589	146.336	21.589
-227.599	-338.441	1.368	140.319	20.859	140.319	20.859
-226.912	-332.498	1.390	133.877	20.572	133.877	20.572
-225.680	-327.165	1.407	128.955	20.159	128.955	20.159
-224.205	-323.215	1.425	124.763	19.694	124.763	19.694
-224.060	-320.085	1.438	121.140	19.279	121.140	19.279
-222.725	-317.701	1.445	118.782	18.851	118.782	18.851
-222.358	-314.489	1.464	115.881	18.595	115.881	18.595
-221.616	-313.080	1.473	114.310	18.267	114.310	18.267
-220.174	-310.197	1.487	111.913	17.962	111.913	17.962
-219.604	-308.637	1.505	110.156	17.769	110.156	17.769
-219.029	-306.951	1.510	108.195	17.674	108.195	17.674
-218.656	-305.555	1.522	106.852	17.493	106.852	17.493
-218.328	-304.815	1.524	106.115	17.254	106.115	17.254
-217.763	-304.221	1.528	105.305	17.041	105.305	17.041
-217.227	-303.478	1.538	104.117	16.971	104.117	16.971
-216.904	-302.355	1.553	103.321	16.886	103.321	16.886
-216.661	-301.016	1.567	102.772	16.800	102.772	16.800
-216.231	-301.523	1.564	103.183	16.486	103.183	16.486
-215.650	-300.656	1.568	102.137	16.446	102.137	16.446
-216.009	-300.632	1.586	101.049	16.473	101.049	16.473
-215.510	-299.707	1.600	101.133	16.324	101.133	16.324
-215.000	-299.022	1.600	100.897	16.211	100.897	16.211
-214.764	-299.735	1.607	101.258	16.129	101.258	16.129
-215.275	-298.971	1.627	100.743	16.155	100.743	16.155
-214.485	-298.764	1.628	100.247	16.133	100.247	16.133
-214.782	-298.422	1.644	100.434	15.999	100.434	15.999
-214.064	-299.109	1.647	100.383	15.819	100.383	15.819
-213.985	-298.686	1.669	100.203	15.844	100.203	15.844
-214.200	-298.439	1.669	99.041	15.846	99.041	15.846
-214.204	-296.968	1.688	98.518	15.779	98.518	15.779
-213.406	-297.105	1.702	98.624	15.682	98.624	15.682
-213.412	-295.838	1.707	97.847	15.673	97.847	15.673
-213.440	-295.351	1.714	97.146	15.655	97.146	15.655
-212.825	-295.344	1.715	97.580	15.564	97.580	15.564
-212.936	-295.508	1.730	97.581	15.488	97.581	15.488
-213.053	-295.859	1.725	97.114	15.395	97.114	15.395
-212.934	-296.511	1.748	97.763	15.302	97.763	15.302
-212.805	-297.811	1.753	98.816	15.158	98.816	15.158
