EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-428.097	-1527.831	1.060	1320.595	44.958
-352.148	-1160.237	1.071	958.800	43.140
-323.792	-944.569	1.086	741.582	41.806
-309.203	-811.999	1.092	608.536	40.721
-303.077	-733.283	1.095	532.257	39.327
-299.662	-686.767	1.096	483.694	37.978
-295.122	-652.862	1.102	452.173	36.933
-293.281	-637.067	1.103	430.375	36.057
-290.857	-616.688	1.106	412.961	35.438
-288.721	-604.164	1.108	401.168	35.130
-287.963	-598.935	1.107	393.845	34.856
-287.043	-595.499	1.116	390.489	34.577
-285.967	-594.518	1.119	388.530	34.177
-285.067	-590.970	1.119	384.903	33.956
-283.899	-588.394	1.121	383.109	33.620
-282.001	-588.988	1.126	384.769	33.225
-283.071	-587.077	1.127	385.339	32.802
-282.045	-588.532	1.126	382.959	32.532
-278.517	-584.424	1.136	381.272	32.161
-279.523	-585.686	1.139	381.318	31.764
-279.069	-583.022	1.144	378.847	31.524
-278.142	-582.698	1.149	377.291	31.212
-278.020	-580.295	1.153	374.756	30.951
-275.149	-574.630	1.155	372.217	30.817
-275.732	-577.579	1.154	372.144	30.554
-276.044	-577.602	1.165	370.227	30.292
-274.519	-570.316	1.174	366.747	30.039
-274.113	-564.957	1.181	360.826	29.973
-274.029	-562.399	1.192	354.235	29.890
-271.451	-552.966	1.199	351.008	29.578
-271.432	-553.180	1.200	347.282	29.407
-270.404	-547.325	1.212	341.817	29.046
-270.924	-544.983	1.220	339.028	28.845
-270.062	-540.629	1.222	336.878	28.711
-269.893	-536.824	1.231	330.051	28.623
-267.462	-527.728	1.241	323.789	28.606
-266.872	-524.878	1.240	322.183	28.450
-265.754	-522.768	1.254	318.315	28.195
-263.788	-514.471	1.255	312.594	28.125
-265.561	-519.255	1.257	312.262	27.922
-262.477	-514.804	1.262	309.699	27.720
-264.198	-509.517	1.276	304.792	27.466
-263.096	-507.891	1.279	301.743	27.308
-260.401	-500.122	1.273	296.810	27.401
-261.631	-502.145	1.286	298.482	27.206
-261.315	-498.553	1.289	295.066	27.191
-261.060	-496.649	1.297	292.168	27.215
-260.086	-491.492	1.302	287.446	27.192
-257.935	-490.129	1.295	286.289	27.052
-258.879	-491.778	1.304	286.512	26.958
-257.259	-487.396	1.316	284.187	26.903
-256.650	-485.994	1.315	280.525	27.026
-255.856	-481.159	1.321	277.670	27.105
-256.779	-482.870	1.326	277.415	27.106
-255.843	-481.215	1.329	275.762	27.069
-256.853	-480.261	1.330	274.095	27.073
-257.106	-477.570	1.329	274.030	27.067
-254.434	-472.872	1.331	268.647	27.316
-254.398	-474.914	1.341	270.220	27.011
-254.337	-469.836	1.342	267.029	27.107
-254.357	-471.658	1.339	267.225	26.996
-255.057	-474.208	1.340	268.414	26.820
-255.845	-474.185	1.351	269.855	26.788
-254.720	-473.584	1.349	270.923	26.671
-253.818	-473.987	1.354	269.599	26.867
-254.538	-471.008	1.350	267.473	26.841
-253.473	-466.584	1.364	265.716	26.806
-252.532	-469.760	1.357	265.563	26.611
-253.541	-464.327	1.363	261.685	26.813
