EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-710.331	-1361.892	3.279	530.056	41.383	141.807	31.470
-650.127	-911.677	4.123	137.516	23.867	54.027	20.392
-619.141	-832.319	4.568	86.155	21.861	35.075	17.126
-597.164	-792.122	4.759	67.202	21.132	27.555	15.306
-575.232	-770.525	4.779	63.471	25.068	25.465	14.421
-554.611	-751.398	4.794	59.769	28.694	23.030	13.345
-538.884	-737.393	4.800	57.880	31.419	21.157	12.552
-520.665	-725.085	4.777	55.686	32.348	20.514	12.122
-510.299	-719.898	4.749	56.872	34.797	19.739	11.852
-500.475	-714.740	4.722	56.136	35.672	19.457	11.743
-495.677	-708.003	4.736	54.060	34.509	18.807	11.720
-489.889	-701.347	4.714	53.947	36.179	18.574	11.765
-487.766	-696.221	4.741	50.557	35.602	18.519	11.832
-486.015	-688.563	4.780	49.478	36.409	17.427	11.126
-481.217	-686.723	4.764	48.214	37.328	17.486	11.315
-480.747	-685.886	4.762	48.411	37.604	17.305	11.227
-478.940	-683.889	4.755	46.657	36.917	17.088	11.409
-479.145	-683.970	4.753	48.069	36.660	17.010	11.304
-475.748	-682.398	4.752	47.172	35.474	16.946	11.229
-473.935	-682.034	4.748	47.111	35.967	16.785	11.317
-473.253	-680.832	4.755	47.649	39.641	16.566	11.055
-475.688	-682.310	4.778	46.035	37.134	16.359	11.077
-470.385	-677.568	4.762	45.900	36.855	16.304	11.079
-470.302	-676.931	4.773	46.002	39.223	16.020	10.971
-470.955	-677.831	4.770	45.028	36.367	16.213	11.180
-470.122	-678.298	4.760	45.251	35.021	16.421	11.356
-470.409	-677.425	4.774	45.507	35.760	16.380	10.919
-468.916	-679.059	4.757	46.669	37.325	16.349	11.069
-469.721	-675.111	4.801	44.860	38.667	15.662	10.661
-470.495	-679.374	4.773	45.734	39.132	15.855	10.768
-468.383	-675.942	4.783	44.500	36.509	15.745	10.790
-468.018	-678.283	4.774	45.783	39.174	15.816	10.614
-465.751	-678.711	4.755	45.924	37.086	16.191	11.040
-464.438	-676.140	4.766	44.675	36.865	16.034	11.056
-461.401	-675.318	4.729	45.329	34.590	16.058	11.179
-464.504	-672.508	4.793	43.666	34.721	15.267	10.693
-464.507	-675.130	4.772	44.617	34.378	15.974	11.034
-463.775	-675.596	4.770	43.954	35.890	15.659	10.865
-461.325	-673.892	4.776	43.306	34.504	15.260	10.669
-460.643	-675.613	4.751	45.037	36.922	15.567	10.807
-462.336	-670.774	4.789	42.360	34.777	15.207	10.777
-459.991	-671.340	4.776	42.814	36.945	15.205	10.570
-457.989	-673.238	4.753	42.497	34.814	15.583	10.885
-459.037	-674.875	4.756	42.171	33.950	15.473	10.869
-457.335	-673.115	4.757	42.802	39.407	15.053	10.507
-456.299	-674.632	4.729	42.583	33.290	15.164	10.568
-453.195	-667.129	4.761	41.443	34.657	14.593	10.296
-452.835	-674.798	4.721	42.257	35.813	15.105	10.418
-450.637	-662.895	4.765	40.250	33.290	14.241	10.107
-448.523	-659.945	4.773	39.859	33.412	14.124	10.076
-446.788	-665.958	4.728	41.288	33.342	14.512	10.331
-444.313	-658.442	4.757	38.855	33.794	14.104	10.171
-443.895	-656.530	4.748	41.224	35.261	13.606	9.441
-441.870	-650.674	4.781	38.569	33.935	12.663	9.225
-439.269	-647.862	4.764	38.752	31.414	12.419	9.162
-438.416	-649.334	4.752	39.525	32.609	12.551	9.353
-437.584	-650.671	4.758	38.482	32.783	12.459	9.106
-437.107	-646.654	4.775	37.971	32.159	12.243	9.232
-434.028	-640.494	4.786	37.852	32.374	11.850	8.822
-433.754	-639.382	4.784	36.993	32.014	11.929	8.912
-433.354	-635.596	4.785	37.165	31.427	11.238	8.718
-431.993	-633.915	4.793	36.965	31.640	11.077	8.386
-432.300	-633.598	4.795	36.439	30.120	11.010	8.564
-430.068	-633.282	4.771	36.636	27.936	11.303	8.877
-430.346	-636.363	4.768	36.895	27.993	11.246	8.738
-430.161	-634.168	4.779	36.804	28.540	11.130	8.674
-431.568	-638.997	4.764	38.332	30.473	11.366	8.592
-431.833	-637.727	4.764	37.425	29.682	11.255	8.796
-429.493	-629.835	4.800	36.252	29.249	10.463	8.201
-429.252	-628.609	4.797	36.170	28.909	10.511	8.269
-430.938	-637.098	4.744	38.341	30.866	10.964	8.423
-426.590	-626.710	4.778	36.570	26.545	10.536	8.491
-428.386	-631.028	4.765	37.153	27.868	10.666	8.411
-429.484	-630.551	4.781	36.968	28.574	10.690	8.418
-427.439	-628.929	4.763	37.005	27.275	10.555	8.334
-427.660	-626.288	4.791	35.783	27.509	10.328	8.062
-428.451	-631.903	4.760	37.121	28.437	10.949	8.587
-426.998	-628.650	4.783	36.880	28.427	10.445	8.092
-427.094	-627.144	4.782	35.736	26.807	10.543	8.438
-425.651	-626.266	4.775	35.948	27.855	10.668	8.353
-426.137	-627.229	4.757	36.461	26.628	10.729	8.575
-427.528	-630.093	4.760	36.892	27.620	10.576	8.066
-425.896	-626.891	4.777	36.287	28.524	10.397	7.973
-425.393	-623.033	4.791	35.479	25.609	10.260	8.169
-427.764	-628.876	4.790	35.908	27.738	10.567	8.268
-426.398	-626.029	4.777	35.907	26.467	10.370	7.944
-424.725	-622.433	4.798	34.547	25.158	10.208	7.974
-422.569	-620.154	4.789	35.526	24.838	10.056	7.945
-423.285	-615.916	4.816	35.081	25.344	9.615	7.590
-423.616	-624.570	4.772	35.755	24.745	10.312	7.924
-420.234	-614.612	4.812	34.158	24.745	9.474	7.314
-420.406	-611.845	4.833	33.810	24.831	9.274	7.165
-421.711	-617.640	4.814	33.498	24.183	9.938	7.942
-419.412	-608.346	4.861	32.403	25.170	9.339	7.099
-419.585	-613.893	4.823	33.578	25.129	9.885	7.601
-417.835	-609.772	4.845	32.536	23.873	9.580	7.231
-418.114	-614.967	4.834	32.863	25.480	9.735	7.176
-415.737	-602.378	4.882	32.439	25.515	8.704	6.477
-415.696	-603.680	4.869	32.360	23.552	8.960	6.911
-416.812	-604.596	4.900	31.589	24.538	9.003	6.618
-416.941	-612.694	4.850	32.562	23.860	9.337	6.910
-415.582	-608.762	4.865	31.987	23.778	9.321	7.171
-414.694	-603.418	4.914	30.577	23.473	8.958	6.619
-416.081	-606.885	4.885	31.616	23.833	8.812	6.552
