EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-277.780	-671.891	1.111	474.955	23.976	474.955	23.976
-258.117	-551.204	1.128	352.289	23.484	352.289	23.484
-249.923	-488.612	1.146	290.064	23.237	290.064	23.237
-245.425	-456.752	1.157	256.948	22.874	256.948	22.874
-242.268	-434.840	1.173	235.192	22.502	235.192	22.502
-239.576	-419.088	1.189	219.669	22.084	219.669	22.084
-236.751	-404.488	1.207	205.199	21.779	205.199	21.779
-234.490	-392.383	1.221	194.212	21.445	194.212	21.445
-232.599	-387.003	1.240	185.940	20.953	185.940	20.953
-231.407	-376.689	1.257	178.141	20.558	178.141	20.558
-229.384	-371.643	1.268	171.391	20.200	171.391	20.200
-228.702	-365.654	1.282	165.872	19.822	165.872	19.822
-227.032	-358.639	1.300	159.355	19.593	159.355	19.593
-226.105	-354.060	1.305	154.116	19.376	154.116	19.376
-224.785	-349.536	1.322	149.846	19.053	149.846	19.053
-224.191	-344.998	1.328	145.236	18.832	145.236	18.832
-223.052	-341.770	1.347	142.192	18.525	142.192	18.525
-221.859	-337.376	1.358	138.167	18.344	138.167	18.344
-220.913	-333.574	1.373	134.995	18.064	134.995	18.064
-220.610	-329.896	1.376	130.804	17.951	130.804	17.951
-219.800	-327.086	1.391	127.938	17.677	127.938	17.677
-218.613	-323.914	1.404	125.415	17.438	125.415	17.438
-218.628	-322.414	1.419	122.888	17.257	122.888	17.257
-217.557	-318.564	1.418	120.296	17.061	120.296	17.061
-217.609	-318.300	1.437	118.887	16.767	118.887	16.767
-216.586	-315.317	1.441	116.287	16.753	116.287	16.753
-216.582	-313.589	1.454	113.859	16.721	113.859	16.721
-216.108	-311.396	1.463	112.242	16.531	112.242	16.531
-215.494	-309.816	1.474	110.903	16.347	110.903	16.347
-214.887	-309.278	1.481	109.842	16.176	109.842	16.176
-214.400	-308.063	1.473	108.745	16.028	108.745	16.028
-214.172	-307.190	1.496	107.857	15.939	107.857	15.939
-213.701	-307.891	1.499	109.278	15.595	109.278	15.595
-213.375	-306.921	1.516	107.541	15.545	107.541	15.545
-213.495	-305.658	1.523	106.015	15.556	106.015	15.556
-212.599	-304.571	1.534	105.173	15.475	105.173	15.475
-212.554	-304.885	1.537	105.514	15.254	105.514	15.254
-212.374	-302.973	1.544	104.351	15.262	104.351	15.262
-211.856	-303.981	1.560	105.211	15.059	105.211	15.059
-211.554	-303.288	1.559	104.242	15.100	104.242	15.100
-211.728	-303.712	1.564	104.404	14.992	104.404	14.992
-211.583	-302.098	1.577	103.293	14.968	103.293	14.968
-211.168	-302.937	1.587	103.642	14.844	103.642	14.844
-211.313	-303.273	1.591	103.713	14.762	103.713	14.762
-210.783	-301.439	1.599	102.659	14.775	102.659	14.775
-210.726	-300.177	1.600	101.472	14.789	101.472	14.789
-210.606	-299.677	1.613	100.827	14.738	100.827	14.738
-210.437	-299.493	1.616	100.169	14.702	100.169	14.702
-210.160	-299.412	1.619	100.037	14.613	100.037	14.613
-210.328	-297.175	1.632	98.435	14.649	98.435	14.649
-209.968	-297.006	1.636	97.841	14.579	97.841	14.579
-209.724	-296.166	1.642	96.923	14.553	96.923	14.553
-209.651	-295.527	1.659	96.461	14.467	96.461	14.467
-209.576	-293.640	1.672	94.489	14.553	94.489	14.553
-209.214	-293.306	1.675	94.572	14.386	94.572	14.386
-209.103	-292.687	1.674	93.528	14.336	93.528	14.336
-208.849	-292.070	1.687	93.298	14.205	93.298	14.205
-208.625	-291.167	1.698	91.938	14.214	91.938	14.214
-208.778	-288.762	1.700	90.123	14.268	90.123	14.268
-208.585	-289.872	1.698	90.274	14.126	90.274	14.126
-208.498	-289.302	1.717	90.100	14.070	90.100	14.070
-208.382	-289.182	1.709	90.018	13.883	90.018	13.883
-208.194	-288.957	1.715	89.710	13.800	89.710	13.800
-207.971	-287.782	1.731	89.116	13.692	89.116	13.692
-208.265	-286.514	1.741	87.097	13.807	87.097	13.807
