EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-253.617	-899.184	1.098	777.029	47.236	777.029	47.236
-206.068	-627.288	1.119	504.726	45.969	504.727	45.969
-193.159	-500.924	1.136	380.529	45.336	380.529	45.336
-187.961	-441.686	1.143	323.063	44.721	323.063	44.721
-184.613	-411.753	1.153	291.982	43.682	291.982	43.682
-182.847	-392.604	1.154	271.015	43.126	271.015	43.126
-180.795	-376.607	1.164	256.766	42.750	256.766	42.750
-179.008	-367.957	1.163	248.009	42.081	248.009	42.081
-177.978	-359.435	1.164	239.420	41.770	239.420	41.770
-176.070	-357.039	1.172	236.871	41.086	236.871	41.086
-175.132	-353.823	1.173	233.443	40.597	233.443	40.597
-174.174	-353.915	1.175	232.219	40.010	232.219	40.010
-173.336	-351.721	1.172	231.783	39.458	231.783	39.458
-172.180	-351.307	1.175	230.957	39.017	230.957	39.017
-171.303	-350.380	1.178	228.804	38.921	228.804	38.921
-170.824	-348.052	1.182	227.902	38.573	227.902	38.573
-169.967	-348.134	1.187	227.507	38.266	227.507	38.266
-169.123	-348.739	1.180	228.208	37.842	228.208	37.842
-169.222	-348.453	1.189	227.162	37.710	227.162	37.710
-167.646	-346.741	1.187	226.867	37.472	226.867	37.472
-167.419	-345.012	1.196	224.622	37.725	224.622	37.725
-166.822	-344.214	1.197	224.650	37.570	224.650	37.570
