EUBO	ELBO	ESS	KLs_mu_ex	KLs_mu_in	KLs_tau_ex	KLs_tau_in
-329.198	-1320.128	1.100	1104.417	156.598	63.710	6.013
-237.082	-815.560	1.148	1107.620	130.685	46.477	5.847
-209.046	-566.886	1.182	1113.502	103.952	49.366	6.721
-200.844	-459.605	1.203	1122.779	81.716	55.093	7.706
-195.623	-412.138	1.202	1137.952	64.642	54.540	8.271
-190.459	-387.780	1.208	1161.009	50.577	51.297	8.679
-186.281	-377.555	1.202	1190.581	39.702	48.231	9.081
-182.749	-377.439	1.200	1226.965	32.201	45.360	9.354
-178.277	-376.048	1.188	1260.483	26.372	42.508	9.488
-175.398	-378.118	1.194	1290.054	22.613	40.292	9.685
-172.550	-383.825	1.184	1320.934	20.286	38.118	9.728
-170.731	-391.858	1.179	1342.131	19.046	35.940	9.657
-169.184	-391.017	1.183	1353.839	18.268	34.536	9.764
-167.775	-393.151	1.191	1361.411	17.693	33.213	9.796
-166.528	-393.422	1.189	1367.268	17.321	32.075	9.811
-165.599	-393.605	1.188	1364.263	17.019	30.966	9.780
-164.033	-390.821	1.197	1359.176	16.846	30.391	9.908
-163.632	-391.207	1.201	1353.694	16.735	29.434	9.833
-162.277	-390.882	1.204	1352.168	16.523	28.661	9.771
-161.150	-392.748	1.207	1348.379	16.314	28.131	9.730
-160.743	-391.884	1.220	1346.416	16.092	27.493	9.750
-159.711	-388.224	1.213	1331.851	16.048	26.956	9.714
-159.047	-393.385	1.214	1339.595	15.803	26.270	9.647
-158.304	-390.922	1.224	1339.222	15.610	25.903	9.730
-157.809	-388.804	1.228	1337.190	15.477	25.540	9.805
-157.118	-391.944	1.216	1329.230	15.392	24.895	9.756
-156.435	-389.501	1.225	1326.528	15.299	24.524	9.736
-156.487	-393.313	1.232	1330.767	15.152	24.162	9.698
-155.731	-389.583	1.227	1319.149	15.188	23.781	9.619
-154.883	-391.170	1.230	1317.620	15.151	23.426	9.591
-154.478	-391.155	1.232	1320.213	15.076	23.240	9.597
-154.619	-390.776	1.241	1305.683	15.125	22.952	9.518
-153.671	-388.189	1.238	1312.429	15.029	22.914	9.710
-153.113	-391.586	1.232	1318.451	14.894	22.700	9.631
-152.809	-390.377	1.239	1312.324	14.861	22.388	9.680
-152.407	-389.588	1.244	1306.288	14.821	21.989	9.670
-151.805	-393.029	1.255	1299.202	14.787	21.716	9.551
-151.438	-390.681	1.248	1293.736	14.770	21.502	9.552
-151.162	-387.475	1.250	1279.213	14.753	21.671	9.661
-151.021	-396.014	1.245	1297.622	14.535	21.276	9.461
-150.317	-394.931	1.250	1281.843	14.488	20.897	9.438
-149.887	-387.027	1.257	1261.724	14.492	21.009	9.597
-149.821	-387.736	1.254	1253.559	14.435	20.904	9.654
-149.254	-383.236	1.258	1233.269	14.427	20.881	9.690
-148.994	-384.481	1.260	1224.026	14.391	20.608	9.564
-148.972	-383.209	1.267	1202.741	14.342	20.188	9.533
-147.499	-381.503	1.264	1200.739	14.211	20.179	9.575
-147.785	-381.823	1.260	1192.144	14.139	20.007	9.492
-147.676	-376.754	1.270	1176.341	14.148	19.961	9.583
-147.114	-376.684	1.277	1158.274	14.160	19.439	9.382
-146.644	-375.739	1.274	1154.783	14.126	19.435	9.490
-146.283	-375.044	1.276	1149.125	14.051	19.445	9.477
-145.956	-377.158	1.287	1140.366	14.015	18.998	9.299
-145.885	-371.140	1.283	1114.877	14.106	18.856	9.271
-145.227	-376.097	1.286	1113.381	14.014	18.671	9.134
-145.330	-368.094	1.291	1100.424	14.044	18.905	9.310
-144.567	-364.409	1.291	1087.586	14.008	18.844	9.240
-144.523	-364.087	1.294	1073.376	13.928	18.932	9.276
-144.158	-362.904	1.292	1065.791	13.863	18.472	9.179
-143.907	-364.907	1.302	1062.763	13.750	18.454	9.169
-143.775	-360.872	1.299	1047.671	13.723	18.579	9.153
-142.679	-356.217	1.300	1030.964	13.804	18.476	9.176
-143.158	-356.298	1.300	1023.108	13.815	18.333	9.090
-142.382	-352.271	1.308	1026.577	13.790	18.509	9.251
-143.119	-351.416	1.309	1009.154	13.837	18.222	9.107
-142.895	-357.894	1.313	1007.758	13.718	17.967	8.965
-142.803	-355.352	1.307	994.891	13.617	17.922	9.056
-142.472	-355.422	1.322	989.940	13.588	17.699	8.968
-141.889	-345.886	1.319	983.934	13.593	17.842	9.103
-141.889	-346.635	1.319	970.266	13.641	18.027	9.031
-141.828	-343.929	1.320	971.402	13.540	18.041	9.217
-141.548	-344.610	1.322	972.614	13.489	17.821	9.130
