EUBO	ELBO	ESS	KLs_mu_ex	KLs_mu_in	KLs_tau_ex	KLs_tau_in
-261.629	-1015.303	1.127	1135.418	79.824	50.170	5.883
-218.623	-728.025	1.149	1149.552	66.018	49.422	6.362
-202.801	-580.437	1.163	1166.005	52.626	53.186	7.071
-196.210	-497.348	1.171	1186.173	41.941	56.297	7.742
-191.179	-457.832	1.170	1213.047	33.744	55.914	8.217
-187.027	-434.690	1.167	1245.412	27.834	53.420	8.551
-183.490	-426.324	1.175	1282.593	23.639	50.494	8.871
-179.677	-420.695	1.163	1319.680	21.031	47.291	9.112
-177.724	-414.742	1.167	1348.697	19.550	44.486	9.355
-174.878	-414.289	1.164	1383.023	18.504	41.949	9.516
-173.091	-417.616	1.158	1418.766	17.743	39.805	9.657
-171.229	-418.796	1.166	1443.590	17.297	37.571	9.707
-170.179	-419.944	1.164	1460.288	17.074	35.603	9.721
-169.047	-417.488	1.166	1466.051	16.949	34.309	9.841
-167.852	-416.439	1.174	1475.244	16.757	32.896	9.952
-167.161	-420.930	1.176	1473.232	16.585	31.250	9.860
-165.605	-415.919	1.177	1470.146	16.473	30.364	9.961
-165.036	-420.133	1.180	1466.191	16.376	29.049	9.823
-163.896	-421.681	1.185	1459.236	16.235	28.185	9.782
-164.151	-415.198	1.195	1443.645	16.209	27.680	9.872
-162.625	-410.576	1.196	1435.205	16.071	27.463	10.085
-161.564	-410.373	1.197	1427.461	15.930	26.801	10.065
-161.083	-404.946	1.206	1403.858	15.911	26.336	10.083
-160.913	-409.389	1.207	1389.716	15.830	25.615	9.866
-160.050	-409.785	1.216	1374.692	15.815	25.014	9.748
-159.551	-413.173	1.221	1368.594	15.718	24.387	9.667
-158.567	-407.511	1.215	1354.021	15.641	24.036	9.692
-158.417	-404.570	1.225	1339.405	15.590	23.649	9.683
-157.886	-402.144	1.227	1328.824	15.489	23.484	9.769
-156.976	-401.744	1.223	1317.012	15.376	23.030	9.725
-156.310	-398.209	1.228	1307.180	15.321	22.706	9.812
-156.371	-406.580	1.237	1304.978	15.257	22.072	9.583
-154.910	-403.947	1.234	1294.717	15.117	21.907	9.594
-155.341	-405.631	1.237	1271.363	15.072	21.530	9.443
-154.784	-399.480	1.240	1249.328	15.065	21.330	9.439
-154.061	-400.133	1.244	1242.012	14.942	21.134	9.489
-153.544	-399.235	1.247	1235.472	14.830	21.043	9.484
-153.535	-398.230	1.247	1227.478	14.698	20.814	9.475
-152.998	-396.918	1.245	1207.123	14.698	20.501	9.375
-152.375	-393.674	1.253	1199.680	14.658	20.440	9.437
-151.329	-398.874	1.260	1197.836	14.575	20.086	9.286
-151.727	-397.396	1.250	1185.319	14.578	19.755	9.200
-151.533	-396.527	1.266	1169.293	14.562	19.679	9.185
-151.336	-395.706	1.264	1162.765	14.512	19.652	9.278
-150.949	-394.874	1.266	1155.939	14.459	19.427	9.208
-150.867	-397.634	1.272	1155.451	14.382	19.159	9.138
-150.090	-394.270	1.274	1141.163	14.439	18.965	9.082
-149.831	-394.022	1.280	1128.471	14.399	18.905	9.079
-149.196	-400.705	1.285	1132.643	14.286	18.528	8.884
-148.893	-399.351	1.286	1119.216	14.315	18.546	8.834
-148.847	-396.284	1.292	1111.717	14.304	18.596	8.843
-148.308	-397.859	1.288	1107.672	14.187	18.641	8.857
-147.621	-396.270	1.295	1099.092	14.213	18.511	8.849
-148.311	-396.870	1.299	1095.525	14.205	18.255	8.737
-147.832	-391.526	1.303	1082.725	14.277	18.121	8.730
-147.225	-396.341	1.299	1077.276	14.232	18.094	8.664
-147.239	-395.878	1.303	1070.876	14.182	17.894	8.550
-146.420	-390.920	1.309	1063.824	14.115	17.755	8.577
-146.452	-389.346	1.312	1053.938	14.157	17.874	8.684
-146.317	-390.377	1.317	1055.701	14.097	17.808	8.647
-146.144	-387.993	1.316	1043.347	14.120	17.758	8.585
-145.593	-388.160	1.319	1039.299	14.107	17.653	8.570
-145.427	-387.802	1.324	1044.630	13.965	17.619	8.557
-145.691	-382.576	1.322	1016.276	14.111	17.613	8.514
-145.413	-384.420	1.329	1020.894	13.986	17.470	8.432
-144.977	-385.743	1.326	1016.105	13.916	17.526	8.474
-144.495	-384.899	1.330	1014.080	13.835	17.466	8.479
-143.884	-383.078	1.340	1016.057	13.726	17.504	8.518
-144.218	-382.720	1.331	1004.383	13.697	17.307	8.391
-143.353	-378.023	1.339	991.141	13.694	17.212	8.428
-144.346	-376.961	1.350	981.016	13.764	17.075	8.237
-143.316	-372.836	1.349	976.055	13.759	17.436	8.383
-142.905	-373.039	1.353	971.678	13.722	17.383	8.254
-143.132	-369.129	1.353	966.076	13.607	17.404	8.346
-142.506	-371.251	1.355	962.593	13.519	17.248	8.260
-142.180	-369.879	1.356	965.432	13.427	17.372	8.360
-142.546	-371.194	1.361	948.535	13.405	17.362	8.201
-142.015	-362.031	1.358	943.286	13.299	17.333	8.320
-141.535	-357.218	1.374	925.409	13.410	17.282	8.243
-141.342	-363.138	1.368	936.396	13.236	17.058	8.161
-141.257	-362.367	1.375	928.247	13.209	17.139	8.084
-141.166	-359.698	1.378	919.719	13.233	17.217	8.240
-140.143	-358.773	1.380	926.800	13.090	17.150	8.249
-140.449	-359.590	1.374	914.975	13.073	17.065	8.129
-140.911	-363.441	1.376	906.965	13.054	16.977	7.918
-139.880	-355.978	1.386	893.555	13.136	17.214	8.017
-139.917	-353.548	1.391	891.604	12.987	17.218	8.067
-139.431	-355.524	1.383	899.554	12.828	17.121	7.985
-139.323	-348.133	1.395	885.389	12.802	17.252	8.117
-138.854	-345.025	1.393	879.284	12.742	17.273	8.097
-138.791	-344.851	1.403	861.154	12.845	17.105	7.953
-138.706	-347.785	1.404	859.736	12.764	16.994	7.893
-138.717	-348.062	1.405	860.709	12.676	16.832	7.834
-138.105	-344.049	1.401	849.607	12.708	16.807	7.840
-137.991	-343.111	1.400	847.772	12.654	16.857	7.787
-138.217	-339.873	1.416	835.350	12.686	16.877	7.852
-137.864	-339.282	1.408	836.528	12.593	16.872	7.828
-137.666	-340.019	1.412	832.429	12.547	16.769	7.879
-137.411	-335.444	1.412	821.059	12.534	16.810	7.881
-136.933	-328.479	1.422	808.249	12.547	16.902	7.991
-137.027	-335.653	1.419	808.487	12.503	16.845	7.802
-136.830	-331.087	1.429	799.654	12.525	16.777	7.742
-136.333	-329.950	1.416	799.317	12.420	16.845	7.676
-136.377	-326.681	1.430	788.616	12.412	17.030	7.781
-136.356	-322.862	1.429	769.497	12.447	17.018	7.705
-135.826	-321.298	1.431	777.638	12.334	17.001	7.731
-135.688	-322.062	1.432	772.904	12.264	17.098	7.709
-135.373	-328.404	1.426	773.091	12.146	16.696	7.595
-135.279	-324.287	1.439	766.187	12.185	16.803	7.617
-135.144	-322.687	1.439	760.748	12.191	16.934	7.574
-135.126	-323.561	1.435	753.678	12.226	16.893	7.500
-134.922	-316.571	1.436	744.619	12.237	16.812	7.613
-134.935	-327.546	1.439	751.851	12.134	16.625	7.390
-134.926	-330.635	1.446	744.023	12.131	16.340	7.301
-134.564	-314.189	1.451	731.731	12.146	16.788	7.497
-133.981	-323.027	1.447	742.059	12.013	16.754	7.323
-134.003	-311.379	1.455	725.436	12.075	17.099	7.507
-133.844	-320.228	1.448	737.701	11.900	16.773	7.330
-134.061	-315.600	1.457	712.872	11.971	16.861	7.317
-133.747	-315.384	1.459	714.543	11.881	16.738	7.243
-133.606	-312.990	1.458	706.920	11.892	16.800	7.262
-133.481	-316.133	1.460	704.387	11.936	16.792	7.193
-133.661	-311.051	1.465	694.383	12.009	16.684	7.208
-133.578	-316.411	1.469	697.799	11.922	16.635	7.113
-133.246	-302.923	1.463	691.836	11.871	17.140	7.353
-133.621	-307.816	1.468	679.391	11.884	16.814	7.139
-133.015	-304.435	1.483	681.085	11.811	16.929	7.268
-133.052	-312.070	1.471	679.012	11.781	16.559	7.030
-132.954	-312.798	1.470	676.796	11.765	16.801	7.050
-132.752	-306.493	1.478	671.882	11.741	16.839	7.111
-132.555	-312.443	1.473	667.873	11.648	16.558	6.945
-132.285	-299.806	1.491	652.598	11.686	16.874	7.122
-132.168	-306.696	1.476	655.740	11.586	16.806	6.967
-132.182	-297.023	1.491	645.133	11.677	17.072	7.142
-131.924	-296.697	1.493	634.759	11.625	16.872	7.037
-131.831	-303.695	1.492	628.279	11.571	16.388	6.826
-131.529	-298.699	1.486	627.322	11.535	16.648	6.953
-131.391	-296.948	1.487	628.165	11.453	17.131	7.004
-131.842	-289.249	1.500	617.125	11.485	17.386	7.106
-131.311	-293.487	1.488	620.786	11.414	17.194	6.969
-130.955	-299.282	1.491	622.751	11.356	17.004	6.886
-131.114	-294.710	1.503	617.441	11.362	17.173	6.929
-130.792	-297.332	1.499	613.363	11.352	16.715	6.809
-131.336	-296.282	1.504	607.896	11.368	16.804	6.809
-131.367	-294.859	1.508	607.965	11.317	16.959	6.866
-130.877	-291.993	1.508	613.849	11.249	17.265	6.927
-130.773	-299.010	1.505	602.689	11.254	16.726	6.657
-130.485	-289.356	1.504	588.741	11.339	17.103	6.790
-130.816	-288.917	1.505	593.174	11.224	17.167	6.863
-130.439	-281.720	1.513	583.372	11.240	17.239	6.948
-130.388	-293.253	1.511	588.653	11.192	17.214	6.710
-130.129	-289.925	1.521	577.638	11.234	16.910	6.627
-130.079	-288.251	1.514	587.474	11.101	17.108	6.743
-130.395	-293.250	1.520	578.564	11.184	17.008	6.597
-130.134	-281.275	1.527	570.347	11.226	17.091	6.770
-129.875	-290.849	1.518	576.191	11.139	16.857	6.612
-129.780	-286.826	1.527	570.767	11.098	16.967	6.651
-130.179	-289.867	1.524	572.290	11.075	17.071	6.596
-129.813	-293.671	1.522	569.380	11.001	16.846	6.472
-129.834	-286.168	1.525	559.698	11.060	16.920	6.578
-129.355	-291.422	1.519	563.683	10.973	16.865	6.510
-129.707	-286.330	1.528	560.663	10.995	17.052	6.584
-129.884	-287.572	1.531	556.688	10.966	17.106	6.533
-129.565	-287.725	1.532	554.991	10.984	17.001	6.462
-129.247	-285.029	1.535	548.896	10.989	17.183	6.470
-129.191	-285.463	1.537	554.245	10.906	17.203	6.522
-129.158	-283.816	1.537	546.095	10.935	16.941	6.458
-129.604	-291.397	1.540	545.422	10.916	16.774	6.332
-129.104	-289.352	1.538	552.510	10.809	17.143	6.426
-128.537	-281.483	1.543	541.929	10.773	17.091	6.456
-128.813	-281.728	1.543	536.265	10.786	17.376	6.479
-128.984	-284.750	1.542	533.087	10.828	17.210	6.417
-128.885	-282.699	1.558	534.975	10.762	17.175	6.403
-128.607	-286.413	1.553	538.191	10.745	17.346	6.347
-128.719	-284.766	1.552	533.378	10.777	17.183	6.311
-128.469	-281.052	1.553	530.318	10.797	17.270	6.367
-128.836	-282.855	1.561	528.604	10.727	17.163	6.317
-128.363	-278.601	1.556	519.427	10.785	17.264	6.361
-128.677	-289.701	1.565	517.628	10.712	16.936	6.150
-128.172	-284.668	1.557	522.212	10.658	17.001	6.254
-128.258	-280.469	1.553	516.521	10.653	17.077	6.282
-128.011	-282.823	1.560	518.959	10.636	17.140	6.218
-128.363	-279.116	1.563	514.169	10.653	17.371	6.298
-128.013	-276.426	1.567	509.019	10.644	17.406	6.315
-128.108	-282.356	1.571	510.522	10.591	17.359	6.235
-128.191	-278.407	1.564	499.885	10.668	17.418	6.223
-127.711	-279.914	1.565	506.425	10.581	17.336	6.238
-128.315	-276.370	1.573	503.803	10.618	17.437	6.277
-127.913	-283.754	1.580	502.862	10.586	17.447	6.165
-127.811	-277.910	1.576	500.520	10.604	17.304	6.217
-127.658	-279.570	1.583	497.210	10.570	17.185	6.142
-127.715	-281.970	1.575	494.263	10.521	16.939	6.112
-127.498	-270.933	1.585	489.013	10.527	17.610	6.296
-127.527	-270.866	1.584	486.960	10.535	17.386	6.227
-127.148	-267.939	1.583	486.446	10.469	17.782	6.308
-127.714	-272.986	1.588	484.576	10.432	17.574	6.229
-127.145	-278.610	1.584	487.575	10.376	17.331	6.146
-127.376	-275.254	1.597	479.251	10.414	17.473	6.137
-127.243	-272.717	1.598	475.209	10.397	17.135	6.109
-126.906	-270.754	1.594	472.732	10.382	17.705	6.199
-126.874	-271.659	1.593	478.266	10.313	17.576	6.179
-126.548	-273.310	1.602	473.176	10.340	17.273	6.147
-126.991	-267.568	1.599	468.717	10.344	17.624	6.219
-126.539	-266.564	1.607	471.605	10.356	17.574	6.198
-126.859	-266.434	1.609	468.755	10.314	17.651	6.192
-126.793	-272.397	1.606	463.306	10.256	17.313	6.041
-126.822	-272.793	1.604	463.945	10.297	17.256	6.037
-126.421	-271.014	1.609	456.890	10.281	17.488	6.041
-126.230	-269.448	1.611	463.548	10.196	17.585	6.061
-126.428	-267.106	1.618	456.762	10.253	17.753	6.078
-126.612	-268.256	1.623	451.823	10.213	17.383	6.002
-126.466	-264.643	1.618	450.252	10.200	17.644	6.066
-126.430	-269.164	1.625	451.208	10.147	17.526	5.981
-126.272	-262.581	1.626	446.648	10.169	17.596	6.046
-125.980	-261.994	1.615	447.917	10.135	17.803	6.114
-126.233	-261.072	1.625	435.819	10.170	17.692	6.097
-125.498	-263.208	1.626	433.941	10.140	17.673	6.019
-125.784	-267.253	1.633	437.995	10.090	17.554	5.980
-125.600	-267.171	1.635	439.556	10.085	17.665	5.974
-125.545	-263.049	1.638	432.430	10.212	17.687	5.971
-125.243	-258.133	1.634	431.771	10.133	17.834	6.069
-125.573	-261.281	1.638	436.167	10.108	17.836	6.029
-124.962	-262.801	1.655	432.370	10.009	17.595	5.949
-125.443	-264.621	1.642	425.075	10.062	17.756	5.939
-125.258	-254.743	1.648	425.966	10.060	17.937	6.037
-124.910	-261.657	1.645	426.565	10.036	17.900	5.939
-124.992	-260.687	1.662	426.087	10.014	17.963	5.981
-125.045	-256.931	1.668	419.022	10.094	17.940	5.982
-125.006	-257.906	1.653	412.738	9.992	17.861	5.902
-124.913	-258.106	1.653	413.655	10.006	17.825	5.891
-124.976	-256.936	1.649	416.486	9.977	17.801	5.930
-124.549	-254.191	1.659	409.669	9.948	17.963	5.964
-124.660	-254.421	1.663	410.409	9.908	17.826	5.960
-124.411	-255.281	1.658	412.874	9.849	18.033	5.955
-124.784	-251.166	1.658	407.410	9.839	18.040	5.986
-124.979	-254.064	1.655	411.658	9.824	18.167	5.975
-124.681	-252.051	1.662	409.487	9.851	18.108	5.979
-124.514	-260.838	1.668	405.984	9.881	18.173	5.910
-124.507	-259.829	1.657	411.097	9.902	18.105	5.883
-124.677	-251.809	1.676	397.337	9.896	18.206	5.944
-124.524	-259.407	1.680	399.802	9.895	17.965	5.792
-124.337	-253.451	1.682	398.807	9.856	17.954	5.878
-124.226	-256.310	1.680	400.469	9.780	17.807	5.820
-123.955	-250.894	1.686	395.078	9.788	17.816	5.855
-124.313	-251.513	1.685	393.702	9.770	17.819	5.826
-124.163	-249.322	1.674	395.210	9.734	18.125	5.878
-124.234	-254.275	1.679	393.221	9.737	18.303	5.861
-124.083	-250.824	1.687	391.147	9.687	18.108	5.864
-124.297	-255.370	1.686	392.489	9.691	18.002	5.843
-124.005	-252.129	1.691	388.167	9.692	17.862	5.800
-124.101	-253.797	1.686	384.940	9.696	18.143	5.809
-123.930	-252.499	1.694	380.737	9.730	18.276	5.817
-123.943	-245.586	1.698	376.386	9.722	18.057	5.864
-123.592	-247.402	1.697	376.795	9.639	18.357	5.853
-123.759	-248.287	1.703	376.898	9.616	18.168	5.829
-123.474	-242.238	1.701	374.520	9.587	18.416	5.945
-123.591	-244.905	1.701	374.984	9.644	18.520	5.924
-123.553	-247.301	1.716	373.748	9.584	18.267	5.848
-123.808	-245.011	1.714	369.995	9.698	18.167	5.836
-123.629	-244.972	1.712	372.154	9.557	18.203	5.852
-123.752	-237.578	1.725	368.346	9.645	18.434	5.950
-123.181	-239.494	1.726	361.759	9.580	18.549	5.921
-123.445	-239.048	1.723	365.042	9.600	18.548	5.922
-122.908	-242.895	1.713	364.901	9.518	18.468	5.842
-122.730	-240.007	1.718	357.357	9.476	18.544	5.852
-123.247	-239.041	1.726	355.817	9.562	18.537	5.853
-123.000	-242.583	1.726	355.444	9.432	18.457	5.805
-122.757	-244.207	1.737	355.611	9.455	18.268	5.749
-122.858	-241.968	1.736	350.486	9.382	18.436	5.771
-122.547	-244.237	1.734	350.969	9.341	18.335	5.745
-122.724	-243.154	1.741	350.268	9.392	18.349	5.774
-122.805	-240.640	1.739	350.580	9.402	18.427	5.764
-122.403	-241.449	1.745	347.180	9.334	18.489	5.762
-122.739	-241.571	1.751	351.996	9.276	18.608	5.797
-122.284	-238.261	1.739	346.054	9.286	18.711	5.811
-122.592	-239.176	1.745	343.757	9.287	18.540	5.764
-122.541	-237.333	1.755	339.069	9.312	18.794	5.792
-122.163	-238.390	1.764	338.345	9.204	18.741	5.764
-122.226	-238.434	1.769	335.220	9.266	18.779	5.769
-122.163	-239.607	1.779	332.753	9.172	18.734	5.735
-121.922	-233.778	1.764	332.860	9.126	18.854	5.813
-121.992	-238.223	1.761	329.247	9.233	18.706	5.713
-121.728	-238.275	1.774	328.020	9.104	18.683	5.720
-121.799	-239.726	1.770	332.092	9.131	18.795	5.701
-121.569	-233.357	1.781	323.938	9.076	19.080	5.776
-122.063	-232.459	1.779	325.915	9.095	19.090	5.786
-121.153	-238.207	1.780	323.248	9.039	19.004	5.674
-121.676	-234.810	1.792	314.786	9.075	19.092	5.682
-121.698	-235.142	1.784	324.159	9.174	19.179	5.738
-121.517	-227.696	1.817	315.268	9.074	19.274	5.794
-121.295	-238.811	1.801	319.902	9.013	18.962	5.653
-121.294	-234.760	1.797	315.427	9.061	18.827	5.635
-121.399	-226.219	1.822	306.125	8.995	19.153	5.758
-121.281	-233.003	1.820	308.575	9.003	19.004	5.672
-121.450	-228.914	1.812	300.369	9.114	19.002	5.675
-121.507	-227.747	1.817	301.617	9.058	19.370	5.724
-120.960	-224.662	1.823	301.784	8.861	19.438	5.767
-121.047	-227.629	1.814	298.103	8.950	19.200	5.730
-120.974	-234.798	1.822	301.261	8.874	19.350	5.644
-120.967	-226.571	1.825	296.102	8.925	19.265	5.677
-121.109	-228.603	1.830	293.813	8.927	19.176	5.638
-120.726	-224.926	1.834	293.001	8.923	19.015	5.635
-120.867	-227.589	1.844	293.306	8.848	19.360	5.653
-120.704	-226.287	1.843	289.131	8.848	19.376	5.652
-120.824	-226.194	1.843	282.067	8.908	19.427	5.621
-120.872	-229.749	1.843	285.974	8.881	19.477	5.626
-120.792	-224.739	1.853	282.596	8.856	19.431	5.630
-120.558	-224.886	1.856	284.590	8.867	19.511	5.648
-120.290	-226.037	1.858	280.453	8.730	19.366	5.588
-120.161	-228.272	1.859	283.276	8.829	19.414	5.566
-120.405	-230.918	1.843	284.174	8.861	19.397	5.537
-120.147	-228.634	1.859	281.440	8.713	19.380	5.563
-120.337	-222.730	1.869	276.185	8.762	19.436	5.587
-120.200	-221.728	1.855	273.605	8.683	19.574	5.613
-120.008	-230.036	1.855	272.840	8.654	19.772	5.578
-119.850	-224.729	1.876	267.495	8.629	19.441	5.544
-120.002	-218.802	1.877	268.476	8.598	19.807	5.657
-119.997	-221.406	1.869	270.149	8.562	19.826	5.652
-119.834	-220.771	1.862	268.722	8.665	19.816	5.645
-119.925	-219.060	1.867	262.404	8.576	19.866	5.641
-119.912	-220.731	1.877	261.548	8.557	19.891	5.614
-119.714	-221.298	1.882	262.679	8.561	19.748	5.590
-119.601	-217.058	1.877	255.539	8.533	19.766	5.579
-119.631	-224.040	1.881	257.380	8.487	19.586	5.510
-119.767	-219.184	1.895	257.655	8.408	19.542	5.537
-119.491	-214.870	1.883	257.875	8.408	19.857	5.625
-119.907	-217.796	1.899	255.677	8.386	20.331	5.660
-119.172	-215.833	1.893	254.502	8.332	20.028	5.598
-119.502	-219.552	1.898	250.690	8.409	19.925	5.534
-119.395	-219.501	1.915	246.996	8.361	19.964	5.528
-119.196	-221.363	1.899	247.667	8.352	19.976	5.512
-119.354	-217.702	1.899	248.766	8.328	19.867	5.514
-119.045	-214.942	1.902	245.228	8.330	20.101	5.554
-119.125	-218.539	1.899	245.924	8.393	20.222	5.547
-119.046	-218.641	1.907	244.206	8.309	19.971	5.490
-118.941	-216.576	1.916	245.010	8.214	19.896	5.500
-118.927	-211.216	1.906	241.330	8.270	20.089	5.566
-118.491	-214.134	1.906	240.822	8.182	20.292	5.556
-119.069	-225.863	1.923	240.097	8.218	19.822	5.406
-118.551	-208.989	1.930	236.784	8.201	20.272	5.577
-118.829	-214.118	1.952	236.977	8.161	20.360	5.559
-118.332	-209.897	1.940	237.990	8.158	20.288	5.569
-118.685	-214.893	1.945	236.718	8.139	20.317	5.533
-118.598	-211.085	1.934	234.472	8.190	20.186	5.523
-118.549	-211.352	1.930	235.249	8.097	20.318	5.552
-118.799	-216.622	1.933	233.363	8.144	20.044	5.460
-118.077	-214.768	1.938	231.258	7.977	20.072	5.468
-118.408	-209.467	1.946	226.585	7.961	20.350	5.528
-118.239	-214.517	1.935	226.844	8.090	20.474	5.517
-118.443	-209.050	1.943	225.660	8.125	20.257	5.496
-118.196	-215.323	1.964	226.813	7.891	20.193	5.441
-118.410	-214.085	1.945	222.618	8.042	20.354	5.475
-118.262	-209.968	1.961	220.920	7.925	20.819	5.574
-118.182	-216.622	1.964	221.383	7.902	20.506	5.480
-118.036	-213.822	1.961	218.454	7.840	20.576	5.490
-118.083	-205.827	1.967	218.592	7.824	20.537	5.524
-118.044	-211.704	1.962	218.703	7.820	20.430	5.473
-118.132	-210.802	1.974	213.001	7.948	20.691	5.510
-117.909	-206.623	1.981	214.017	7.884	20.514	5.495
-117.644	-211.513	1.974	217.912	7.710	20.547	5.478
-118.154	-212.206	1.979	213.534	7.725	20.646	5.476
-117.794	-206.652	1.985	211.396	7.723	20.855	5.527
-117.508	-205.761	1.975	211.392	7.693	20.768	5.514
-117.416	-206.145	1.991	209.427	7.694	20.705	5.489
-117.631	-209.765	1.992	208.765	7.719	20.880	5.498
-117.489	-206.805	2.001	208.687	7.729	20.678	5.485
-117.629	-206.544	1.999	205.931	7.669	20.977	5.523
