EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-736.803	-1894.627	2.671	621.085	22.587	182.062	36.397
-664.328	-1125.351	3.403	235.456	28.767	78.392	23.620
-636.761	-967.687	3.906	159.262	36.009	46.775	16.649
-622.653	-888.875	4.321	119.397	42.736	29.655	11.961
-612.199	-844.601	4.604	97.378	46.932	19.988	9.079
-604.573	-820.998	4.756	85.872	49.067	15.476	7.665
-603.523	-804.436	4.855	77.737	49.913	13.208	6.918
-600.420	-794.461	4.908	71.799	48.880	12.050	6.469
-599.581	-786.364	4.953	68.142	50.991	11.267	6.149
-597.415	-778.749	4.983	65.316	50.825	10.820	5.973
-591.620	-768.610	5.003	61.310	48.508	10.416	5.793
-587.835	-760.515	5.014	58.158	46.262	10.085	5.654
-584.027	-751.694	5.055	54.723	47.831	9.476	5.354
-580.518	-745.989	5.072	52.689	46.896	9.324	5.178
-573.704	-741.199	5.058	52.360	47.638	9.368	5.141
-568.413	-735.644	5.060	51.217	48.005	9.170	5.008
-564.021	-730.592	5.073	49.971	48.137	8.812	4.776
-559.976	-727.034	5.066	49.959	49.607	9.004	4.805
-555.960	-723.655	5.065	49.713	50.526	8.888	4.749
-551.650	-720.039	5.063	49.336	50.681	8.869	4.638
-548.398	-715.818	5.075	48.834	51.294	8.570	4.520
-544.154	-713.629	5.060	49.704	54.744	8.788	4.602
-542.648	-710.356	5.077	48.553	52.759	8.362	4.354
-541.781	-708.262	5.098	48.055	54.794	8.022	4.208
-537.926	-705.478	5.084	48.239	55.210	8.005	4.162
-535.581	-702.896	5.094	47.958	54.715	7.671	4.001
-534.148	-701.937	5.081	47.501	54.576	7.685	4.042
-535.409	-698.159	5.134	47.223	56.505	6.957	3.662
-532.673	-697.698	5.123	46.584	56.839	6.892	3.663
-529.962	-695.479	5.113	48.403	57.446	6.910	3.666
-527.291	-693.817	5.120	48.672	57.543	6.754	3.599
-525.125	-692.894	5.106	49.205	58.799	6.724	3.640
-523.997	-692.091	5.104	48.558	58.801	6.817	3.680
-523.970	-690.709	5.112	47.362	58.990	6.441	3.515
-521.509	-689.969	5.103	49.200	58.825	6.438	3.542
-521.397	-689.684	5.108	46.645	57.809	6.372	3.514
-520.503	-688.503	5.108	45.587	59.004	6.229	3.490
-522.352	-688.317	5.126	46.069	58.268	6.057	3.352
-518.870	-687.674	5.104	45.854	57.098	6.153	3.417
-519.355	-688.232	5.108	46.463	58.181	6.086	3.408
-519.798	-686.527	5.119	45.016	57.720	5.927	3.343
-517.902	-686.383	5.103	45.487	57.691	5.878	3.350
-517.996	-685.073	5.126	45.566	59.459	5.770	3.260
-518.320	-684.502	5.131	45.114	59.059	5.639	3.218
-515.250	-683.815	5.107	46.202	58.350	5.791	3.336
-517.239	-683.486	5.130	45.411	58.125	5.406	3.101
-514.603	-683.045	5.124	45.411	57.482	5.507	3.095
-514.629	-683.669	5.110	45.185	58.427	5.441	3.170
-514.919	-683.003	5.121	44.884	57.559	5.249	3.087
-511.558	-682.876	5.097	46.148	56.566	5.491	3.149
-514.641	-680.879	5.143	44.123	55.435	5.023	2.867
-512.138	-680.178	5.128	44.322	56.905	4.939	2.890
-513.050	-681.705	5.135	46.599	56.219	4.844	2.786
-512.184	-679.398	5.145	44.887	56.660	4.696	2.784
-511.479	-679.709	5.145	44.338	56.759	4.712	2.782
-514.459	-680.071	5.164	43.506	59.208	4.557	2.686
-512.339	-678.863	5.167	43.132	57.556	4.268	2.483
-509.480	-679.171	5.150	43.226	58.254	4.367	2.609
-509.735	-677.799	5.161	43.217	58.023	4.218	2.504
-509.747	-677.482	5.175	43.495	58.243	4.194	2.472
-508.670	-677.784	5.169	42.178	59.151	4.152	2.522
-508.032	-677.605	5.162	43.352	57.986	4.143	2.491
-510.350	-678.111	5.185	43.579	58.122	3.839	2.333
-509.788	-677.519	5.187	41.821	57.279	3.855	2.378
-505.312	-675.695	5.163	42.012	58.090	3.898	2.430
-501.514	-676.351	5.133	43.878	56.352	4.025	2.481
-506.721	-675.722	5.180	41.739	56.772	3.663	2.266
-504.463	-676.471	5.150	42.489	56.262	3.892	2.454
-502.573	-676.610	5.144	43.115	56.816	3.961	2.509
-502.597	-674.676	5.158	41.839	56.818	3.726	2.319
-505.893	-674.799	5.177	41.242	56.740	3.550	2.220
-504.759	-675.347	5.170	41.459	57.860	3.648	2.322
-500.983	-675.300	5.141	42.126	55.826	3.705	2.331
-501.544	-674.129	5.165	41.511	55.195	3.615	2.256
-499.432	-674.844	5.138	42.655	56.121	3.838	2.471
-502.374	-674.066	5.164	41.305	54.966	3.493	2.192
-502.260	-674.227	5.159	40.923	55.487	3.445	2.183
-503.124	-674.330	5.167	42.219	56.537	3.441	2.202
-504.581	-673.265	5.200	40.754	57.758	3.355	2.088
-500.828	-672.212	5.166	40.592	56.446	3.390	2.144
-499.277	-672.718	5.160	41.285	56.340	3.465	2.225
-503.327	-673.242	5.190	41.287	58.512	3.272	2.093
-501.668	-673.232	5.172	40.839	57.242	3.325	2.143
-499.777	-672.053	5.171	40.852	57.162	3.375	2.127
-500.868	-673.768	5.164	40.998	56.200	3.309	2.112
-499.964	-673.380	5.171	40.599	56.140	3.326	2.150
-498.252	-673.201	5.154	40.815	55.323	3.385	2.198
-500.147	-671.147	5.169	41.158	54.366	3.260	2.106
-501.423	-671.765	5.179	40.843	55.416	3.122	1.964
-496.762	-670.702	5.149	41.691	54.523	3.239	2.093
-498.307	-671.557	5.160	40.924	54.446	3.219	2.095
-495.929	-672.363	5.127	42.496	53.892	3.208	2.055
-498.969	-672.501	5.158	41.506	53.109	3.067	1.956
-496.913	-671.238	5.138	42.078	53.557	3.219	2.106
-497.695	-669.918	5.164	41.539	54.293	3.109	1.992
-497.945	-669.566	5.166	40.476	55.451	3.158	2.045
-497.263	-669.998	5.167	40.741	54.349	3.083	2.005
-497.142	-670.777	5.157	41.078	56.237	3.156	2.088
-498.157	-672.338	5.166	40.985	55.837	3.019	1.933
-500.877	-673.040	5.183	40.123	55.511	2.958	1.873
-496.556	-670.867	5.163	40.744	54.817	2.931	1.867
-498.102	-670.114	5.181	40.785	55.995	2.892	1.879
-496.878	-668.299	5.173	40.680	56.999	2.939	1.904
-498.005	-669.525	5.191	40.159	56.425	2.805	1.819
-495.181	-668.746	5.179	40.750	55.856	2.871	1.888
-494.462	-667.290	5.171	41.185	54.879	2.815	1.855
-494.820	-667.545	5.175	40.720	53.893	2.821	1.821
-494.697	-669.658	5.152	40.885	55.609	2.877	1.888
-497.206	-669.503	5.188	40.322	56.956	2.750	1.789
-497.474	-669.160	5.181	40.266	55.798	2.866	1.915
-496.163	-668.949	5.170	40.633	55.321	2.805	1.831
-497.714	-668.340	5.195	40.064	56.471	2.660	1.722
-495.807	-667.529	5.185	39.738	56.688	2.706	1.788
-498.069	-669.882	5.199	40.107	57.816	2.605	1.697
-496.220	-668.980	5.181	39.760	57.233	2.768	1.859
-494.934	-667.288	5.177	40.280	56.644	2.796	1.884
-493.856	-668.808	5.162	40.742	56.615	2.829	1.904
-494.415	-667.480	5.174	40.538	55.796	2.681	1.776
-494.143	-665.665	5.186	40.072	56.254	2.691	1.782
-492.780	-665.947	5.178	39.963	54.874	2.624	1.747
-491.025	-665.693	5.159	39.851	55.401	2.749	1.883
-490.983	-666.085	5.156	40.256	54.428	2.812	1.918
-492.958	-666.772	5.159	39.665	55.766	2.766	1.880
-492.140	-665.382	5.169	39.719	55.136	2.627	1.764
-492.976	-664.111	5.187	39.375	53.853	2.588	1.702
-489.290	-663.223	5.166	39.788	54.852	2.671	1.809
-489.048	-662.095	5.154	39.441	53.227	2.739	1.872
-488.928	-662.700	5.162	39.714	54.389	2.679	1.792
-492.903	-661.390	5.208	38.055	54.306	2.551	1.680
-487.511	-660.605	5.167	38.972	52.796	2.646	1.764
-486.650	-660.076	5.150	39.175	51.872	2.698	1.798
-486.817	-659.034	5.170	38.489	53.244	2.528	1.692
-484.607	-657.513	5.160	38.221	52.481	2.703	1.813
-486.888	-659.929	5.166	38.510	52.450	2.729	1.839
-487.275	-659.556	5.159	38.462	52.429	2.716	1.834
-483.787	-659.387	5.122	38.913	50.694	2.858	1.962
-487.851	-659.319	5.169	37.839	50.986	2.654	1.753
-485.596	-658.640	5.156	38.128	50.782	2.640	1.756
-484.773	-658.191	5.157	38.116	50.558	2.622	1.743
-485.119	-657.905	5.158	37.741	52.071	2.604	1.738
-485.407	-656.386	5.182	37.544	52.601	2.534	1.687
-487.122	-657.168	5.175	37.271	52.075	2.658	1.808
-487.440	-656.897	5.180	37.315	52.749	2.620	1.753
-484.818	-657.043	5.156	38.122	52.409	2.732	1.848
-482.991	-657.692	5.154	38.427	53.015	2.693	1.802
-486.181	-656.416	5.181	37.248	52.066	2.554	1.686
-484.376	-654.799	5.167	37.417	51.309	2.588	1.719
-482.046	-654.088	5.154	37.494	50.955	2.668	1.803
-483.386	-653.851	5.170	37.473	52.003	2.527	1.632
-481.370	-656.667	5.142	38.332	50.997	2.569	1.720
