EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-610.420	-1714.322	2.548	566.969	18.563	195.721	39.898
-549.501	-1332.151	2.732	400.632	16.952	155.166	35.595
-525.307	-1136.937	2.894	306.523	16.009	126.782	32.313
-513.125	-1009.544	3.050	242.064	15.433	103.695	29.425
-509.252	-924.888	3.205	201.120	15.170	86.646	26.888
-506.741	-874.092	3.345	175.759	15.087	75.358	24.658
-503.413	-836.563	3.486	156.857	15.017	66.990	22.622
-499.821	-803.960	3.636	141.532	15.105	58.944	20.530
-496.540	-778.863	3.780	128.975	15.349	52.233	18.614
-491.555	-755.148	3.918	118.592	15.651	46.619	16.900
-486.788	-736.121	4.047	109.833	16.008	41.665	15.395
-482.033	-718.737	4.162	101.409	16.406	37.219	14.105
-478.026	-703.866	4.267	95.517	16.923	33.749	12.989
-473.647	-692.336	4.353	89.434	17.410	30.598	12.072
-471.071	-681.103	4.449	84.474	18.010	27.909	11.234
-468.633	-671.926	4.514	80.253	18.399	26.051	10.663
-466.363	-664.584	4.568	76.916	18.826	24.189	10.063
-464.555	-657.564	4.620	74.205	19.311	22.976	9.618
-462.915	-651.557	4.678	71.212	19.714	21.459	9.150
-461.972	-646.589	4.715	68.800	20.202	20.416	8.795
-461.160	-641.612	4.754	66.593	20.559	19.429	8.464
-460.043	-637.571	4.782	64.817	20.921	18.586	8.193
-458.607	-633.555	4.811	63.453	21.182	17.833	7.910
-457.692	-630.031	4.831	61.708	21.233	17.417	7.760
-456.340	-625.534	4.857	60.293	21.532	16.584	7.495
-455.927	-622.904	4.871	59.200	21.418	16.003	7.327
-454.536	-619.403	4.897	57.352	21.311	15.433	7.107
-453.500	-616.197	4.914	56.066	21.398	14.995	6.938
-453.059	-613.384	4.931	55.129	21.251	14.423	6.730
-452.158	-610.716	4.943	54.206	21.228	14.147	6.598
-452.270	-607.915	4.975	52.893	21.429	13.613	6.410
-451.687	-605.657	4.982	51.848	21.414	13.396	6.321
-450.312	-604.055	4.992	51.640	21.333	13.055	6.154
-449.112	-602.541	4.998	50.513	21.348	12.752	6.053
-448.279	-599.528	5.017	50.168	21.470	12.326	5.920
-447.463	-598.798	5.015	48.591	21.210	12.239	5.869
-446.745	-596.584	5.024	48.755	21.173	11.882	5.720
-445.751	-594.936	5.039	47.424	21.146	11.538	5.591
-445.131	-592.629	5.050	46.445	21.104	11.179	5.470
-444.009	-591.390	5.051	45.782	21.194	11.147	5.409
-442.577	-589.720	5.054	45.991	20.938	11.026	5.379
-441.926	-588.285	5.056	44.694	20.931	10.869	5.300
-440.870	-586.721	5.062	44.874	20.953	10.587	5.209
-440.295	-584.876	5.071	44.228	21.109	10.368	5.123
-439.730	-583.833	5.074	43.352	21.021	10.355	5.118
-438.487	-582.818	5.080	43.189	21.143	10.260	5.055
-437.540	-580.269	5.085	42.816	21.331	10.043	4.973
-437.560	-580.068	5.089	42.161	21.187	9.940	4.943
-436.595	-578.780	5.095	41.990	21.070	9.747	4.836
-436.363	-578.349	5.100	41.717	21.053	9.705	4.833
-434.942	-577.436	5.087	40.840	20.937	9.712	4.849
-434.108	-575.230	5.105	40.891	20.946	9.406	4.694
-433.467	-574.431	5.106	40.280	21.140	9.397	4.700
-432.625	-573.377	5.108	40.290	20.870	9.203	4.610
-431.866	-572.496	5.105	40.850	21.051	9.215	4.622
-431.281	-570.979	5.113	39.596	21.081	9.096	4.577
-430.302	-569.831	5.117	39.546	20.971	8.899	4.505
-430.396	-568.540	5.121	38.471	21.079	8.856	4.456
-429.803	-567.663	5.123	39.040	20.908	8.603	4.393
-429.401	-566.417	5.136	37.940	21.185	8.617	4.350
-428.521	-565.480	5.133	38.057	21.063	8.425	4.294
-428.508	-564.428	5.141	36.756	20.707	8.354	4.287
-427.693	-564.085	5.135	38.128	21.144	8.390	4.279
-427.254	-562.691	5.142	36.663	20.896	8.233	4.237
-427.053	-562.426	5.145	36.621	20.658	8.273	4.217
-426.132	-561.272	5.143	36.459	20.857	8.061	4.143
-425.853	-560.265	5.153	35.586	20.445	7.929	4.092
-424.862	-559.805	5.146	36.129	20.756	8.087	4.133
-424.619	-558.723	5.151	35.783	20.847	7.993	4.117
-424.587	-557.608	5.159	35.447	20.698	7.929	4.074
-424.794	-556.635	5.163	34.165	20.557	7.829	4.033
-424.340	-555.905	5.171	34.550	20.790	7.664	4.009
-423.460	-555.297	5.163	34.090	20.437	7.611	4.020
-423.214	-554.819	5.157	34.561	20.415	7.813	4.088
-422.533	-553.837	5.164	34.253	20.482	7.666	4.041
-422.680	-552.727	5.170	33.416	20.301	7.567	3.995
-421.830	-552.004	5.159	33.588	20.292	7.666	4.037
-421.344	-551.100	5.172	33.360	20.290	7.535	3.977
-420.816	-550.556	5.175	32.915	20.024	7.526	3.986
-420.689	-549.448	5.173	32.826	20.469	7.533	4.001
-420.722	-549.718	5.175	32.794	20.241	7.521	3.970
-420.638	-549.071	5.184	32.235	20.168	7.369	3.927
-420.010	-548.324	5.182	32.658	20.268	7.332	3.926
-420.164	-547.992	5.184	31.669	20.408	7.282	3.921
-420.057	-547.346	5.188	31.512	20.270	7.247	3.900
-420.261	-546.815	5.195	30.923	20.350	7.189	3.872
-419.833	-546.834	5.197	31.649	20.473	7.187	3.854
-419.805	-546.535	5.199	31.081	20.348	7.135	3.848
-419.410	-545.782	5.208	31.438	20.269	7.032	3.786
-419.149	-545.393	5.206	31.303	20.280	7.092	3.798
-419.106	-544.988	5.213	31.299	20.684	7.027	3.772
-419.723	-545.085	5.206	30.965	20.528	6.977	3.769
-420.140	-544.749	5.221	30.187	20.306	6.970	3.746
-419.256	-544.297	5.215	30.790	20.376	6.946	3.758
-419.002	-544.339	5.218	30.631	20.240	6.861	3.735
-418.811	-543.831	5.217	30.625	20.200	6.919	3.725
-418.423	-543.024	5.219	30.566	20.404	6.777	3.687
-418.755	-542.964	5.219	30.241	20.393	6.754	3.686
-417.520	-542.523	5.214	30.151	19.904	6.790	3.692
-416.873	-542.615	5.206	30.809	20.369	6.936	3.741
-417.149	-542.217	5.217	30.041	20.098	6.804	3.707
-417.631	-542.091	5.221	30.232	20.109	6.751	3.658
-417.610	-541.929	5.227	29.902	20.245	6.693	3.620
-416.691	-541.150	5.221	29.652	20.286	6.592	3.615
-417.319	-541.278	5.228	29.859	20.660	6.549	3.624
-417.233	-541.288	5.228	30.884	20.671	6.546	3.587
-417.596	-541.585	5.230	29.836	20.139	6.586	3.608
-417.502	-541.002	5.239	29.042	20.248	6.415	3.546
-417.343	-540.643	5.238	29.321	20.437	6.478	3.564
-417.687	-540.544	5.237	29.812	20.554	6.521	3.596
-416.977	-540.786	5.228	29.460	20.404	6.576	3.610
-416.705	-540.596	5.232	30.000	20.179	6.540	3.582
-416.188	-539.820	5.228	29.428	20.311	6.461	3.564
-415.619	-539.690	5.233	28.818	20.336	6.515	3.543
-416.937	-539.703	5.241	28.710	20.200	6.354	3.529
-416.964	-539.559	5.241	28.579	20.183	6.330	3.479
-416.642	-539.183	5.242	29.238	20.513	6.334	3.488
-415.466	-538.715	5.237	29.256	20.240	6.330	3.473
-415.214	-538.518	5.235	29.100	20.156	6.332	3.496
-414.367	-538.242	5.236	28.811	20.479	6.262	3.449
-416.187	-538.296	5.248	28.334	20.142	6.256	3.481
-415.224	-537.995	5.239	29.603	20.191	6.234	3.447
-415.725	-537.819	5.242	29.068	20.304	6.247	3.463
-414.792	-537.770	5.232	28.919	20.154	6.311	3.485
-413.812	-537.379	5.232	28.731	20.421	6.326	3.504
