EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-260.019	-485.752	1.056	210.324	15.489	103.362	31.297
-274.358	-406.305	1.098	113.859	14.514	77.999	60.084
-325.597	-395.116	1.153	75.783	8.250	67.041	151.793
-321.578	-371.310	1.212	52.690	8.367	55.383	127.987
-318.752	-359.935	1.255	41.828	8.512	52.395	111.890
-317.266	-353.448	1.282	35.436	7.955	50.164	105.675
-316.497	-349.286	1.308	31.598	7.389	47.815	101.051
-315.918	-346.197	1.321	28.473	6.957	46.251	98.718
-315.460	-343.977	1.335	26.292	6.821	45.045	97.914
-315.089	-342.470	1.348	24.789	6.619	44.654	97.710
-314.692	-340.896	1.362	23.278	6.614	44.228	97.076
-314.445	-339.797	1.376	22.148	6.641	43.715	96.357
-314.007	-338.554	1.383	20.877	6.633	43.691	96.556
-313.886	-337.692	1.389	20.052	6.563	43.382	95.823
-313.694	-337.237	1.395	19.605	6.509	43.517	95.729
-313.350	-336.592	1.402	18.987	6.355	43.228	94.978
-313.260	-336.047	1.406	18.395	6.358	43.118	94.850
-313.091	-335.532	1.410	17.912	6.264	42.870	93.990
-312.857	-334.971	1.418	17.357	6.226	42.951	94.241
-312.634	-334.478	1.421	16.903	6.084	42.760	93.618
-312.413	-333.996	1.422	16.413	5.970	42.833	93.720
-312.378	-333.660	1.429	16.072	6.020	42.578	93.080
-312.298	-333.328	1.431	15.733	6.030	42.554	93.176
-312.012	-332.820	1.433	15.296	5.986	42.487	92.677
-312.116	-332.683	1.443	15.093	6.109	42.550	92.911
-311.890	-332.365	1.442	14.802	5.866	42.482	92.456
-311.766	-332.114	1.441	14.516	5.843	42.382	92.251
-311.692	-331.796	1.444	14.224	5.839	42.439	92.278
-311.598	-331.574	1.446	14.023	5.844	42.342	91.831
-311.528	-331.389	1.456	13.863	5.714	42.205	91.897
-311.314	-330.981	1.454	13.454	5.665	42.100	91.522
-311.265	-330.842	1.451	13.365	5.613	42.333	92.148
-311.171	-330.532	1.458	13.018	5.614	42.226	91.666
-311.178	-330.459	1.455	12.882	5.622	42.149	91.623
-311.052	-330.330	1.459	12.812	5.490	41.949	91.194
