EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-973.772	-1238.123	1.024	905.097	170.734	357.118	43.618
-943.113	-1198.156	1.024	858.630	168.295	341.961	42.847
-911.951	-1156.308	1.025	813.344	165.827	325.096	42.086
-880.223	-1116.030	1.028	769.266	163.302	307.825	41.284
-849.795	-1076.470	1.026	726.408	160.845	291.087	40.425
-821.904	-1038.820	1.030	684.399	158.596	274.448	39.647
-795.014	-1003.158	1.031	643.138	155.727	257.491	38.720
-768.896	-967.422	1.033	605.113	153.480	241.276	37.759
-743.292	-934.472	1.037	567.482	151.485	225.481	36.787
-719.406	-902.794	1.035	532.381	149.161	210.982	35.724
-697.974	-872.950	1.039	499.545	147.015	194.635	34.703
-675.860	-844.163	1.041	467.730	145.090	179.426	33.475
-656.215	-816.731	1.045	437.575	142.708	165.807	32.422
-637.998	-791.386	1.048	409.971	140.656	152.136	31.264
-620.226	-767.677	1.048	382.936	138.643	138.676	30.059
-604.887	-745.995	1.056	359.086	137.086	126.821	28.921
-589.856	-724.827	1.058	335.834	135.721	114.788	27.698
-575.586	-705.883	1.063	315.337	133.509	103.866	26.438
-563.629	-687.887	1.065	296.575	132.901	94.084	25.260
-552.243	-672.767	1.070	278.496	131.429	83.673	24.027
-542.625	-657.565	1.076	262.699	129.857	76.500	22.818
-533.181	-644.830	1.082	248.246	128.914	69.238	21.683
-524.093	-632.812	1.089	234.959	127.814	62.128	20.553
-516.829	-621.759	1.092	223.368	126.662	56.386	19.496
-511.321	-613.442	1.102	213.391	126.444	51.133	18.326
-504.788	-603.496	1.111	204.035	125.298	46.377	17.317
-499.862	-596.763	1.119	195.541	124.499	43.030	16.465
-493.460	-589.042	1.128	188.300	124.140	39.117	15.556
-491.014	-583.811	1.137	181.904	123.814	36.531	14.782
-486.728	-578.072	1.147	176.044	124.037	34.116	14.058
-482.179	-572.729	1.149	170.821	123.750	31.666	13.292
-479.896	-567.982	1.163	166.319	123.992	29.973	12.693
-476.956	-564.915	1.172	162.280	124.303	28.665	12.174
-473.599	-560.852	1.175	157.853	124.822	26.847	11.727
-471.049	-557.206	1.189	154.403	125.467	26.057	11.344
-468.753	-554.135	1.201	151.208	126.162	25.146	10.896
-466.560	-550.966	1.205	148.262	126.585	24.050	10.586
-464.769	-548.433	1.214	145.339	127.785	23.288	10.302
-462.493	-545.995	1.216	142.728	128.528	22.784	10.067
-460.576	-543.005	1.222	140.350	129.436	21.690	9.768
-459.442	-541.219	1.227	138.425	130.439	21.622	9.568
-457.895	-538.895	1.230	136.357	131.360	21.114	9.353
-456.327	-536.582	1.236	134.336	132.356	19.931	9.097
-453.920	-534.688	1.245	132.699	132.962	19.478	8.949
-452.490	-532.483	1.251	131.040	134.470	19.103	8.742
-451.154	-531.014	1.249	129.533	135.124	18.632	8.562
-450.456	-529.922	1.260	128.075	135.931	18.048	8.414
-448.263	-527.435	1.263	126.727	136.686	17.915	8.295
-446.812	-526.010	1.262	125.777	137.764	17.505	8.165
-446.413	-524.768	1.273	124.298	138.225	17.130	7.965
-445.870	-524.027	1.275	123.446	139.079	16.950	7.886
-444.778	-522.290	1.272	122.508	139.926	16.424	7.741
-443.539	-521.598	1.280	121.500	140.808	15.939	7.570
-442.813	-520.265	1.286	120.754	141.516	15.699	7.487
-441.408	-519.389	1.293	120.016	142.207	15.261	7.386
-440.593	-517.662	1.292	119.413	142.993	15.236	7.315
-440.247	-517.635	1.287	118.585	144.034	14.760	7.166
-439.556	-516.418	1.289	118.185	145.042	14.932	7.200
-438.381	-515.441	1.294	117.378	145.151	14.330	7.019
-437.872	-514.417	1.301	117.085	146.005	14.439	7.009
-437.111	-514.294	1.302	116.298	145.957	14.103	6.913
-436.529	-512.495	1.302	115.920	147.074	13.761	6.834
-436.091	-512.619	1.297	115.717	147.703	13.764	6.837
-435.153	-511.868	1.302	115.113	148.719	13.387	6.718
-435.204	-511.645	1.305	114.818	148.415	13.569	6.771
-434.000	-510.330	1.307	114.735	149.464	13.347	6.711
-434.014	-509.816	1.308	114.132	150.625	13.127	6.588
-432.681	-508.784	1.303	113.808	151.012	12.773	6.531
-432.607	-508.370	1.306	113.621	150.848	12.889	6.494
-432.199	-507.921	1.310	113.280	151.623	12.802	6.506
-431.445	-507.425	1.307	112.890	152.730	12.649	6.442
-430.888	-507.416	1.302	112.848	152.391	12.510	6.391
-430.506	-506.050	1.321	112.696	152.957	12.362	6.366
-430.310	-506.026	1.313	112.253	153.400	12.354	6.365
-429.856	-505.354	1.316	112.167	153.944	11.870	6.241
-429.713	-504.878	1.313	111.865	153.730	12.082	6.345
-428.605	-504.256	1.315	111.545	154.632	11.808	6.233
-429.109	-503.732	1.311	111.395	154.548	11.576	6.120
-428.796	-504.088	1.316	110.876	154.595	11.630	6.123
-427.808	-503.072	1.320	110.991	154.935	11.509	6.112
-426.834	-502.696	1.318	110.866	154.766	11.457	6.064
-426.972	-502.469	1.319	110.466	154.968	11.491	6.080
-426.655	-501.905	1.322	110.403	155.561	11.168	5.991
-426.735	-501.400	1.310	110.164	155.136	11.244	5.998
-425.956	-500.865	1.314	109.827	155.755	11.088	6.001
-426.347	-500.917	1.316	109.744	155.943	11.008	5.975
-425.038	-500.731	1.317	109.851	156.136	11.151	6.022
-425.092	-499.936	1.323	109.515	155.883	10.874	5.909
-424.788	-499.909	1.315	109.629	155.992	10.929	5.955
-424.893	-499.783	1.317	109.627	155.827	10.820	5.930
-424.022	-498.472	1.325	109.278	155.489	10.850	5.896
-424.061	-498.673	1.322	109.569	156.018	10.868	5.869
-423.865	-498.338	1.322	109.187	156.750	10.574	5.833
-423.219	-498.405	1.320	108.894	155.202	10.722	5.817
-422.925	-497.903	1.325	108.706	155.205	10.712	5.857
-422.814	-497.503	1.325	109.163	154.892	10.603	5.816
-422.229	-496.428	1.316	108.701	155.168	10.626	5.812
-422.170	-497.255	1.326	108.809	155.442	10.487	5.830
-421.357	-496.852	1.329	108.513	154.663	10.460	5.747
-421.361	-496.164	1.327	108.487	155.629	10.230	5.682
-420.853	-495.791	1.325	108.415	156.713	10.199	5.702
-420.892	-495.352	1.325	108.174	156.181	10.316	5.687
-420.282	-495.312	1.318	108.336	155.786	10.379	5.736
-419.985	-494.755	1.332	108.306	155.756	10.168	5.655
-419.923	-494.885	1.327	108.215	154.902	10.185	5.648
-419.056	-494.437	1.332	108.072	155.558	10.141	5.613
-418.778	-493.444	1.331	108.512	156.041	10.179	5.612
-418.241	-493.542	1.334	107.814	155.129	9.987	5.598
-418.491	-493.319	1.330	107.931	154.855	9.881	5.573
-417.526	-492.633	1.328	107.666	153.837	9.981	5.549
-417.710	-492.800	1.330	107.697	153.984	9.853	5.578
-417.349	-492.263	1.325	107.664	153.996	9.618	5.480
-416.977	-491.902	1.326	107.893	154.740	9.821	5.497
-416.724	-491.481	1.329	107.609	154.094	9.889	5.543
-416.329	-491.364	1.337	107.237	153.418	9.602	5.428
-415.485	-490.504	1.324	107.506	153.986	9.699	5.436
-415.646	-490.324	1.325	107.653	153.570	9.842	5.415
-415.330	-489.934	1.338	107.634	154.853	9.631	5.439
-414.804	-490.036	1.329	107.571	153.122	9.538	5.337
-414.255	-489.454	1.331	107.114	153.109	9.552	5.351
-414.166	-489.494	1.331	107.329	152.609	9.555	5.356
-414.425	-488.987	1.338	107.030	153.637	9.432	5.290
-414.003	-488.351	1.330	106.855	153.120	9.322	5.271
-413.262	-487.996	1.331	106.876	153.142	9.321	5.254
-413.327	-488.441	1.335	107.138	153.210	9.339	5.253
-412.461	-487.459	1.330	106.709	152.710	9.398	5.263
-412.569	-487.280	1.332	106.296	152.438	9.147	5.210
-411.934	-486.962	1.330	106.648	152.137	9.160	5.196
-411.761	-486.672	1.334	106.574	153.014	9.093	5.152
-411.037	-485.580	1.331	106.125	151.977	9.052	5.175
-411.444	-486.140	1.336	106.544	151.220	9.145	5.136
-410.661	-485.545	1.332	106.500	151.872	9.166	5.139
-409.898	-485.106	1.325	106.536	151.754	9.066	5.097
-409.694	-484.890	1.326	106.478	151.819	9.008	5.088
-409.472	-484.350	1.339	106.086	152.741	8.953	5.063
-408.946	-484.084	1.336	105.952	151.336	8.825	5.025
-408.768	-483.912	1.336	105.264	151.370	8.728	5.022
-408.670	-483.765	1.333	105.263	150.793	8.841	5.001
-408.700	-483.795	1.336	105.210	151.491	8.646	4.969
-407.977	-483.098	1.337	105.798	152.670	8.602	4.982
-408.340	-482.826	1.332	105.293	151.521	8.395	4.915
-407.253	-482.382	1.333	105.725	150.859	8.443	4.905
-407.057	-481.946	1.329	105.150	150.935	8.535	4.929
-407.111	-481.737	1.335	105.229	151.367	8.444	4.866
-406.885	-481.763	1.339	105.309	151.075	8.295	4.830
-405.871	-481.268	1.336	104.902	151.090	8.363	4.830
-406.470	-481.942	1.330	105.141	151.233	8.169	4.780
-405.798	-480.695	1.337	105.001	150.629	8.247	4.775
-405.664	-481.235	1.343	104.391	150.247	8.099	4.725
-405.278	-480.739	1.335	104.528	150.011	8.143	4.795
-405.488	-480.431	1.332	104.251	150.012	8.193	4.714
-404.409	-479.769	1.329	104.057	150.402	8.154	4.686
-404.639	-479.704	1.339	104.268	150.641	7.912	4.676
-404.609	-479.674	1.338	103.947	150.165	7.954	4.680
-403.771	-479.232	1.334	104.157	150.394	8.074	4.659
-404.007	-478.997	1.327	104.026	150.983	7.846	4.602
-403.344	-478.751	1.332	104.049	150.910	8.188	4.688
-402.540	-478.698	1.330	103.201	149.124	7.807	4.548
-403.203	-478.975	1.330	103.184	150.538	7.858	4.587
-403.393	-477.913	1.339	102.779	149.986	7.658	4.570
-402.259	-477.565	1.332	103.419	149.637	7.634	4.516
-401.965	-477.570	1.333	103.317	150.312	7.791	4.541
-401.717	-477.174	1.339	102.786	149.002	7.644	4.489
-401.862	-477.256	1.334	102.644	149.193	7.637	4.532
-400.788	-476.132	1.329	101.997	148.266	7.481	4.421
-400.662	-476.767	1.334	102.828	149.660	7.518	4.443
-400.754	-476.315	1.334	102.677	149.198	7.689	4.433
-400.911	-476.333	1.334	101.872	148.839	7.493	4.442
-400.278	-475.767	1.340	101.821	148.679	7.392	4.356
-400.419	-475.992	1.335	102.007	148.921	7.436	4.373
-400.182	-475.537	1.337	101.683	147.309	7.266	4.369
-400.341	-475.673	1.332	102.322	150.026	7.279	4.318
-399.466	-474.930	1.328	101.813	148.860	7.358	4.355
-398.981	-475.250	1.332	101.453	148.334	7.248	4.309
-399.442	-474.856	1.337	101.084	149.206	7.142	4.265
-399.024	-474.493	1.336	101.190	148.258	7.131	4.238
-399.504	-474.547	1.332	101.077	147.202	7.068	4.235
-398.695	-474.502	1.329	101.375	147.059	7.121	4.236
-398.381	-473.414	1.338	100.946	146.945	6.975	4.202
-398.341	-474.052	1.334	101.246	147.183	7.114	4.255
-397.893	-473.773	1.338	100.231	146.574	7.003	4.166
-397.913	-472.891	1.330	100.449	147.459	6.895	4.118
-397.358	-473.389	1.326	100.687	147.810	6.789	4.123
-397.425	-473.292	1.333	100.130	146.176	6.941	4.119
-395.968	-471.946	1.334	99.607	146.501	6.593	4.051
-397.037	-472.377	1.332	100.037	146.293	6.884	4.094
-396.133	-472.605	1.332	99.969	146.331	6.741	4.074
-397.129	-472.421	1.329	99.670	145.955	6.721	4.039
-396.391	-472.310	1.327	99.442	145.641	6.705	4.044
-396.547	-472.077	1.328	100.332	146.381	6.761	4.041
-395.683	-471.985	1.333	99.892	146.381	6.629	4.000
-395.329	-471.610	1.327	100.347	147.491	6.684	4.011
-395.234	-470.908	1.325	99.293	145.782	6.541	3.963
-395.056	-470.898	1.329	98.939	145.270	6.371	3.909
-395.390	-471.274	1.322	99.114	144.462	6.475	3.904
-394.836	-470.695	1.325	99.607	145.602	6.692	3.948
-394.457	-470.554	1.325	99.029	144.171	6.560	3.913
-394.945	-470.804	1.323	98.896	145.417	6.418	3.897
-394.636	-470.967	1.317	98.856	143.724	6.389	3.874
-393.915	-469.776	1.327	97.865	143.942	6.284	3.794
-393.650	-470.479	1.328	98.590	144.425	6.386	3.858
-393.618	-470.180	1.329	98.273	144.644	6.339	3.781
-392.952	-469.473	1.316	98.425	145.782	6.273	3.806
-393.778	-470.150	1.322	98.743	146.881	6.192	3.795
-393.662	-469.686	1.320	98.260	145.802	6.287	3.819
-393.710	-469.770	1.330	97.819	145.721	6.075	3.701
-393.228	-469.654	1.322	97.850	145.857	5.983	3.697
-392.639	-468.730	1.324	97.806	145.425	6.042	3.685
-392.542	-468.993	1.321	98.100	144.909	6.120	3.707
-392.230	-468.975	1.326	98.489	144.760	6.163	3.704
-392.437	-468.960	1.325	97.832	143.842	6.114	3.711
-392.085	-468.661	1.318	97.515	145.460	6.026	3.641
-391.890	-468.473	1.325	96.857	143.754	5.781	3.602
-391.669	-468.252	1.321	97.723	144.574	5.933	3.626
-391.214	-468.205	1.316	97.351	142.971	6.044	3.648
-390.983	-467.677	1.324	97.488	144.404	5.865	3.590
-391.132	-468.544	1.319	96.837	143.706	5.938	3.590
-390.984	-467.800	1.315	96.746	144.089	5.882	3.576
-390.867	-468.082	1.320	96.805	143.121	6.066	3.609
-390.708	-467.525	1.319	96.407	143.584	5.778	3.545
-389.839	-467.355	1.314	96.553	143.554	5.852	3.572
-390.836	-467.686	1.320	96.620	142.876	5.851	3.605
-389.944	-466.903	1.324	96.349	143.273	5.713	3.517
-389.952	-466.935	1.318	96.160	143.055	5.757	3.520
-390.089	-467.136	1.320	96.551	143.638	5.672	3.516
-389.559	-466.975	1.321	96.668	142.922	5.624	3.464
-390.207	-466.895	1.314	96.415	142.635	5.684	3.455
-389.528	-466.620	1.319	96.359	141.374	5.870	3.532
-389.454	-465.996	1.316	95.389	142.334	5.508	3.424
-389.256	-466.356	1.321	95.263	141.431	5.672	3.452
-388.544	-465.696	1.310	95.991	142.076	5.649	3.390
-388.825	-465.782	1.311	95.331	142.521	5.567	3.396
-388.874	-465.107	1.315	95.110	141.768	5.454	3.392
-388.440	-465.047	1.314	95.596	142.041	5.641	3.436
-388.073	-465.538	1.308	95.518	142.832	5.629	3.412
-388.431	-466.039	1.314	94.983	141.424	5.444	3.359
-388.044	-464.957	1.309	95.525	142.047	5.580	3.384
-387.835	-465.742	1.314	95.579	142.327	5.594	3.357
-388.401	-465.686	1.307	95.714	142.183	5.530	3.364
-388.036	-465.012	1.305	94.530	140.668	5.436	3.300
-387.221	-464.683	1.309	95.623	141.937	5.539	3.327
-387.246	-465.088	1.305	95.023	140.835	5.466	3.276
-387.622	-464.618	1.312	94.702	140.078	5.475	3.298
-387.378	-464.762	1.303	95.382	141.546	5.615	3.344
-386.929	-464.696	1.309	94.131	140.001	5.290	3.227
-387.287	-464.417	1.304	95.139	141.984	5.428	3.266
-386.784	-464.541	1.305	94.311	140.742	5.327	3.237
-387.202	-464.692	1.309	94.835	141.190	5.408	3.268
-386.507	-464.699	1.307	93.790	140.037	5.400	3.226
-386.264	-464.321	1.303	95.017	141.368	5.542	3.289
-386.414	-464.288	1.307	94.324	139.823	5.243	3.201
-385.901	-463.699	1.305	94.208	140.828	5.184	3.170
-386.250	-464.400	1.308	94.419	140.155	5.306	3.197
-386.214	-464.375	1.301	94.633	140.418	5.488	3.230
-386.341	-464.629	1.298	95.184	141.841	5.572	3.279
-385.115	-464.223	1.296	94.745	140.896	5.542	3.249
-385.357	-463.892	1.302	94.073	140.758	5.314	3.192
-385.529	-464.159	1.307	95.357	140.612	5.583	3.258
-385.887	-464.146	1.298	94.659	139.517	5.588	3.264
-385.234	-463.485	1.294	94.631	140.252	5.528	3.236
-385.093	-464.072	1.302	95.643	142.274	5.632	3.246
-385.275	-464.349	1.294	95.284	141.152	5.548	3.215
-384.799	-464.070	1.294	95.437	141.101	5.506	3.248
-384.839	-464.253	1.302	94.738	141.325	5.389	3.176
-384.856	-464.828	1.301	96.032	142.223	5.755	3.299
-384.804	-464.198	1.301	94.473	140.305	5.468	3.199
-384.505	-464.402	1.291	95.067	140.778	5.522	3.212
-384.385	-464.101	1.292	95.423	141.769	5.645	3.230
-384.137	-464.089	1.295	95.064	140.745	5.524	3.192
-384.310	-464.550	1.294	95.514	141.284	5.570	3.206
-384.360	-463.974	1.294	96.290	142.983	5.643	3.244
