EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-1074.655	-1308.648	1.028	981.482	204.314	242.722	37.107
-1036.308	-1257.983	1.030	930.551	203.057	224.987	36.100
-998.525	-1209.936	1.034	882.203	202.363	213.388	35.293
-965.093	-1166.217	1.034	839.195	201.736	197.943	34.221
-932.513	-1125.515	1.039	797.370	200.986	186.257	33.445
-903.028	-1086.276	1.040	758.771	201.163	173.753	32.618
-876.136	-1050.225	1.041	722.356	200.663	162.266	31.524
-851.369	-1017.135	1.045	689.430	200.626	152.926	30.740
-826.019	-985.710	1.047	658.594	200.872	143.281	29.805
-804.453	-956.893	1.050	629.709	201.225	134.079	29.090
-783.719	-929.647	1.053	601.658	201.209	126.295	28.281
-764.443	-904.370	1.057	576.376	202.045	117.985	27.271
-747.179	-880.986	1.060	553.679	203.068	111.128	26.629
-730.333	-858.721	1.063	531.666	204.045	104.802	25.858
-715.733	-839.131	1.064	511.762	204.834	98.928	25.130
-702.089	-821.011	1.069	493.434	206.286	92.146	24.385
-688.698	-803.804	1.072	476.154	207.365	87.406	23.675
-676.635	-788.055	1.077	460.613	209.047	83.960	23.302
-666.527	-774.244	1.077	446.647	210.789	79.814	22.613
-656.271	-760.771	1.084	433.532	212.663	76.624	22.107
-646.517	-748.249	1.086	420.547	214.450	74.313	21.797
-638.353	-736.849	1.091	409.126	216.494	71.476	21.247
-629.612	-725.956	1.095	398.010	218.340	68.668	20.853
-622.049	-715.510	1.099	388.110	220.942	66.741	20.444
-614.874	-705.992	1.102	378.176	222.826	63.630	20.055
-607.856	-696.766	1.106	369.343	225.372	61.812	19.734
-601.813	-688.451	1.111	360.747	228.119	60.024	19.350
-595.484	-680.401	1.115	352.701	230.453	59.127	19.202
-590.006	-672.794	1.119	344.960	233.185	57.012	18.861
-583.892	-665.578	1.121	337.740	235.535	55.445	18.500
-579.289	-658.538	1.124	331.239	238.599	53.575	18.205
-574.242	-652.105	1.130	324.348	241.419	51.849	17.990
-570.088	-646.074	1.130	318.834	244.134	51.427	17.641
-566.116	-640.217	1.135	312.609	246.587	49.725	17.473
-561.676	-635.154	1.142	307.571	249.824	48.508	17.160
-558.100	-629.928	1.136	302.324	252.742	47.504	16.976
-554.299	-625.023	1.144	297.518	255.644	46.363	16.715
-550.918	-620.211	1.146	292.854	258.330	45.023	16.486
-547.677	-616.292	1.148	288.398	261.523	44.319	16.248
-544.925	-612.001	1.153	284.212	264.395	43.398	16.152
-541.657	-607.968	1.154	280.583	267.359	42.316	15.885
-538.447	-604.079	1.159	276.947	270.480	41.671	15.747
-536.962	-600.716	1.158	273.171	272.981	40.981	15.531
-534.063	-597.433	1.164	269.914	276.059	40.313	15.377
-531.803	-594.510	1.159	266.530	278.866	39.972	15.320
-529.716	-591.490	1.166	264.437	281.488	39.083	15.137
-527.699	-588.717	1.167	261.047	284.051	37.956	14.892
-525.692	-586.297	1.165	258.860	286.761	37.495	14.722
-523.679	-583.764	1.172	256.067	289.307	36.840	14.617
-521.880	-581.181	1.173	253.584	291.735	36.192	14.441
-519.693	-578.923	1.172	251.378	294.271	35.970	14.406
-519.024	-577.172	1.175	249.672	296.784	35.503	14.245
-517.315	-575.075	1.176	247.280	299.127	34.728	14.091
-516.327	-573.214	1.174	245.596	301.275	34.663	14.076
-514.994	-571.414	1.183	243.651	303.265	33.728	13.895
-513.552	-569.834	1.177	241.982	305.702	33.522	13.868
-512.705	-567.966	1.180	240.681	308.132	32.991	13.668
-511.272	-566.267	1.180	238.750	310.515	32.529	13.602
-509.990	-565.072	1.180	237.488	312.093	32.827	13.533
-508.967	-563.599	1.182	235.622	314.130	32.077	13.486
-508.160	-562.250	1.183	235.013	316.044	31.707	13.347
-507.142	-561.291	1.183	233.645	318.082	31.328	13.343
-506.577	-560.244	1.183	232.381	319.592	30.994	13.254
-505.095	-558.714	1.182	231.279	320.635	30.794	13.105
-505.291	-558.176	1.183	230.195	322.611	30.424	13.115
-504.383	-557.029	1.191	229.487	323.960	30.291	12.995
-503.436	-555.886	1.186	228.625	325.410	30.065	12.958
-502.562	-554.976	1.186	227.339	327.205	30.185	12.920
-502.125	-554.128	1.192	226.518	328.362	29.755	12.824
-501.800	-553.536	1.192	226.184	329.336	29.430	12.736
-500.980	-552.695	1.187	224.894	330.576	29.439	12.774
-500.102	-551.705	1.189	224.317	331.716	29.209	12.744
-500.055	-551.215	1.192	223.724	332.433	28.948	12.679
-499.072	-550.507	1.187	222.761	333.058	29.118	12.716
-498.824	-550.113	1.190	222.478	333.498	28.637	12.536
-498.539	-549.483	1.191	221.880	333.893	28.563	12.619
-497.888	-548.767	1.190	221.642	334.978	28.687	12.646
-497.382	-548.203	1.192	220.765	335.790	28.526	12.546
-497.280	-547.960	1.186	220.164	336.669	28.448	12.555
-496.252	-546.930	1.191	219.406	336.399	28.356	12.533
-496.154	-546.869	1.188	219.105	337.571	28.476	12.561
-495.453	-546.310	1.196	218.526	337.647	27.882	12.486
-495.145	-545.543	1.190	218.250	337.551	27.749	12.416
-494.772	-545.274	1.195	217.623	338.158	28.203	12.529
-494.608	-544.802	1.192	217.561	338.844	27.889	12.423
-494.082	-544.569	1.189	216.924	338.718	27.596	12.382
-493.784	-543.963	1.193	216.658	338.959	27.651	12.372
-493.280	-543.516	1.194	215.847	338.918	27.589	12.354
-492.877	-543.007	1.193	215.398	339.158	27.574	12.343
-492.761	-542.779	1.191	215.081	338.768	27.316	12.294
-492.538	-542.531	1.194	214.773	339.280	27.622	12.397
-491.890	-542.082	1.193	214.363	339.048	26.734	12.261
-491.716	-541.569	1.193	213.960	338.696	27.123	12.261
-491.608	-541.412	1.191	213.859	338.941	26.904	12.214
-491.071	-540.968	1.190	213.236	338.019	27.058	12.224
-490.541	-540.417	1.192	213.008	338.377	27.177	12.310
-490.304	-540.112	1.189	212.631	338.375	27.231	12.296
-490.179	-539.711	1.193	212.380	338.132	27.096	12.238
-489.302	-539.345	1.192	211.688	338.025	26.922	12.317
-489.186	-538.697	1.190	211.487	337.557	26.739	12.186
-488.907	-538.472	1.188	210.510	337.095	26.704	12.256
-488.656	-538.381	1.190	210.586	336.379	27.111	12.313
-487.912	-537.906	1.186	210.370	336.544	26.703	12.302
-487.780	-537.643	1.191	209.773	336.115	26.737	12.283
-487.483	-537.152	1.190	209.486	335.597	26.873	12.401
-486.955	-536.842	1.189	209.032	335.384	26.631	12.342
-486.544	-536.393	1.192	208.734	335.271	26.682	12.386
-486.029	-535.810	1.192	208.435	334.954	26.427	12.266
-485.896	-535.502	1.191	207.987	334.834	26.587	12.362
-485.469	-535.094	1.188	207.578	334.948	26.628	12.414
-485.239	-534.933	1.187	207.426	335.022	26.879	12.469
-484.860	-534.349	1.187	206.750	334.170	26.700	12.496
-483.995	-534.080	1.189	205.776	334.015	27.316	12.614
-483.829	-533.339	1.192	205.771	333.451	27.057	12.508
-483.161	-532.892	1.190	204.912	333.860	27.211	12.637
-482.751	-532.308	1.187	204.166	334.079	26.790	12.571
-481.716	-531.579	1.182	203.472	335.084	26.978	12.750
-481.206	-530.973	1.183	202.933	334.785	26.925	12.853
-480.418	-530.443	1.183	201.913	334.990	27.059	12.743
-479.331	-529.628	1.181	200.996	336.085	27.428	12.984
-478.432	-528.639	1.186	200.083	337.734	27.740	13.119
-477.802	-527.987	1.181	199.490	340.586	28.416	13.310
-476.432	-527.111	1.181	198.541	343.833	28.396	13.354
-475.579	-526.355	1.177	197.939	346.321	28.601	13.579
-474.813	-525.744	1.177	197.215	350.979	28.686	13.587
-474.166	-524.758	1.173	196.497	353.339	29.083	13.806
-473.038	-524.361	1.176	195.581	358.024	28.921	13.733
-472.192	-523.185	1.177	194.737	363.872	29.344	14.028
-471.249	-522.749	1.174	193.970	369.147	29.562	14.129
-470.436	-521.837	1.171	193.556	372.782	29.944	14.237
-469.184	-521.057	1.169	192.881	378.802	29.765	14.358
-468.638	-520.568	1.166	192.306	383.929	30.044	14.472
-467.630	-520.026	1.168	191.663	393.292	30.504	14.735
-467.284	-519.200	1.174	191.245	401.763	30.412	14.807
-466.048	-518.257	1.166	190.621	404.107	30.011	14.787
-465.629	-518.044	1.170	190.192	410.590	30.834	15.110
-464.407	-517.239	1.171	189.847	419.645	30.954	15.174
-463.755	-516.865	1.169	189.621	423.316	31.346	15.341
-463.364	-516.383	1.167	189.250	429.458	30.929	15.278
-462.258	-515.659	1.167	188.916	435.821	31.270	15.643
-461.862	-515.192	1.162	188.533	439.420	31.375	15.637
-461.242	-514.472	1.163	188.204	447.864	31.444	15.773
