EUBO_ave, ELBO_ave, ESS, Loss, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-423.726257324, -902.589294434, 1.00143122673, -496622.3125, 670.965576172, 19.3842658997, 214.934005737, 20.7486019135
-420.051574707, -869.22442627, 1.05885052681, -430654.375, 607.768249512, 19.4649238586, 200.703338623, 21.6373062134
-332.476104736, -669.408447266, 1.00840377808, -291699.875, 446.069580078, 17.6219329834, 135.927337646, 21.2365207672
-345.931182861, -716.759277344, 1.01719415188, -330114.1875, 486.610443115, 18.457408905, 139.302734375, 19.7616081238
-317.657409668, -590.436767578, 1.02470195293, -261355.796875, 388.473358154, 17.360496521, 117.883033752, 18.1411151886
-300.707061768, -593.851928711, 1.00171327591, -258586.046875, 385.643737793, 18.0226821899, 110.745986938, 17.9069709778
-274.6222229, -534.242553711, 1.02378606796, -231719.34375, 353.166900635, 16.5592498779, 92.1296844482, 17.6705741882
-277.648406982, -542.090454102, 1.00125026703, -239530.59375, 359.75994873, 17.2620162964, 90.4082641602, 17.5713653564
-322.698852539, -550.189819336, 1.00865638256, -245467.21875, 363.295898438, 17.6927375793, 117.183982849, 17.8770484924
-318.114959717, -629.174987793, 1.01016783714, -256371.28125, 416.733551025, 17.9034671783, 109.710411072, 18.414812088
-308.172271729, -663.347412109, 1.06690335274, -290468.78125, 492.34765625, 18.6463871002, 100.614837646, 19.1988887787
-278.560791016, -492.461303711, 1.08006751537, -187884.046875, 316.050292969, 17.2983360291, 84.4499969482, 18.3977203369
-351.364135742, -674.033447266, 1.04587674141, -321774.96875, 503.986206055, 17.0622367859, 116.323707581, 18.9763851166
-268.18850708, -491.297058105, 1.03051304817, -184363.515625, 322.561920166, 16.6312294006, 79.7311630249, 16.85962677
-315.542785645, -548.50970459, 1.02925276756, -238850.4375, 382.517730713, 17.9592018127, 110.440879822, 17.9948196411
-277.798248291, -507.458374023, 1.10744476318, -216360.734375, 331.027709961, 18.6075935364, 102.88584137, 16.7707328796
-259.262817383, -462.725219727, 1.08096575737, -175349.140625, 285.077514648, 16.2332401276, 61.7845916748, 15.6308450699
