EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-520.239929199, -1137.64782715, 1.01008677483, -490.630981445, -1080.30957031, -516.732727051, -1176.5682373, 844.961120605, 22.4330883026, 255.162963867, 21.5780658722, 864.695556641, 21.9469261169, 330.529296875, 26.2229633331
-487.215423584, -1100.57019043, 1.0115429163, -492.394287109, -1093.04980469, -555.108581543, -1219.15612793, 914.276733398, 20.9987258911, 283.268341064, 22.3978118896, 914.797607422, 20.3506851196, 268.197021484, 24.0690975189
-382.562927246, -764.275390625, 1.02059614658, -411.582122803, -894.270874023, -358.96484375, -723.227294922, 700.727111816, 19.909324646, 197.093963623, 20.9392337799, 555.636779785, 18.7071018219, 150.012008667, 19.7253131866
-329.172943115, -651.141784668, 1.02872407436, -346.707214355, -719.752563477, -349.831298828, -639.715881348, 533.106567383, 19.553194046, 164.333084106, 20.9878826141, 452.275848389, 18.1506538391, 123.180984497, 19.7943401337
-343.432983398, -725.903442383, 1.03226423264, -392.446807861, -904.575927734, -336.182159424, -683.420837402, 608.317504883, 20.0166454315, 208.004318237, 20.6953907013, 499.967346191, 18.3722705841, 127.42514801, 19.585111618
-278.655761719, -510.090911865, 1.03918504715, -306.121154785, -595.026611328, -271.338775635, -506.0703125, 461.473907471, 17.8601474762, 113.914756775, 18.4143753052, 327.096740723, 17.2238101959, 93.9291610718, 16.991853714
-254.674545288, -459.478942871, 1.05940783024, -292.931060791, -557.548217773, -246.996536255, -448.954071045, 386.724914551, 17.983915329, 102.948356628, 18.7222900391, 294.124267578, 17.1714057922, 67.6641311646, 16.2785816193
-245.521362305, -422.230377197, 1.05163502693, -269.919586182, -528.050109863, -241.833786011, -409.533599854, 344.594360352, 17.3089962006, 96.1668548584, 18.5613498688, 248.966186523, 16.4150848389, 63.7757415771, 14.350689888
-254.515197754, -437.127044678, 1.07742166519, -279.87878418, -527.80267334, -261.938568115, -434.090118408, 350.730224609, 16.4406490326, 91.3047561646, 18.4865283966, 247.490722656, 16.213312149, 70.8553543091, 15.2771272659
-273.887512207, -493.820159912, 1.05212306976, -291.963775635, -571.780517578, -255.692337036, -468.814727783, 425.993164062, 18.3046150208, 101.21131897, 17.879365921, 311.852783203, 17.8797130585, 77.6139907837, 15.6520996094
-251.669021606, -444.358215332, 1.049290061, -283.886322021, -543.405883789, -236.456344604, -413.466766357, 393.678466797, 18.3121757507, 88.8766098022, 19.0326938629, 256.359375, 16.3342628479, 53.8123588562, 14.98183918
-239.369125366, -405.596435547, 1.07824587822, -270.845275879, -501.230926514, -244.737808228, -393.060455322, 299.051391602, 16.3421649933, 73.6692886353, 17.6023483276, 217.269760132, 15.3544197083, 68.7629852295, 14.5212717056
-249.742340088, -424.641174316, 1.052770257, -290.046539307, -550.423461914, -255.768814087, -416.138244629, 372.792694092, 16.5391979218, 103.846832275, 17.9384059906, 222.175994873, 16.0553607941, 58.8966751099, 14.9499120712
-224.245513916, -356.245025635, 1.07049334049, -267.468292236, -499.58114624, -215.316009521, -348.937103271, 295.539703369, 16.0185089111, 74.2364044189, 17.2883090973, 168.546508789, 16.1523551941, 33.0108070374, 12.7706632614
-238.814331055, -399.345031738, 1.06803822517, -276.220184326, -516.740661621, -232.141830444, -383.512786865, 330.320892334, 16.8240680695, 88.3168563843, 17.114906311, 204.688568115, 15.9977035522, 44.3332519531, 13.2190647125
-231.566177368, -365.865753174, 1.05688381195, -268.446563721, -491.718078613, -230.751556396, -356.620300293, 303.93548584, 17.510717392, 88.0253219604, 17.1031074524, 173.595123291, 18.010351181, 40.6174964905, 12.5889234543
