EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-305.206563263, -456.821416626, 1.08736168861, 229.371291122, 17.5581196308, 60.0406280708, 16.0454590607
-244.105830994, -281.204277954, 1.21900280237, 58.3639421463, 19.3060325146, 14.8671495342, 7.84866231441
-235.640338745, -258.885532227, 1.33799156427, 39.2131402969, 21.2632148647, 10.1745583248, 5.67513217926
-229.927632599, -251.878012543, 1.33602118492, 38.7521378708, 23.9500661087, 8.80732348442, 5.27526685715
-226.125875092, -249.067714081, 1.32482960463, 41.7615552521, 28.7119009972, 7.53465950966, 4.75887995481
-222.634288025, -245.503423462, 1.3036934936, 42.5554107094, 29.6974505806, 6.63856795311, 4.70612280607
-220.28896347, -242.9511026, 1.30475873828, 42.3598516846, 30.8446511269, 6.00521931648, 4.37197726727
-218.716920471, -240.87043869, 1.3061604476, 42.203934536, 31.9608310318, 5.48940256596, 4.39605608702
-216.720955048, -239.53823761, 1.29333738804, 42.5824757385, 30.6190547562, 5.36243795872, 4.19927660227
-214.613721313, -236.390839386, 1.30856022, 41.8796638107, 31.2669272041, 4.98970064163, 4.15619662285
-212.925327301, -234.260722351, 1.33312740445, 40.7064415932, 30.9404205894, 4.75579284668, 4.0607689929
-210.824806366, -232.168009644, 1.3256055522, 39.8517530632, 28.6207584763, 4.49573674202, 3.81163343668
-209.732189484, -230.455624084, 1.33897516251, 38.6262102127, 27.6416830826, 4.4035712409, 3.81079111814
-209.018555603, -229.259991913, 1.34129684806, 37.5789387131, 26.9475324821, 4.27981365204, 3.76383887768
-208.094398956, -228.209626007, 1.34615084767, 37.4860662842, 26.2303467751, 4.21684919596, 3.73164260626
-207.111844482, -226.961443024, 1.35425712109, 36.7398658562, 24.9571344185, 4.06364238501, 3.37140537739
-206.448578644, -225.802795563, 1.36168556571, 36.2167305183, 24.8724333, 3.94489557981, 3.37777961493
-205.745322723, -225.114268951, 1.35359244466, 35.7854117775, 24.5889015388, 3.77257794142, 3.28407589674
-205.256899567, -223.984066162, 1.36376760006, 34.9334657478, 24.2546315956, 3.75193497419, 3.19798278093
-204.725040131, -223.733165283, 1.36088467956, 34.9951648521, 24.0135129547, 3.69328535557, 3.07542305231
-204.399917755, -222.808968964, 1.36301782489, 34.3187322235, 23.5505337715, 3.61621705294, 3.01816139698
-203.619731903, -222.102923584, 1.36868284345, 34.3384981918, 22.6367025185, 3.57254354954, 3.00501282096
-203.552704163, -222.023772278, 1.37195967197, 34.5811594963, 22.6440828896, 3.48677464724, 2.91522286892
-203.041521454, -221.287851257, 1.38505808353, 34.1825285149, 22.2690275955, 3.46034393787, 2.85269065142
-202.626054687, -221.254174194, 1.37481430531, 34.6076549339, 21.625789175, 3.26582170725, 2.67098476171
-202.071122589, -219.813721466, 1.38132321835, 33.6698883438, 22.0386589813, 3.21501405716, 2.60318616509
-201.858327789, -219.527140503, 1.38194091797, 33.1740027618, 21.6599876022, 3.11119688272, 2.55225931048
-201.569148865, -219.962895203, 1.37300423503, 34.5566844177, 21.1517381954, 3.17529149771, 2.52754084826
-201.321844788, -219.252063751, 1.38250361204, 34.2722968102, 21.375723114, 3.08673071384, 2.523959589
-200.975359192, -219.067058411, 1.37803303599, 34.7173158836, 21.0542343521, 3.07645940781, 2.38732061505
-200.723203735, -218.40619278, 1.38460431695, 34.028216629, 21.6757205772, 2.91777764797, 2.39647148252
-200.623300934, -218.488874054, 1.39188282609, 34.5479548645, 20.8045847702, 2.94599427462, 2.38515579104
-200.353353729, -217.991274109, 1.37965360522, 34.6185876846, 21.2765420151, 2.90961834073, 2.40342316628
-199.807672729, -217.92409317, 1.38071141005, 34.9248992729, 20.436067524, 2.87664227724, 2.3083425355
-200.00238678, -217.77453064, 1.37540777922, 34.9921500206, 21.2444529724, 2.82675186634, 2.31986875176
-199.618335114, -217.573238525, 1.370741328, 35.5390240479, 20.5969113922, 2.77639333725, 2.22914155364
-199.411659088, -217.161470337, 1.39556185961, 34.4935661125, 20.4282048416, 2.71330381155, 2.25019432902
-198.871916656, -216.854603424, 1.37240682602, 35.6800362778, 19.888323679, 2.70613580465, 2.20690760851
-198.992359619, -216.469042969, 1.39564328671, 34.5531665039, 20.4946192455, 2.69254417658, 2.17841095448
-198.911425018, -216.13693924, 1.39162338018, 34.4986535263, 20.3419952679, 2.61562602043, 2.10322725534
-198.35850174, -215.564512024, 1.39674377799, 34.9520759201, 20.3726947975, 2.55011937499, 2.05938783169
-198.02763092, -215.802194977, 1.3726645565, 35.7019776917, 19.7973402023, 2.54847844124, 2.0315831995
-198.024808502, -215.814860535, 1.38519934773, 35.7231276131, 19.420217495, 2.62876081586, 2.07941216707
-197.756064301, -215.569169769, 1.40071941495, 35.8742778778, 18.7487909412, 2.62505453944, 2.0135305512
-197.738718109, -215.275533752, 1.38930798054, 35.3649836349, 19.5229871082, 2.48964405298, 1.99450150728
-197.460623932, -215.038714294, 1.38464168549, 35.5670071793, 19.3224898911, 2.48290758967, 2.00843286276
-197.146698456, -214.676383667, 1.39273175597, 35.2791549683, 18.8006832695, 2.48182780623, 1.97353876472
-197.260905304, -214.658071899, 1.39911065936, 35.4346521759, 19.3761898804, 2.49416541696, 1.95012803197
-196.874564667, -214.487570343, 1.38280951858, 36.0488205338, 18.8837488461, 2.36018170714, 1.91186597109
-196.914514313, -214.561666412, 1.38505549073, 35.9544258499, 18.9686131954, 2.33370351195, 1.89025755882
-196.911870575, -214.036987915, 1.40437529206, 34.8808376122, 19.2508030701, 2.33971898437, 1.90112973928
-196.857957916, -214.363193665, 1.39212248802, 35.6425118256, 19.0549050045, 2.21980614305, 1.80453275204
-196.531128693, -213.671203918, 1.39558632016, 35.6562255859, 19.1917082024, 2.22778957725, 1.76674490809
-196.459176025, -213.565262909, 1.38970668912, 35.3790917969, 18.9625897217, 2.32307257414, 1.77980447054
-196.445367889, -213.516098022, 1.39744338393, 34.8743874931, 18.6459128761, 2.24082573533, 1.84484024525
-196.198650818, -213.470484467, 1.39600759268, 35.4341744995, 18.8335228157, 2.2228371954, 1.80370458841
-196.077711639, -213.227213287, 1.3833346498, 35.561264286, 18.2822959423, 2.2065136528, 1.77880729914
-195.819912262, -213.127320557, 1.39638128161, 35.4835682678, 18.6736683369, 2.16691548586, 1.77119982004
-195.471369934, -212.948869324, 1.39566428304, 35.5890729332, 17.9601577568, 2.23504080772, 1.84083014727
-195.583557281, -212.866108093, 1.38818216681, 35.448400898, 17.6571635151, 2.14001877069, 1.73887574911
-195.390283966, -212.044058685, 1.41679662108, 34.5206859207, 18.2837503433, 2.0927570951, 1.68207041025
