EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-147.216522217, -183.818283081, 2.04912376404, -200.255081177, -473.38961792, -139.29208374, -144.803421021, 445.707855225, 18.7304115295, 3.55779409409, 1.44746935368, 5.96256113052, 3.44243264198, 0.125004023314, 0.0882115289569
-141.030151367, -168.975036621, 2.07619380951, -195.410598755, -392.713287354, -133.405090332, -138.077880859, 345.501586914, 20.0268535614, 5.25729751587, 2.53744673729, 6.02005386353, 3.37622690201, 0.109196379781, 0.106954991817
-144.301345825, -177.570098877, 2.09717583656, -190.621856689, -430.90335083, -137.373245239, -142.502456665, 399.131408691, 19.1652889252, 4.81072282791, 1.36614561081, 5.43616676331, 3.06342887878, 0.0806843861938, 0.0689469128847
-144.774490356, -182.734603882, 2.07012867928, -183.914489746, -421.277862549, -139.019760132, -157.368850708, 403.48336792, 19.2618331909, 3.53180932999, 1.55381393433, 6.63506793976, 3.79764437675, 0.124899655581, 0.107497341931
-147.314910889, -183.81048584, 2.00206065178, -220.4662323, -462.480865479, -137.400695801, -145.13293457, 431.293395996, 17.2923774719, 7.14062547684, 1.91486883163, 7.64027547836, 3.85621547699, 0.12265047431, 0.099158398807
-149.516464233, -215.347595215, 2.01590538025, -201.121017456, -652.253845215, -142.471237183, -153.596908569, 654.254638672, 19.1710662842, 11.5649147034, 2.33348679543, 8.92160511017, 4.2506480217, 0.107049427927, 0.0968801528215
-147.45916748, -197.384048462, 1.95582187176, -207.0027771, -589.912902832, -139.049591064, -146.141616821, 480.608947754, 18.0809688568, 10.3852720261, 2.38089823723, 6.92584514618, 4.05437135696, 0.0926144570112, 0.0852332413197
-140.587020874, -171.329940796, 2.00332188606, -188.502929688, -401.688781738, -134.025726318, -139.520553589, 430.733154297, 19.2938156128, 4.06568431854, 1.94086170197, 5.60748291016, 3.08099508286, 0.100277945399, 0.0889331996441
-139.985092163, -171.256820679, 2.02143406868, -181.13659668, -410.70098877, -133.717590332, -138.500228882, 352.28137207, 17.884223938, 2.37937951088, 1.7527307272, 6.19691896439, 3.5530257225, 0.119995936751, 0.110711961985
-148.417877197, -197.759567261, 1.96238768101, -205.024902344, -592.819824219, -140.141784668, -145.880310059, 553.403564453, 18.9403305054, 6.9330163002, 3.23312997818, 4.93225383759, 3.04202127457, 0.143557280302, 0.108841858804
-144.046432495, -178.874389648, 2.0560529232, -196.782272339, -406.602844238, -135.97833252, -145.35798645, 418.272644043, 17.8649044037, 19.2516498566, 2.86200737953, 7.3252363205, 3.72387361526, 0.185728818178, 0.0891810953617
-148.566009521, -198.773574829, 1.97625875473, -202.657180786, -545.579772949, -140.709274292, -149.923706055, 541.234863281, 18.470697403, 5.47510623932, 1.80625903606, 7.6970000267, 4.18404865265, 0.102102078497, 0.0912658572197
-140.249084473, -176.480651855, 1.97584962845, -189.568084717, -448.578430176, -133.729598999, -140.422012329, 429.142486572, 19.3077354431, 7.43901920319, 2.6941139698, 5.91493797302, 3.63618922234, 0.075536057353, 0.0682852640748
-142.881881714, -174.042633057, 2.04998660088, -195.967132568, -398.28427124, -134.884963989, -141.676757812, 400.510162354, 17.8514614105, 4.93993854523, 2.19431114197, 7.25760126114, 3.88686180115, 0.194303974509, 0.0952894464135
-143.323684692, -180.605407715, 1.99673092365, -192.481506348, -436.811004639, -136.271774292, -143.757522583, 405.60333252, 18.9336357117, 3.08290457726, 1.4609310627, 6.18767356873, 3.39628624916, 0.0836689695716, 0.0661181509495
-148.026351929, -190.813705444, 1.94581532478, -204.271697998, -519.808837891, -139.659515381, -145.840438843, 495.680114746, 19.2121429443, 5.42981386185, 1.49549651146, 5.99533224106, 3.70261311531, 0.108262255788, 0.0701906308532
-146.078979492, -190.968261719, 1.99544644356, -207.040435791, -552.690612793, -137.894668579, -143.689117432, 508.83996582, 19.9705352783, 7.77213335037, 1.64470767975, 5.89295005798, 3.21944403648, 0.100748702884, 0.0676920637488
-149.904434204, -203.896087646, 1.87413847446, -211.643325806, -607.488647461, -141.234024048, -150.454177856, 591.522033691, 19.2353000641, 15.7589321136, 5.85909223557, 5.98922777176, 3.343075037, 0.0971099585295, 0.0864435508847
-146.327651978, -180.483108521, 1.93607068062, -211.160308838, -465.1824646, -137.367370605, -143.235412598, 408.462280273, 18.2341461182, 6.40965080261, 2.08346271515, 5.65024280548, 3.39021873474, 0.306683033705, 0.11769528687
-141.864990234, -182.468475342, 2.01847696304, -183.845611572, -483.800598145, -135.086868286, -142.002822876, 435.302154541, 17.2281913757, 7.38588428497, 1.57234668732, 6.7667222023, 3.7302877903, 0.10682439059, 0.10316812247
-140.879592896, -166.355484009, 2.04972815514, -184.31628418, -357.18460083, -134.108215332, -139.467773438, 337.794891357, 17.788061142, 5.78463363647, 2.44289517403, 6.8386592865, 4.17331314087, 0.16941793263, 0.146923899651
-143.100891113, -180.794174194, 2.0656182766, -184.739242554, -461.53527832, -136.732025146, -142.140151978, 443.432495117, 18.3008384705, 5.56482982635, 1.5727108717, 6.31752824783, 3.75787472725, 0.117913872004, 0.115760020912
-137.601364136, -165.21736145, 2.01760172844, -175.510177612, -377.98059082, -132.220275879, -137.453079224, 350.849334717, 18.4207801819, 2.78580617905, 1.01692390442, 7.46337509155, 4.0207657814, 0.109517581761, 0.101345703006
-143.899154663, -180.523361206, 1.99125993252, -179.421127319, -440.35269165, -138.304824829, -144.663131714, 378.315460205, 17.9450149536, 1.4990093708, 1.33566069603, 6.06413125992, 3.63003468513, 0.28152269125, 0.0927648991346
-144.318862915, -181.177658081, 2.03307247162, -199.026916504, -467.040649414, -136.174728394, -142.168945312, 428.954467773, 19.173828125, 7.51435565948, 2.78290843964, 6.69645214081, 3.64434170723, 0.116205662489, 0.114040143788
-142.500198364, -177.415023804, 2.01732182503, -184.890533447, -416.553283691, -136.288070679, -144.501785278, 399.522979736, 16.6136550903, 5.26113319397, 1.65462648869, 6.47743797302, 3.60980081558, 0.131894990802, 0.101879768074
-140.540878296, -171.216705322, 2.18067646027, -189.33581543, -414.613677979, -133.439361572, -138.113525391, 377.318328857, 16.6890602112, 4.24955272675, 2.69642567635, 5.25461435318, 3.04367852211, 0.100240036845, 0.0853927433491
