EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-284.646653748, -391.221331177, 1.12252685189, -381.559354858, -538.21348114, -274.140308533, -375.896808472, 264.433815613, 37.2483670616, 257.885965118, 31.026443615, 149.397570953, 22.1733148384, 37.3282764721, 12.139699049
-243.039665833, -281.867766113, 1.23562345982, -309.864825897, -429.446104126, -235.809047699, -265.478847504, 181.719007568, 29.7288738441, 175.884621735, 23.8019973183, 53.4621511078, 28.2532303429, 10.0590951204, 6.08903569698
-229.484190521, -262.171630402, 1.26080405474, -273.563356018, -377.411414795, -224.75505188, -249.533734894, 149.224188995, 29.2330412674, 128.595322952, 22.8279831696, 46.4463775635, 30.2345492363, 6.82981554031, 5.19791517496
-220.987500153, -249.813831177, 1.28590556383, -249.637332001, -339.051646729, -217.770604858, -239.993034821, 117.815780487, 24.1389605141, 101.809152451, 20.0083122444, 40.7818198586, 27.6800271225, 5.30505731106, 4.13321973801
-215.147464142, -241.20557251, 1.29431809783, -222.240513, -291.494004517, -214.405292664, -235.443598175, 79.4213719177, 18.3811501408, 68.8203317261, 16.2621780872, 40.2581344795, 28.1916095924, 4.39910097361, 3.36281790018
-211.420447998, -236.075990295, 1.28953325748, -203.8925383, -258.164207001, -212.22891449, -233.434976654, 55.29370121, 15.2512898827, 46.3270290184, 14.0591452408, 41.6322159958, 29.0161324692, 3.83659481049, 2.94260318518
-208.947402496, -232.998452606, 1.28998369932, -194.782934875, -239.665778961, -210.390198822, -232.058109283, 43.6212477493, 13.6089002609, 33.9877625656, 12.0895091248, 42.8604544449, 29.1849262619, 3.30015600204, 2.63607989192
-207.212366028, -230.676724396, 1.29783053279, -188.7712883, -226.606627197, -209.226424561, -230.938177795, 35.7690008354, 12.2460616493, 25.5721384811, 9.97373828411, 43.4805786896, 29.3199704933, 3.0668978405, 2.4023737371
-205.734291077, -229.277928772, 1.29091985941, -185.114723206, -218.330547028, -208.125672455, -230.59056366, 32.8874875641, 11.688706007, 20.4321033764, 8.18407939434, 45.3831150818, 29.071486969, 2.92974308968, 2.27544935107
-204.798455353, -228.328179321, 1.2931251502, -182.238648529, -212.219699097, -207.211433105, -230.052008362, 30.2575209045, 11.0595573521, 16.009461422, 6.63724123001, 47.3601994705, 29.4501208687, 2.85077911139, 2.19725107789
