EUBO	ELBO	ESS
-75554.043	-100997.474	2.347
-72331.537	-94662.160	2.519
-67850.475	-87321.935	2.729
-60711.717	-78038.265	2.960
-46328.417	-60750.376	3.327
-32325.166	-42662.041	3.696
-24354.537	-31392.056	3.942
-19880.924	-25112.910	4.100
-17117.983	-21256.931	4.208
-15420.233	-18875.628	4.286
-13881.596	-16874.497	4.349
-12786.875	-15391.173	4.410
-11801.153	-14073.284	4.479
-11169.412	-13149.183	4.543
-10588.228	-12341.410	4.595
-10170.165	-11764.474	4.631
-9649.265	-11121.440	4.667
-9343.530	-10671.860	4.702
-8928.665	-10184.791	4.724
-8528.588	-9686.311	4.754
-8000.211	-9068.280	4.788
-7863.093	-8884.659	4.820
-7600.261	-8561.299	4.833
-7129.761	-8012.396	4.862
-7117.737	-7961.074	4.879
-6890.131	-7713.973	4.898
-6765.257	-7509.369	4.924
-6500.099	-7209.235	4.943
-6514.188	-7184.342	4.956
-6391.507	-7035.381	4.977
-6277.157	-6879.204	4.986
-6462.577	-7034.022	5.002
-6196.489	-6742.810	5.025
-6138.882	-6669.127	5.028
-6098.002	-6615.740	5.052
-6170.994	-6643.783	5.065
-6028.923	-6484.566	5.082
-6235.264	-6685.909	5.093
-5979.266	-6399.914	5.100
-6149.696	-6572.486	5.116
-6279.005	-6693.873	5.122
-6272.926	-6660.866	5.130
-6221.599	-6607.565	5.138
-6016.539	-6395.732	5.143
-6087.507	-6438.483	5.155
-6158.104	-6513.269	5.166
-6144.828	-6472.214	5.165
-6260.729	-6571.607	5.179
-6015.770	-6336.217	5.190
-6253.163	-6566.771	5.187
-6289.234	-6578.117	5.201
-6408.870	-6697.347	5.200
-6316.184	-6608.506	5.214
-6224.480	-6501.798	5.216
-6303.344	-6586.246	5.226
-6360.060	-6643.298	5.229
-6311.963	-6569.181	5.236
