EUBO	ELBO	ESS
-23274.326	-239623.416	1.100
-6504.266	-113964.272	1.233
-2250.957	-18251.640	1.802
-538.164	-5372.263	2.498
-140.950	-2388.550	3.209
-103.605	-1179.851	3.785
-150.691	-798.340	4.046
-81.382	-562.624	4.236
-63.908	-461.682	4.375
-75.032	-409.721	4.487
-36.569	-324.001	4.566
-79.709	-356.575	4.513
-77.607	-315.325	4.620
-25.633	-249.393	4.621
-58.489	-260.979	4.668
-84.001	-295.049	4.636
-123.176	-298.997	4.725
-49.518	-230.683	4.677
-47.448	-206.159	4.762
-25.635	-188.184	4.757
-99.153	-255.946	4.763
-32.230	-169.578	4.842
