EUBO	ELBO	ESS
-85386.061	-271915.149	1.071
-78877.432	-224332.017	1.087
-81050.069	-178525.508	1.115
-91853.130	-158931.440	1.146
-82232.150	-143285.675	1.175
-68376.542	-121600.696	1.215
-53842.045	-103625.174	1.254
-40129.499	-82643.197	1.301
-34468.552	-71133.487	1.336
-31415.964	-65770.106	1.352
-28955.369	-62399.560	1.362
-27466.601	-60122.091	1.374
-26545.505	-58328.633	1.392
-25574.408	-56879.982	1.404
-25193.154	-55803.065	1.417
-24892.208	-54628.452	1.436
-24737.772	-54071.788	1.450
-24554.455	-53459.683	1.461
-24360.202	-53143.015	1.469
-24090.046	-52693.790	1.475
-24270.545	-52427.053	1.492
-24241.767	-52066.346	1.499
-24320.662	-51837.396	1.512
-24603.045	-52087.258	1.521
-24346.141	-52074.103	1.525
