EUBO	ELBO	ESS
-75859.679	-70573.424	5.498
-33913.085	-30819.557	5.498
-17159.343	-15686.925	5.499
-11864.222	-11253.298	5.496
-8899.078	-8713.410	5.495
-6534.787	-6480.054	5.492
-4652.287	-4649.409	5.493
-3163.724	-3219.049	5.491
-2272.894	-2361.416	5.488
-1420.461	-1529.966	5.494
-1110.770	-1237.401	5.493
-810.547	-944.565	5.498
-725.455	-865.820	5.498
-537.957	-680.798	5.503
-440.059	-590.079	5.509
-410.674	-553.256	5.515
-335.625	-482.663	5.517
-327.879	-479.403	5.525
-239.488	-396.691	5.528
-339.211	-481.321	5.530
-291.373	-444.143	5.535
-108.372	-269.133	5.538
-168.971	-331.027	5.546
-49.207	-212.203	5.551
-184.357	-341.501	5.550
