EUBO	ELBO	ESS
-71996.473	-283786.437	1.000
-35922.725	-212671.791	1.000
-17757.550	-115616.988	1.000
-10730.843	-63883.191	1.001
-7344.364	-32960.156	1.002
-4976.199	-19640.659	1.004
-3116.573	-12463.681	1.010
-1496.010	-7089.406	1.027
-730.205	-4186.491	1.056
-451.765	-3048.479	1.088
-171.064	-2564.316	1.112
-78.846	-2350.044	1.135
5.368	-2112.320	1.165
30.614	-1988.680	1.196
93.807	-1829.025	1.225
101.342	-1700.749	1.253
150.042	-1597.110	1.273
163.016	-1441.408	1.307
186.242	-1399.028	1.328
207.890	-1360.935	1.363
221.091	-1282.811	1.372
239.320	-1161.714	1.409
259.566	-1052.547	1.436
274.383	-1000.382	1.449
291.016	-971.642	1.468
284.748	-894.767	1.498
300.319	-883.452	1.527
310.627	-756.569	1.548
311.076	-762.721	1.596
329.948	-674.322	1.605
329.074	-647.101	1.621
334.698	-565.988	1.684
342.865	-563.555	1.706
353.630	-502.882	1.728
352.216	-465.276	1.723
360.953	-437.369	1.769
364.504	-402.157	1.770
363.105	-362.163	1.855
365.671	-356.156	1.892
367.359	-332.246	1.872
375.250	-297.771	1.946
374.862	-293.422	1.992
382.720	-258.160	2.034
380.809	-250.775	2.049
385.465	-204.644	2.052
387.513	-180.773	2.059
389.491	-186.543	2.148
388.623	-139.668	2.186
395.937	-140.420	2.209
393.354	-117.553	2.151
397.356	-93.863	2.181
398.234	-69.908	2.212
402.368	-40.596	2.309
400.347	-44.055	2.323
403.264	-26.980	2.383
403.148	-30.573	2.436
404.357	-1.925	2.410
409.029	14.627	2.478
405.044	6.575	2.403
409.931	24.192	2.476
407.131	21.105	2.506
410.249	60.322	2.524
410.969	38.269	2.545
411.945	62.957	2.593
411.981	73.510	2.543
414.959	77.856	2.564
412.651	78.973	2.644
416.261	102.802	2.726
414.471	103.698	2.668
417.207	110.934	2.661
416.703	119.667	2.667
417.444	129.544	2.732
417.013	141.857	2.797
417.741	151.158	2.903
418.717	137.873	2.736
420.274	153.273	2.841
421.041	164.284	2.759
422.347	163.630	2.810
421.686	173.487	2.983
422.195	182.417	2.860
423.276	202.214	2.936
422.180	203.863	2.933
424.259	195.995	2.864
422.862	202.413	2.960
424.976	218.151	2.969
423.630	219.498	3.099
423.391	210.257	3.067
426.015	221.678	3.010
426.513	233.214	3.231
427.443	227.925	3.087
427.167	247.282	3.239
427.053	246.377	3.172
427.499	248.841	3.168
427.357	250.479	3.082
427.625	260.438	3.210
428.049	266.587	3.212
429.868	273.738	3.294
428.706	267.413	3.099
429.491	280.579	3.266
429.929	270.903	3.139
429.573	283.480	3.343
429.561	287.876	3.195
430.659	288.618	3.178
430.655	293.038	3.413
431.594	288.226	3.313
430.342	294.146	3.279
430.394	294.950	3.234
430.364	303.620	3.363
431.445	304.948	3.360
430.287	314.418	3.481
430.970	311.656	3.338
432.173	310.234	3.417
432.180	311.804	3.198
432.190	319.147	3.493
433.153	316.570	3.599
432.242	325.292	3.570
432.822	326.393	3.531
433.722	331.983	3.534
433.028	331.703	3.525
432.995	337.818	3.520
433.560	336.057	3.498
433.490	336.953	3.649
433.930	337.758	3.662
433.924	346.112	3.542
434.385	344.932	3.566
433.817	342.230	3.702
433.942	346.415	3.346
434.428	353.345	3.582
435.018	352.170	3.613
434.967	352.865	3.483
434.139	356.293	3.674
434.770	360.532	3.757
434.990	357.851	3.773
434.449	359.137	3.576
435.329	362.577	3.771
434.569	363.849	3.761
435.300	366.753	3.693
435.307	364.106	3.775
435.253	367.945	3.799
435.400	369.520	3.783
435.741	370.292	3.844
435.466	368.280	3.643
436.124	376.079	3.675
435.916	375.638	3.770
