EUBO	ELBO	ESS
-1523.404	-94284.353	3.714
-1513.109	-94173.234	3.718
-1500.903	-94250.549	3.717
-1485.720	-94216.008	3.719
-1512.996	-94154.331	3.718
-1490.667	-94209.671	3.716
-1463.168	-94099.214	3.719
-1514.151	-94260.547	3.714
-1505.576	-94226.375	3.719
-1476.191	-94174.316	3.717
-1520.726	-94218.344	3.716
-1518.094	-94275.276	3.716
-1511.079	-94224.038	3.714
-1509.663	-94204.618	3.717
-1526.414	-94189.714	3.717
-1519.457	-94139.633	3.719
-1531.574	-94272.491	3.717
-1525.429	-94252.890	3.718
-1526.336	-94117.451	3.716
-1504.245	-94182.822	3.716
-1511.622	-94272.312	3.716
-1517.274	-94244.677	3.719
-1480.771	-94148.207	3.717
-1507.322	-94167.662	3.716
-1479.136	-94188.771	3.713
-1523.224	-94210.918	3.716
-1539.278	-94248.200	3.715
-1539.674	-94180.647	3.719
-1490.033	-94188.789	3.716
-1511.428	-94174.742	3.718
-1475.373	-94149.653	3.717
-1519.377	-94193.149	3.717
-1514.606	-94230.343	3.716
-1515.042	-94221.333	3.716
-1528.064	-94172.795	3.718
-1523.436	-94248.863	3.716
-1500.778	-94117.703	3.721
-1511.426	-94138.959	3.719
-1507.829	-94224.751	3.715
-1539.115	-94217.514	3.717
-1522.584	-94238.415	3.715
-1554.578	-94258.094	3.714
-1482.079	-94139.861	3.715
-1503.409	-94163.609	3.717
-1533.007	-94166.784	3.715
-1535.164	-94275.256	3.715
-1505.474	-94230.760	3.719
-1521.559	-94168.824	3.715
-1511.688	-94131.377	3.717
-1487.690	-94187.401	3.716
-1523.829	-94256.245	3.719
-1534.354	-94196.527	3.718
-1517.539	-94279.783	3.715
-1518.269	-94133.343	3.718
-1532.755	-94240.015	3.718
-1514.614	-94219.812	3.717
-1519.598	-94122.124	3.721
-1530.769	-94138.644	3.718
-1478.474	-94194.835	3.716
-1526.630	-94254.413	3.717
-1494.916	-94247.984	3.718
-1499.229	-94206.684	3.715
-1490.453	-94186.363	3.716
-1514.583	-94301.979	3.714
-1471.347	-94159.573	3.716
-1499.856	-94254.134	3.717
-1469.849	-94203.925	3.715
-1502.465	-94092.822	3.721
-1467.408	-94239.362	3.714
