EUBO	ELBO	ESS
-5098.173	-374844.185	3.573
-5118.647	-374310.748	3.573
-4797.863	-371505.029	3.591
-4447.943	-361663.467	3.654
-3986.306	-346679.673	3.755
-3885.286	-330962.323	3.874
-3736.153	-316186.922	4.005
-3644.895	-304938.821	4.119
-3691.683	-295952.658	4.219
-3693.442	-289380.200	4.294
-3712.376	-283790.770	4.369
-3549.067	-278448.257	4.434
-3617.418	-274596.260	4.491
-3641.436	-271238.319	4.544
-3700.064	-267319.529	4.598
-3699.772	-263701.910	4.653
-3673.944	-260834.221	4.694
-3543.373	-258516.547	4.733
-3699.129	-255210.841	4.781
-3617.898	-251728.801	4.836
-3573.852	-248141.568	4.883
-3786.207	-244022.277	4.941
-3702.501	-238435.988	5.012
-3560.744	-229220.912	5.122
-2689.192	-172215.232	5.651
-1608.078	-95674.653	6.493
-1492.391	-82865.286	6.773
-1527.624	-80408.815	6.855
-1622.167	-79482.131	6.900
-1531.127	-78879.913	6.923
-1459.219	-78281.450	6.945
-1530.526	-78142.050	6.969
-1437.168	-77651.683	6.982
-1379.854	-77377.010	7.003
-1380.003	-77246.096	7.016
-1322.482	-76869.686	7.034
-1279.695	-76723.282	7.047
-1242.656	-76589.061	7.066
-1255.750	-76731.199	7.076
-1197.282	-76310.559	7.092
-1180.537	-76160.855	7.106
-1168.319	-75984.208	7.119
-1141.763	-76120.351	7.131
-1133.244	-75617.150	7.148
-1072.239	-75501.763	7.164
-993.679	-75257.640	7.173
-1015.865	-75045.760	7.192
-937.027	-74609.673	7.208
-954.207	-74539.439	7.222
-861.826	-69123.545	7.300
-895.326	-49226.111	7.654
-851.630	-49107.954	7.684
-848.889	-48733.175	7.708
-758.041	-48321.890	7.726
-841.425	-47899.074	7.742
-758.732	-47618.186	7.752
-721.292	-47192.526	7.766
-734.733	-47006.415	7.776
-713.387	-46860.950	7.783
-696.320	-46440.650	7.795
-768.787	-46385.577	7.800
-788.331	-46208.341	7.809
-766.027	-45857.330	7.816
-716.747	-45814.511	7.819
-752.271	-45573.767	7.824
-705.358	-45579.482	7.831
-751.492	-45344.066	7.836
-706.435	-45101.028	7.840
-716.816	-45071.917	7.843
-716.824	-44967.488	7.848
-743.318	-44780.321	7.854
-750.866	-44755.631	7.855
-691.155	-44619.293	7.860
-712.524	-44459.510	7.863
-723.407	-44235.727	7.865
-730.038	-44200.172	7.870
-701.048	-44157.243	7.873
-726.236	-43879.320	7.875
-699.693	-43573.857	7.880
-699.164	-43646.180	7.883
-720.298	-43418.567	7.889
-724.712	-42998.978	7.895
-679.005	-42627.045	7.901
-700.005	-41618.865	7.916
-729.400	-38907.528	7.969
-766.305	-36096.916	8.048
-762.003	-36764.016	8.067
-778.528	-36666.158	8.078
-720.732	-36488.374	8.087
-727.280	-36360.920	8.091
-737.961	-36063.818	8.099
-754.886	-35821.678	8.105
-764.815	-35680.725	8.111
-726.352	-35363.603	8.113
-695.821	-35173.359	8.118
-693.359	-35128.720	8.124
-714.097	-34998.545	8.126
-708.762	-35005.609	8.127
-710.709	-34963.103	8.134
-700.857	-34592.631	8.136
-714.124	-34644.315	8.139
-706.282	-34495.029	8.146
-711.723	-34385.188	8.147
-702.017	-34336.811	8.151
-701.679	-34275.449	8.154
-672.107	-34119.874	8.157
-699.615	-34057.569	8.160
-668.393	-33967.318	8.160
-680.081	-33777.892	8.163
-719.610	-33744.380	8.168
-679.570	-33614.547	8.172
-684.707	-33554.391	8.174
-721.569	-33384.238	8.180
-682.166	-33284.241	8.182
-696.537	-33235.544	8.182
-665.622	-33144.118	8.184
-683.642	-33062.151	8.190
-694.535	-33034.895	8.191
-664.503	-32768.402	8.195
-694.859	-32625.564	8.201
-684.422	-32613.126	8.203
-685.495	-32431.460	8.204
-687.366	-32232.290	8.209
-663.321	-32183.190	8.215
-709.286	-32147.248	8.214
-711.102	-31924.646	8.219
-660.001	-31769.404	8.220
-678.718	-31585.683	8.227
-696.979	-31619.354	8.230
-710.217	-31496.105	8.233
-665.438	-31395.614	8.237
-683.707	-31133.990	8.242
-707.579	-31108.742	8.244
-694.336	-30987.499	8.246
-670.075	-30773.375	8.254
-673.578	-30699.678	8.253
-669.550	-30388.089	8.260
-676.258	-30541.690	8.265
-706.726	-30290.758	8.268
-687.818	-30183.843	8.271
-724.241	-30015.863	8.273
-658.990	-29828.963	8.278
-677.550	-29841.829	8.283
-676.837	-29659.990	8.284
-701.809	-29430.656	8.290
-689.729	-29317.610	8.295
-687.108	-29297.905	8.295
-705.748	-28997.781	8.296
-712.785	-29028.750	8.301
-668.694	-28884.880	8.306
-679.297	-28690.144	8.310
-652.775	-28551.116	8.313
-669.506	-28626.209	8.314
-669.961	-28568.586	8.319
-692.617	-28357.298	8.322
-657.604	-28211.529	8.326
-650.960	-28175.976	8.327
-674.688	-28096.801	8.330
-668.852	-27997.160	8.329
-674.350	-27844.105	8.332
-675.809	-27910.502	8.338
