EUBO	ELBO	ESS
-4960.366	-374969.698	3.570
-11040.817	-153377.597	5.308
-14126.434	-73244.065	6.873
-10000.684	-33840.707	7.837
-5289.027	-13566.494	8.495
-1030.373	-3261.447	8.913
-488.535	-1119.423	9.223
-487.816	-753.381	9.427
-492.135	-648.364	9.533
-494.392	-608.205	9.591
-495.675	-589.881	9.624
-496.552	-578.509	9.648
-497.275	-569.276	9.669
-497.953	-561.633	9.688
-498.562	-555.265	9.704
-499.093	-550.191	9.719
-499.563	-545.922	9.733
-500.015	-542.053	9.745
-500.395	-538.517	9.758
-500.762	-535.841	9.767
-501.097	-533.372	9.777
-501.397	-531.217	9.787
-501.703	-529.462	9.794
-501.952	-527.672	9.803
-502.200	-526.389	9.809
-502.405	-524.833	9.817
-502.655	-523.809	9.823
-502.840	-522.461	9.830
-503.040	-521.577	9.835
-503.227	-520.638	9.841
-503.385	-519.862	9.846
-503.538	-519.079	9.851
-503.694	-518.432	9.856
-503.813	-517.710	9.861
-503.943	-517.140	9.865
-504.106	-516.626	9.869
-504.218	-516.103	9.873
-504.307	-515.681	9.877
-504.422	-515.128	9.881
-504.528	-514.810	9.884
-504.620	-514.347	9.888
-504.714	-514.052	9.891
-504.825	-513.765	9.893
-504.894	-513.462	9.896
-504.988	-513.122	9.899
-505.076	-512.890	9.902
-505.130	-512.582	9.905
-505.203	-512.356	9.908
-505.277	-512.134	9.910
-505.341	-511.980	9.912
-505.398	-511.775	9.914
-505.459	-511.548	9.917
-505.517	-511.412	9.919
-505.578	-511.224	9.921
-505.633	-511.059	9.923
-505.689	-510.957	9.925
-505.735	-510.752	9.927
-505.790	-510.671	9.928
-505.838	-510.525	9.930
-505.877	-510.438	9.932
-505.922	-510.300	9.933
-505.957	-510.187	9.935
-506.000	-510.073	9.937
-506.036	-509.975	9.938
-506.073	-509.822	9.940
-506.110	-509.748	9.941
-506.145	-509.676	9.943
-506.177	-509.604	9.944
-506.206	-509.547	9.945
-506.249	-509.446	9.947
-506.263	-509.323	9.948
-506.311	-509.334	9.949
-506.335	-509.234	9.950
-506.365	-509.197	9.951
-506.377	-509.071	9.953
-506.421	-509.051	9.954
-506.444	-508.988	9.955
-506.465	-508.964	9.955
