EUBO	ELBO	ESS
-54849.266	-118258.983	1.000
-46707.918	-109774.229	1.000
-42518.832	-104844.678	1.000
-40042.711	-99127.542	1.000
-38817.159	-92934.404	1.000
-35854.855	-85223.064	1.000
-34833.646	-79987.647	1.000
-34162.907	-75071.605	1.000
-33094.263	-70988.469	1.000
-32928.943	-68818.058	1.000
-31921.467	-64841.663	1.000
-31421.557	-61560.540	1.000
-30803.512	-59034.454	1.000
-30782.096	-58656.974	1.000
-30562.950	-57662.190	1.000
-30849.315	-57695.230	1.001
-29647.168	-57772.958	1.001
-30242.186	-57520.484	1.001
-29692.084	-57286.130	1.000
-29114.741	-56788.266	1.000
-28882.471	-56877.276	1.000
-29478.186	-57722.826	1.000
-28758.105	-56786.193	1.000
-28885.079	-57226.528	1.000
-28916.186	-56156.349	1.001
-28423.722	-54666.767	1.001
-28779.809	-54789.703	1.000
-29023.595	-54414.404	1.000
-28111.497	-52940.322	1.001
-29443.539	-53595.317	1.000
-29506.172	-54021.055	1.000
-28901.833	-54005.619	1.000
-29466.208	-55873.880	1.000
-28931.751	-54605.574	1.001
-29097.331	-55408.280	1.000
-29324.174	-54943.401	1.001
-29165.456	-55491.723	1.001
-28208.065	-53831.342	1.001
-28336.235	-53625.662	1.000
-28061.394	-53756.063	1.000
-28083.023	-53107.263	1.000
-28256.322	-53331.997	1.000
-28660.268	-52944.575	1.000
-28556.062	-52019.738	1.001
-28314.265	-52407.068	1.000
-27838.102	-51526.060	1.000
-28535.200	-52568.238	1.000
-28041.272	-52000.381	1.001
-27833.524	-51925.108	1.001
-27693.433	-52074.625	1.001
-27561.896	-51677.389	1.001
-27656.592	-52113.433	1.000
-27700.768	-52459.002	1.000
-27530.598	-52472.516	1.000
-27948.953	-52624.841	1.001
-28208.569	-53450.259	1.000
-28274.940	-52689.526	1.000
-28051.512	-52672.437	1.000
-27853.937	-52036.095	1.001
-27901.908	-51990.266	1.000
-28657.219	-52471.695	1.000
-28272.839	-52598.842	1.000
-28302.189	-52126.944	1.001
-28207.002	-52560.846	1.000
-28310.738	-53087.570	1.000
-28491.529	-52867.375	1.000
-28339.005	-53023.865	1.000
-27686.355	-52611.219	1.000
-27340.650	-51477.850	1.000
-27149.025	-51889.859	1.001
-26820.148	-52183.352	1.000
-26958.264	-52881.532	1.000
-27316.367	-52302.808	1.000
-27587.666	-53052.760	1.001
-27180.932	-52465.949	1.000
-27699.644	-52596.814	1.001
-28480.128	-53268.827	1.000
-28905.459	-53547.330	1.000
-28264.147	-53272.868	1.000
-27495.184	-52390.191	1.000
-27505.209	-52352.121	1.000
-27346.843	-52398.393	1.001
-27308.735	-52080.280	1.000
-27573.270	-52302.243	1.000
-27447.936	-52415.661	1.001
-27252.725	-52031.070	1.000
-27229.389	-51986.856	1.000
-27208.395	-51912.543	1.001
