(301s) Epoch=0, Group=0, loss_phi: 115.3459,  loss_theta: 12968.0828,  ess: 1.1042,  density: -7439.3726
(302s) Epoch=0, Group=1, loss_phi: 74.8235,  loss_theta: 9887.7059,  ess: 1.2633,  density: -5247.4603
(302s) Epoch=0, Group=2, loss_phi: 19.2811,  loss_theta: 6636.5738,  ess: 1.2664,  density: -3476.8810
(310s) Epoch=0, Group=3, loss_phi: -46.4042,  loss_theta: 4710.3028,  ess: 1.2036,  density: -2470.5709
(391s) Epoch=0, Group=4, loss_phi: -87.0672,  loss_theta: 4160.1773,  ess: 1.2889,  density: -2172.2671
(392s) Epoch=1, Group=0, loss_phi: -106.3839,  loss_theta: 3934.4246,  ess: 1.3584,  density: -2041.3154
(394s) Epoch=1, Group=1, loss_phi: -114.5664,  loss_theta: 3806.9646,  ess: 1.4306,  density: -1970.8275
(401s) Epoch=1, Group=2, loss_phi: -114.8723,  loss_theta: 3774.4363,  ess: 1.4493,  density: -1955.4723
(400s) Epoch=1, Group=3, loss_phi: -114.6303,  loss_theta: 3680.7729,  ess: 1.4801,  density: -1909.1528
(398s) Epoch=1, Group=4, loss_phi: -110.4366,  loss_theta: 3568.4322,  ess: 1.4523,  density: -1856.8054
(402s) Epoch=2, Group=0, loss_phi: -96.9109,  loss_theta: 3208.0541,  ess: 1.4023,  density: -1689.2773
(398s) Epoch=2, Group=1, loss_phi: -90.6971,  loss_theta: 2119.3044,  ess: 1.4370,  density: -1177.2192
(398s) Epoch=2, Group=2, loss_phi: -101.4489,  loss_theta: 1692.5432,  ess: 1.4963,  density: -979.7302
(401s) Epoch=2, Group=3, loss_phi: -103.0897,  loss_theta: 1623.1366,  ess: 1.5321,  density: -949.8198
(400s) Epoch=2, Group=4, loss_phi: -103.8976,  loss_theta: 1552.5540,  ess: 1.5352,  density: -911.3289
(399s) Epoch=3, Group=0, loss_phi: -103.4107,  loss_theta: 1497.2080,  ess: 1.5045,  density: -885.1543
(402s) Epoch=3, Group=1, loss_phi: -103.1222,  loss_theta: 1468.0730,  ess: 1.5112,  density: -873.0357
(400s) Epoch=3, Group=2, loss_phi: -103.3824,  loss_theta: 1458.4025,  ess: 1.4857,  density: -871.0139
(400s) Epoch=3, Group=3, loss_phi: -103.3869,  loss_theta: 1435.6312,  ess: 1.5046,  density: -859.9007
(400s) Epoch=3, Group=4, loss_phi: -102.6883,  loss_theta: 1393.0102,  ess: 1.5175,  density: -838.3946
(398s) Epoch=4, Group=0, loss_phi: -102.3937,  loss_theta: 1393.7550,  ess: 1.5343,  density: -837.2883
(402s) Epoch=4, Group=1, loss_phi: -99.8752,  loss_theta: 1374.5155,  ess: 1.5440,  density: -824.1508
(399s) Epoch=4, Group=2, loss_phi: -100.0680,  loss_theta: 1350.9092,  ess: 1.4960,  density: -813.3236
(400s) Epoch=4, Group=3, loss_phi: -101.8518,  loss_theta: 1347.2355,  ess: 1.5011,  density: -813.9117
(400s) Epoch=4, Group=4, loss_phi: -102.0494,  loss_theta: 1337.2694,  ess: 1.4624,  density: -809.0266
(400s) Epoch=5, Group=0, loss_phi: -103.6402,  loss_theta: 1324.6200,  ess: 1.5059,  density: -800.0464
(399s) Epoch=5, Group=1, loss_phi: -104.0905,  loss_theta: 1338.4133,  ess: 1.5261,  density: -807.8571
(395s) Epoch=5, Group=2, loss_phi: -105.6159,  loss_theta: 1326.7614,  ess: 1.4926,  density: -811.2218
(393s) Epoch=5, Group=3, loss_phi: -105.2390,  loss_theta: 1348.3148,  ess: 1.4748,  density: -825.6020
(394s) Epoch=5, Group=4, loss_phi: -107.9170,  loss_theta: 1313.5212,  ess: 1.4854,  density: -811.1465
(393s) Epoch=6, Group=0, loss_phi: -108.3131,  loss_theta: 1305.4853,  ess: 1.4638,  density: -806.4505
(398s) Epoch=6, Group=1, loss_phi: -110.2608,  loss_theta: 1307.7909,  ess: 1.4241,  density: -810.5432
(400s) Epoch=6, Group=2, loss_phi: -110.8399,  loss_theta: 1312.5871,  ess: 1.4233,  density: -813.4626
(399s) Epoch=6, Group=3, loss_phi: -110.9909,  loss_theta: 1320.8036,  ess: 1.4166,  density: -817.2587
(397s) Epoch=6, Group=4, loss_phi: -110.5561,  loss_theta: 1259.0675,  ess: 1.4427,  density: -783.3464
(397s) Epoch=7, Group=0, loss_phi: -110.7584,  loss_theta: 1260.6390,  ess: 1.4280,  density: -785.3013
(399s) Epoch=7, Group=1, loss_phi: -110.8424,  loss_theta: 1271.5334,  ess: 1.3435,  density: -805.0655
(402s) Epoch=7, Group=2, loss_phi: -111.8348,  loss_theta: 1247.6511,  ess: 1.3322,  density: -796.9936
(398s) Epoch=7, Group=3, loss_phi: -112.6775,  loss_theta: 1252.7423,  ess: 1.3507,  density: -795.8165
(398s) Epoch=7, Group=4, loss_phi: -112.0789,  loss_theta: 1246.0539,  ess: 1.3660,  density: -786.1832
(401s) Epoch=8, Group=0, loss_phi: -109.7270,  loss_theta: 1239.8955,  ess: 1.3931,  density: -773.4132
(399s) Epoch=8, Group=1, loss_phi: -109.1066,  loss_theta: 1207.0801,  ess: 1.4109,  density: -756.8181
(401s) Epoch=8, Group=2, loss_phi: -107.0664,  loss_theta: 1217.0788,  ess: 1.3726,  density: -764.5271
