(271s) loss_phi: -161.317037,  loss_theta: 9896.338639,  ess_rws: 1.006070,  ess_mu: 1.225047,  ess_local: 3.827683,  density: -7073.565832
(266s) loss_phi: -406.250589,  loss_theta: 2120.430436,  ess_rws: 1.011164,  ess_mu: 1.416898,  ess_local: 5.775292,  density: -2018.842209
(267s) loss_phi: -447.102118,  loss_theta: 1835.474797,  ess_rws: 1.011429,  ess_mu: 1.429822,  ess_local: 6.121640,  density: -1826.200416
(265s) loss_phi: -463.735513,  loss_theta: 1708.454611,  ess_rws: 1.012874,  ess_mu: 1.448512,  ess_local: 6.268749,  density: -1734.370036
(264s) loss_phi: -474.017469,  loss_theta: 1634.697294,  ess_rws: 1.011625,  ess_mu: 1.473683,  ess_local: 6.339023,  density: -1683.786297
(265s) loss_phi: -480.406060,  loss_theta: 1590.208639,  ess_rws: 1.013917,  ess_mu: 1.485464,  ess_local: 6.373868,  density: -1651.054701
(271s) loss_phi: -480.983619,  loss_theta: 1565.492880,  ess_rws: 1.012675,  ess_mu: 1.495346,  ess_local: 6.413426,  density: -1632.046176
(266s) loss_phi: -470.854864,  loss_theta: 1427.518823,  ess_rws: 1.011825,  ess_mu: 1.541080,  ess_local: 6.124232,  density: -1623.237680
(268s) loss_phi: -481.891262,  loss_theta: 1192.562498,  ess_rws: 1.011238,  ess_mu: 1.608929,  ess_local: 6.212800,  density: -1496.075933
(267s) loss_phi: -497.000620,  loss_theta: 1047.962821,  ess_rws: 1.012721,  ess_mu: 1.640726,  ess_local: 6.436059,  density: -1398.395240
(265s) loss_phi: -507.829081,  loss_theta: 969.996109,  ess_rws: 1.014231,  ess_mu: 1.661050,  ess_local: 6.605276,  density: -1340.017520
(266s) loss_phi: -517.777738,  loss_theta: 919.648481,  ess_rws: 1.013350,  ess_mu: 1.681006,  ess_local: 6.736894,  density: -1298.678884
(271s) loss_phi: -524.084069,  loss_theta: 891.403562,  ess_rws: 1.012510,  ess_mu: 1.664754,  ess_local: 6.817810,  density: -1269.597841
(271s) loss_phi: -527.748299,  loss_theta: 859.828487,  ess_rws: 1.012780,  ess_mu: 1.669179,  ess_local: 6.875440,  density: -1243.064077
(270s) loss_phi: -532.341209,  loss_theta: 831.923164,  ess_rws: 1.011936,  ess_mu: 1.677122,  ess_local: 6.967670,  density: -1218.534093
(270s) loss_phi: -535.578991,  loss_theta: 807.392595,  ess_rws: 1.013511,  ess_mu: 1.686483,  ess_local: 7.005618,  density: -1197.605674
(270s) loss_phi: -539.296680,  loss_theta: 787.377743,  ess_rws: 1.013648,  ess_mu: 1.695908,  ess_local: 7.092786,  density: -1178.640495
(272s) loss_phi: -541.633294,  loss_theta: 768.466493,  ess_rws: 1.014371,  ess_mu: 1.709087,  ess_local: 7.119654,  density: -1162.377827
(270s) loss_phi: -544.896242,  loss_theta: 751.599098,  ess_rws: 1.013964,  ess_mu: 1.718118,  ess_local: 7.190459,  density: -1144.939336
(271s) loss_phi: -546.809805,  loss_theta: 726.316359,  ess_rws: 1.013735,  ess_mu: 1.725007,  ess_local: 7.244592,  density: -1125.638536
(271s) loss_phi: -549.331555,  loss_theta: 713.951358,  ess_rws: 1.015214,  ess_mu: 1.733462,  ess_local: 7.270672,  density: -1112.987156
(268s) loss_phi: -550.044637,  loss_theta: 704.596776,  ess_rws: 1.014322,  ess_mu: 1.730504,  ess_local: 7.298470,  density: -1104.396925
(266s) loss_phi: -553.406000,  loss_theta: 688.330447,  ess_rws: 1.014524,  ess_mu: 1.742122,  ess_local: 7.370287,  density: -1087.627708
(265s) loss_phi: -554.512661,  loss_theta: 677.224772,  ess_rws: 1.014086,  ess_mu: 1.738246,  ess_local: 7.379091,  density: -1077.904537
(265s) loss_phi: -555.434051,  loss_theta: 661.792766,  ess_rws: 1.015681,  ess_mu: 1.749234,  ess_local: 7.432933,  density: -1065.286914
(265s) loss_phi: -556.247302,  loss_theta: 651.739884,  ess_rws: 1.014371,  ess_mu: 1.751562,  ess_local: 7.471204,  density: -1056.451383
(263s) loss_phi: -557.558548,  loss_theta: 645.990865,  ess_rws: 1.015294,  ess_mu: 1.754188,  ess_local: 7.473152,  density: -1049.051909
(263s) loss_phi: -558.089515,  loss_theta: 628.915432,  ess_rws: 1.015952,  ess_mu: 1.771272,  ess_local: 7.564393,  density: -1036.158637
(266s) loss_phi: -559.137979,  loss_theta: 619.854163,  ess_rws: 1.015579,  ess_mu: 1.763230,  ess_local: 7.559742,  density: -1027.681136
(271s) loss_phi: -559.546032,  loss_theta: 613.114294,  ess_rws: 1.015560,  ess_mu: 1.774444,  ess_local: 7.594152,  density: -1021.876916
