(658s) loss_phi: 36.424566,  loss_theta: 2122.530375,  ess_rws: 1.056531,  ess_mu: 1.158768,  ess_local: 1.200815,  density: -1476.128983
(660s) loss_phi: -65.240869,  loss_theta: 1171.525229,  ess_rws: 1.147592,  ess_mu: 1.779267,  ess_local: 1.396364,  density: -917.141640
(677s) loss_phi: -80.068166,  loss_theta: 1112.474273,  ess_rws: 1.187622,  ess_mu: 2.337280,  ess_local: 1.443266,  density: -882.206221
(690s) loss_phi: -84.704013,  loss_theta: 1097.644077,  ess_rws: 1.210550,  ess_mu: 2.602269,  ess_local: 1.455250,  density: -872.384723
(689s) loss_phi: -86.906446,  loss_theta: 1090.669909,  ess_rws: 1.210041,  ess_mu: 2.672674,  ess_local: 1.468159,  density: -867.689767
(691s) loss_phi: -88.521949,  loss_theta: 1086.631623,  ess_rws: 1.223168,  ess_mu: 2.728205,  ess_local: 1.479082,  density: -864.615606
(666s) loss_phi: -89.537617,  loss_theta: 1084.239863,  ess_rws: 1.225930,  ess_mu: 2.746092,  ess_local: 1.477928,  density: -862.699898
(661s) loss_phi: -90.409668,  loss_theta: 1082.062626,  ess_rws: 1.230683,  ess_mu: 2.760623,  ess_local: 1.492632,  density: -861.018439
(667s) loss_phi: -91.024048,  loss_theta: 1080.770461,  ess_rws: 1.233479,  ess_mu: 2.771694,  ess_local: 1.491674,  density: -859.924593
(691s) loss_phi: -91.789910,  loss_theta: 1078.783306,  ess_rws: 1.233732,  ess_mu: 2.774350,  ess_local: 1.502422,  density: -858.726221
(692s) loss_phi: -92.249118,  loss_theta: 1078.259249,  ess_rws: 1.239350,  ess_mu: 2.775996,  ess_local: 1.507713,  density: -857.999356
(689s) loss_phi: -92.796533,  loss_theta: 1077.244028,  ess_rws: 1.239403,  ess_mu: 2.803081,  ess_local: 1.511340,  density: -857.272826
(690s) loss_phi: -93.284260,  loss_theta: 1075.996296,  ess_rws: 1.247929,  ess_mu: 2.828794,  ess_local: 1.520996,  density: -856.408135
(691s) loss_phi: -93.709228,  loss_theta: 1075.340397,  ess_rws: 1.242568,  ess_mu: 2.807792,  ess_local: 1.515565,  density: -855.946785
(690s) loss_phi: -94.063309,  loss_theta: 1074.797356,  ess_rws: 1.251039,  ess_mu: 2.861658,  ess_local: 1.516093,  density: -855.440982
(692s) loss_phi: -94.294484,  loss_theta: 1074.356901,  ess_rws: 1.244359,  ess_mu: 2.874065,  ess_local: 1.517802,  density: -855.114642
(690s) loss_phi: -94.810298,  loss_theta: 1073.373796,  ess_rws: 1.257089,  ess_mu: 2.904300,  ess_local: 1.524185,  density: -854.449887
(689s) loss_phi: -95.054652,  loss_theta: 1072.786123,  ess_rws: 1.253741,  ess_mu: 2.939377,  ess_local: 1.526668,  density: -854.036786
(689s) loss_phi: -95.443947,  loss_theta: 1072.001132,  ess_rws: 1.252817,  ess_mu: 2.966089,  ess_local: 1.524967,  density: -853.639090
(690s) loss_phi: -95.831333,  loss_theta: 1072.023674,  ess_rws: 1.258313,  ess_mu: 3.010661,  ess_local: 1.520708,  density: -853.417675
(691s) loss_phi: -96.187880,  loss_theta: 1071.513042,  ess_rws: 1.265863,  ess_mu: 3.099871,  ess_local: 1.530660,  density: -853.134473
(692s) loss_phi: -96.610348,  loss_theta: 1070.895407,  ess_rws: 1.270210,  ess_mu: 3.191841,  ess_local: 1.521463,  density: -852.669049
(691s) loss_phi: -97.008961,  loss_theta: 1070.259504,  ess_rws: 1.264408,  ess_mu: 3.336444,  ess_local: 1.524294,  density: -852.418825
(689s) loss_phi: -97.300332,  loss_theta: 1070.061613,  ess_rws: 1.256481,  ess_mu: 3.511023,  ess_local: 1.516665,  density: -852.276779
(693s) loss_phi: -97.835037,  loss_theta: 1069.196176,  ess_rws: 1.264526,  ess_mu: 3.754806,  ess_local: 1.522835,  density: -851.670127
(689s) loss_phi: -97.998750,  loss_theta: 1069.331799,  ess_rws: 1.265711,  ess_mu: 3.881698,  ess_local: 1.519466,  density: -851.687093
(691s) loss_phi: -98.484706,  loss_theta: 1068.599560,  ess_rws: 1.264982,  ess_mu: 4.066081,  ess_local: 1.524058,  density: -851.310657
(690s) loss_phi: -98.762227,  loss_theta: 1068.052287,  ess_rws: 1.269926,  ess_mu: 4.157692,  ess_local: 1.514584,  density: -850.973052
(689s) loss_phi: -98.880477,  loss_theta: 1068.177459,  ess_rws: 1.265351,  ess_mu: 4.250053,  ess_local: 1.518110,  density: -850.918026
(689s) loss_phi: -99.164237,  loss_theta: 1067.214404,  ess_rws: 1.268298,  ess_mu: 4.270676,  ess_local: 1.509807,  density: -850.435331
(691s) loss_phi: -99.218216,  loss_theta: 1067.166129,  ess_rws: 1.268144,  ess_mu: 4.291806,  ess_local: 1.511154,  density: -850.363421
(691s) loss_phi: -99.377834,  loss_theta: 1067.099106,  ess_rws: 1.272532,  ess_mu: 4.339440,  ess_local: 1.518414,  density: -850.150368
(690s) loss_phi: -99.542956,  loss_theta: 1066.529418,  ess_rws: 1.269727,  ess_mu: 4.318873,  ess_local: 1.518859,  density: -849.909002
(690s) loss_phi: -99.760405,  loss_theta: 1066.359983,  ess_rws: 1.271767,  ess_mu: 4.341158,  ess_local: 1.513134,  density: -849.612591
(689s) loss_phi: -99.902221,  loss_theta: 1065.878218,  ess_rws: 1.272687,  ess_mu: 4.370434,  ess_local: 1.524494,  density: -849.419761
(690s) loss_phi: -99.985928,  loss_theta: 1065.663645,  ess_rws: 1.276309,  ess_mu: 4.396217,  ess_local: 1.518350,  density: -849.271083
(690s) loss_phi: -100.103394,  loss_theta: 1065.581260,  ess_rws: 1.274462,  ess_mu: 4.440838,  ess_local: 1.525439,  density: -849.103045
(692s) loss_phi: -100.067074,  loss_theta: 1065.689432,  ess_rws: 1.273724,  ess_mu: 4.394699,  ess_local: 1.526161,  density: -849.160470
(692s) loss_phi: -100.251616,  loss_theta: 1065.052844,  ess_rws: 1.269645,  ess_mu: 4.386697,  ess_local: 1.521631,  density: -848.770588
(690s) loss_phi: -100.416154,  loss_theta: 1065.097670,  ess_rws: 1.279229,  ess_mu: 4.410509,  ess_local: 1.518385,  density: -848.682285
(690s) loss_phi: -100.333699,  loss_theta: 1065.190772,  ess_rws: 1.269657,  ess_mu: 4.379123,  ess_local: 1.521809,  density: -848.719554
(691s) loss_phi: -100.451336,  loss_theta: 1065.010328,  ess_rws: 1.280417,  ess_mu: 4.452590,  ess_local: 1.523455,  density: -848.590395
(690s) loss_phi: -100.614324,  loss_theta: 1064.614854,  ess_rws: 1.277201,  ess_mu: 4.447542,  ess_local: 1.518174,  density: -848.241624
(689s) loss_phi: -100.530240,  loss_theta: 1064.641081,  ess_rws: 1.267651,  ess_mu: 4.416760,  ess_local: 1.514655,  density: -848.310984
(690s) loss_phi: -100.709164,  loss_theta: 1064.535516,  ess_rws: 1.279078,  ess_mu: 4.449684,  ess_local: 1.526111,  density: -848.145319
(690s) loss_phi: -100.769308,  loss_theta: 1064.097573,  ess_rws: 1.268696,  ess_mu: 4.460944,  ess_local: 1.512731,  density: -847.896042
(690s) loss_phi: -100.894121,  loss_theta: 1063.872227,  ess_rws: 1.275917,  ess_mu: 4.426145,  ess_local: 1.522052,  density: -847.791022
(691s) loss_phi: -101.022705,  loss_theta: 1063.462206,  ess_rws: 1.274758,  ess_mu: 4.470575,  ess_local: 1.524519,  density: -847.473981
(691s) loss_phi: -100.915353,  loss_theta: 1063.598018,  ess_rws: 1.272684,  ess_mu: 4.439156,  ess_local: 1.513259,  density: -847.630794
(691s) loss_phi: -101.134549,  loss_theta: 1063.292110,  ess_rws: 1.273073,  ess_mu: 4.436497,  ess_local: 1.521606,  density: -847.365364
(692s) loss_phi: -101.132791,  loss_theta: 1063.539919,  ess_rws: 1.283694,  ess_mu: 4.454310,  ess_local: 1.525127,  density: -847.370324
(690s) loss_phi: -101.192239,  loss_theta: 1063.309256,  ess_rws: 1.278581,  ess_mu: 4.455203,  ess_local: 1.516391,  density: -847.367813
(694s) loss_phi: -101.212318,  loss_theta: 1063.401367,  ess_rws: 1.277995,  ess_mu: 4.485749,  ess_local: 1.528637,  density: -847.211019
