(387s) loss_phi: -144.871708,  loss_theta: 12902.329568,  ess_rws: 1.003371,  ess_mu: 1.021685,  ess_local: 1.011810,  density: -8348.681407
(387s) loss_phi: -359.105200,  loss_theta: 2044.421040,  ess_rws: 1.008949,  ess_mu: 1.087064,  ess_local: 1.017771,  density: -1897.763031
(386s) loss_phi: -401.048664,  loss_theta: 1613.986874,  ess_rws: 1.010074,  ess_mu: 1.118969,  ess_local: 1.019582,  density: -1644.892750
(388s) loss_phi: -418.521347,  loss_theta: 1484.976794,  ess_rws: 1.011834,  ess_mu: 1.133338,  ess_local: 1.022463,  density: -1552.420912
(388s) loss_phi: -427.263803,  loss_theta: 1409.114141,  ess_rws: 1.011727,  ess_mu: 1.142895,  ess_local: 1.020559,  density: -1494.242963
(387s) loss_phi: -429.881109,  loss_theta: 1353.131965,  ess_rws: 1.011016,  ess_mu: 1.146103,  ess_local: 1.020074,  density: -1459.682359
(386s) loss_phi: -424.285438,  loss_theta: 1257.191753,  ess_rws: 1.012258,  ess_mu: 1.148868,  ess_local: 1.018243,  density: -1445.709516
(386s) loss_phi: -432.707982,  loss_theta: 1110.083887,  ess_rws: 1.011057,  ess_mu: 1.165813,  ess_local: 1.019646,  density: -1359.629399
(385s) loss_phi: -442.776835,  loss_theta: 999.586878,  ess_rws: 1.012712,  ess_mu: 1.177420,  ess_local: 1.020194,  density: -1267.988957
(386s) loss_phi: -448.927691,  loss_theta: 915.519914,  ess_rws: 1.012644,  ess_mu: 1.182002,  ess_local: 1.020739,  density: -1197.733721
(387s) loss_phi: -454.717459,  loss_theta: 858.102936,  ess_rws: 1.012400,  ess_mu: 1.186619,  ess_local: 1.023388,  density: -1157.695448
(386s) loss_phi: -461.776744,  loss_theta: 817.105196,  ess_rws: 1.012901,  ess_mu: 1.196194,  ess_local: 1.022339,  density: -1133.450299
(384s) loss_phi: -467.957381,  loss_theta: 786.950377,  ess_rws: 1.013068,  ess_mu: 1.206417,  ess_local: 1.021255,  density: -1113.853014
(387s) loss_phi: -472.241008,  loss_theta: 763.650373,  ess_rws: 1.012763,  ess_mu: 1.198785,  ess_local: 1.020576,  density: -1093.262615
(386s) loss_phi: -474.776011,  loss_theta: 744.066665,  ess_rws: 1.013302,  ess_mu: 1.208450,  ess_local: 1.022081,  density: -1073.837193
