ess: 1.04,  density: -958.87,  inc_kl: 749.20,  exc_kl: 1078.87
ess: 1.09,  density: -628.02,  inc_kl: 836.30,  exc_kl: 555.25
ess: 1.15,  density: -504.70,  inc_kl: 962.63,  exc_kl: 331.58
ess: 1.22,  density: -463.68,  inc_kl: 1083.36,  exc_kl: 257.75
ess: 1.28,  density: -440.44,  inc_kl: 1113.42,  exc_kl: 216.95
ess: 1.37,  density: -422.46,  inc_kl: 1076.88,  exc_kl: 185.45
ess: 1.49,  density: -407.83,  inc_kl: 1028.47,  exc_kl: 160.54
ess: 1.61,  density: -394.05,  inc_kl: 995.03,  exc_kl: 147.65
ess: 1.73,  density: -378.74,  inc_kl: 962.73,  exc_kl: 157.61
ess: 1.78,  density: -363.78,  inc_kl: 947.18,  exc_kl: 192.76
ess: 1.80,  density: -351.95,  inc_kl: 935.71,  exc_kl: 233.59
ess: 1.84,  density: -342.70,  inc_kl: 930.28,  exc_kl: 255.00
ess: 1.11,  density: -782.57,  inc_kl: 1296.75,  exc_kl: 757.67
ess: 1.22,  density: -521.18,  inc_kl: 2091.87,  exc_kl: 345.79
ess: 1.22,  density: -497.25,  inc_kl: 2339.82,  exc_kl: 346.88
ess: 1.21,  density: -489.56,  inc_kl: 2277.71,  exc_kl: 357.94
ess: 1.20,  density: -484.17,  inc_kl: 2170.32,  exc_kl: 366.88
ess: 1.20,  density: -479.03,  inc_kl: 2041.21,  exc_kl: 371.33
ess: 1.20,  density: -472.42,  inc_kl: 1921.36,  exc_kl: 375.97
ess: 1.20,  density: -468.54,  inc_kl: 1822.51,  exc_kl: 379.41
ess: 1.21,  density: -463.68,  inc_kl: 1724.70,  exc_kl: 379.85
ess: 1.20,  density: -459.07,  inc_kl: 1614.57,  exc_kl: 376.32
ess: 1.21,  density: -455.81,  inc_kl: 1466.54,  exc_kl: 359.78
ess: 1.23,  density: -442.66,  inc_kl: 1309.12,  exc_kl: 338.75
ess: 1.27,  density: -424.28,  inc_kl: 1195.92,  exc_kl: 288.26
ess: 1.33,  density: -397.44,  inc_kl: 1176.17,  exc_kl: 295.08
ess: 1.34,  density: -375.44,  inc_kl: 1251.93,  exc_kl: 363.08
ess: 1.38,  density: -361.90,  inc_kl: 1326.71,  exc_kl: 375.90
ess: 1.45,  density: -349.07,  inc_kl: 1281.64,  exc_kl: 360.80
ess: 1.57,  density: -339.70,  inc_kl: 1078.73,  exc_kl: 261.39
ess: 1.79,  density: -343.10,  inc_kl: 686.04,  exc_kl: 105.53
ess: 2.02,  density: -340.55,  inc_kl: 305.10,  exc_kl: 45.93
ess: 2.51,  density: -324.93,  inc_kl: 101.54,  exc_kl: 21.11
ess: 5.55,  density: -314.39,  inc_kl: 27.21,  exc_kl: 6.32
ess: 10.16,  density: -312.19,  inc_kl: 3.53,  exc_kl: 1.97
ess: 14.28,  density: -312.08,  inc_kl: 1.03,  exc_kl: 0.64
ess: 17.21,  density: -312.34,  inc_kl: 0.40,  exc_kl: 0.22
ess: 18.72,  density: -312.78,  inc_kl: 0.14,  exc_kl: 0.08
ess: 19.38,  density: -312.55,  inc_kl: 0.05,  exc_kl: 0.04
ess: 19.69,  density: -313.21,  inc_kl: 0.02,  exc_kl: 0.02
ess: 19.82,  density: -312.20,  inc_kl: 0.01,  exc_kl: 0.01
ess: 19.88,  density: -312.42,  inc_kl: 0.02,  exc_kl: 0.01
ess: 19.91,  density: -311.61,  inc_kl: 0.01,  exc_kl: 0.00
ess: 19.93,  density: -311.51,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -311.81,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -311.46,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -311.95,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.16,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -311.42,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -311.37,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.50,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.30,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.19,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.10,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.27,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.13,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.15,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -311.17,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -310.80,  inc_kl: 0.00,  exc_kl: 0.00
