snr: 1.915913, var: 1.186788, inckl_gen:253.400101, inckl_eta:67.119362, inckl_z:0.728708
snr: 2.227485, var: 1.462677, inckl_gen:245.859665, inckl_eta:41.023724, inckl_z:0.501191
snr: 2.212507, var: 1.440944, inckl_gen:273.545135, inckl_eta:65.908989, inckl_z:0.459156
snr: 2.143148, var: 1.379230, inckl_gen:247.306259, inckl_eta:102.998917, inckl_z:0.420168
snr: 2.094690, var: 1.372964, inckl_gen:185.217270, inckl_eta:50.810528, inckl_z:0.264116
snr: 1.953581, var: 1.272304, inckl_gen:359.525635, inckl_eta:74.354195, inckl_z:0.291432
snr: 1.949242, var: 1.291676, inckl_gen:281.238983, inckl_eta:74.727562, inckl_z:0.236939
snr: 1.872845, var: 1.226262, inckl_gen:457.228729, inckl_eta:109.755577, inckl_z:0.250751
snr: 1.815281, var: 1.198419, inckl_gen:348.306366, inckl_eta:40.401272, inckl_z:0.167993
snr: 1.725117, var: 1.139005, inckl_gen:456.840149, inckl_eta:111.161621, inckl_z:0.193796
snr: 1.698958, var: 1.120245, inckl_gen:382.161835, inckl_eta:85.569916, inckl_z:0.216336
snr: 1.708539, var: 1.138278, inckl_gen:384.792389, inckl_eta:52.454945, inckl_z:0.100393
snr: 1.714216, var: 1.172225, inckl_gen:375.006195, inckl_eta:53.802826, inckl_z:0.107577
snr: 1.595466, var: 1.057068, inckl_gen:412.842865, inckl_eta:70.528275, inckl_z:0.145262
snr: 1.659737, var: 1.118402, inckl_gen:350.440674, inckl_eta:67.042870, inckl_z:0.147520
snr: 1.534378, var: 0.996346, inckl_gen:451.444550, inckl_eta:111.710098, inckl_z:0.147731
snr: 1.561069, var: 1.054452, inckl_gen:365.598938, inckl_eta:67.248985, inckl_z:0.097979
snr: 1.590538, var: 1.106576, inckl_gen:339.273590, inckl_eta:40.124786, inckl_z:0.068995
snr: 1.573180, var: 1.137522, inckl_gen:491.505371, inckl_eta:67.450333, inckl_z:0.088216
snr: 1.573081, var: 1.146750, inckl_gen:409.325256, inckl_eta:92.044212, inckl_z:0.143263
snr: 1.578955, var: 1.157278, inckl_gen:419.487640, inckl_eta:59.700043, inckl_z:0.098122
snr: 1.555391, var: 1.120826, inckl_gen:261.307343, inckl_eta:59.093800, inckl_z:0.101046
snr: 1.423609, var: 0.986407, inckl_gen:387.283752, inckl_eta:67.802246, inckl_z:0.166804
snr: 1.424594, var: 0.981035, inckl_gen:283.814728, inckl_eta:37.523582, inckl_z:0.090160
snr: 1.431926, var: 1.025480, inckl_gen:540.663696, inckl_eta:128.593216, inckl_z:0.167192
snr: 1.457518, var: 1.091664, inckl_gen:346.443176, inckl_eta:64.958733, inckl_z:0.119914
snr: 1.457153, var: 1.078979, inckl_gen:327.994476, inckl_eta:84.094414, inckl_z:0.094566
snr: 1.473402, var: 1.135795, inckl_gen:381.896057, inckl_eta:103.025322, inckl_z:0.153940
snr: 1.433725, var: 1.108154, inckl_gen:513.503418, inckl_eta:108.749443, inckl_z:0.156034
snr: 1.440636, var: 1.188357, inckl_gen:417.239014, inckl_eta:65.627167, inckl_z:0.143540
snr: 1.405545, var: 1.115419, inckl_gen:462.996307, inckl_eta:50.419125, inckl_z:0.152548
snr: 1.370737, var: 1.112171, inckl_gen:467.094147, inckl_eta:27.983633, inckl_z:0.124888
snr: 1.340377, var: 1.099426, inckl_gen:374.544342, inckl_eta:72.318657, inckl_z:0.091882
