time:40, inckl:138.463456
time:81, inckl:335.249884
time:122, inckl:341.217922
time:162, inckl:365.055297
time:204, inckl:328.101277
time:244, inckl:293.675496
time:285, inckl:271.643658
time:326, inckl:251.226445
time:367, inckl:254.747779
time:407, inckl:268.436859
time:448, inckl:274.286498
time:489, inckl:264.090223
time:530, inckl:257.267888
time:570, inckl:247.652315
time:611, inckl:212.804026
time:651, inckl:197.478730
time:692, inckl:174.926526
time:732, inckl:158.754647
time:773, inckl:130.319038
time:814, inckl:108.350700
time:855, inckl:100.421165
time:896, inckl:82.086727
time:937, inckl:71.447738
time:978, inckl:64.460114
time:1019, inckl:60.285450
time:1060, inckl:50.363051
time:1100, inckl:44.214657
time:1141, inckl:38.429362
time:1182, inckl:39.437157
time:1222, inckl:34.768281
time:1264, inckl:31.204452
time:1304, inckl:28.329460
time:1345, inckl:25.893218
time:1386, inckl:24.632890
time:1427, inckl:23.554994
time:1468, inckl:20.745566
time:1509, inckl:21.189452
time:1549, inckl:19.672252
time:1591, inckl:16.086446
time:1632, inckl:16.856536
time:1673, inckl:14.954658
time:1714, inckl:16.670987
time:1755, inckl:15.755874
time:1796, inckl:13.507867
time:1836, inckl:15.025969
time:1877, inckl:12.796076
time:1918, inckl:13.917001
time:1958, inckl:14.608339
time:1999, inckl:11.807761
time:2040, inckl:11.036843
time:2081, inckl:11.733077
time:2122, inckl:11.852277
time:2162, inckl:12.130847
time:2203, inckl:11.978142
time:2243, inckl:10.107856
time:2284, inckl:11.292075
time:2325, inckl:9.096573
time:2365, inckl:9.715660
time:2406, inckl:10.005873
time:2446, inckl:10.270344
time:2487, inckl:8.735201
time:2527, inckl:8.742007
time:2569, inckl:8.849889
time:2609, inckl:8.857177
time:2650, inckl:8.179251
time:2691, inckl:7.101536
time:2732, inckl:7.328214
time:2773, inckl:8.136737
time:2814, inckl:7.907943
time:2854, inckl:8.630693
time:2895, inckl:6.463047
time:2935, inckl:6.498707
time:2976, inckl:7.724747
time:3017, inckl:6.906049
time:3057, inckl:6.180522
time:3098, inckl:5.333043
time:3139, inckl:6.162078
time:3180, inckl:5.691151
time:3221, inckl:6.521648
time:3262, inckl:4.621483
time:3302, inckl:5.091467
time:3343, inckl:4.749382
time:3383, inckl:4.971471
time:3424, inckl:6.063850
time:3465, inckl:4.291886
time:3505, inckl:4.529061
time:3546, inckl:4.932797
time:3586, inckl:4.246513
time:3627, inckl:4.541430
time:3668, inckl:5.195261
time:3708, inckl:6.088147
time:3749, inckl:4.527394
time:3790, inckl:3.795593
time:3830, inckl:4.028969
time:3871, inckl:3.982985
time:3911, inckl:3.570837
time:3952, inckl:3.531592
time:3992, inckl:3.205536
time:4034, inckl:3.877863
time:4074, inckl:5.082091
time:4115, inckl:2.992009
time:4156, inckl:3.342755
time:4196, inckl:3.557757
time:4237, inckl:4.099543
time:4278, inckl:3.043059
time:4319, inckl:3.926889
time:4360, inckl:2.683851
time:4400, inckl:2.800393
time:4441, inckl:3.407351
