snr: 2.820671, var: 1.987205, inckl_gen:247.099609, inckl_eta:62.870800, inckl_z:0.569497
snr: 2.518926, var: 1.704081, inckl_gen:275.244720, inckl_eta:46.522434, inckl_z:0.403696
snr: 2.028323, var: 1.308426, inckl_gen:154.235580, inckl_eta:34.089756, inckl_z:0.203361
snr: 1.974556, var: 1.301739, inckl_gen:167.133301, inckl_eta:41.387867, inckl_z:0.210165
snr: 1.800787, var: 1.169936, inckl_gen:321.479736, inckl_eta:63.135071, inckl_z:0.142106
snr: 1.793750, var: 1.223624, inckl_gen:336.861572, inckl_eta:28.722324, inckl_z:0.088229
snr: 1.802204, var: 1.326085, inckl_gen:352.949921, inckl_eta:77.945351, inckl_z:0.098772
snr: 1.736349, var: 1.272637, inckl_gen:279.300842, inckl_eta:52.577892, inckl_z:0.135928
snr: 1.648786, var: 1.311316, inckl_gen:387.965210, inckl_eta:86.121910, inckl_z:0.157216
snr: 1.688721, var: 1.398553, inckl_gen:301.668671, inckl_eta:63.383450, inckl_z:0.072699
snr: 1.654995, var: 1.511836, inckl_gen:340.537567, inckl_eta:58.293945, inckl_z:0.145425
snr: 1.659691, var: 1.422057, inckl_gen:273.188873, inckl_eta:63.332031, inckl_z:0.086336
snr: 1.620878, var: 1.437564, inckl_gen:416.391510, inckl_eta:57.251003, inckl_z:0.147110
snr: 1.525546, var: 1.284252, inckl_gen:370.985352, inckl_eta:94.167480, inckl_z:0.082005
snr: 1.514720, var: 1.405285, inckl_gen:343.493073, inckl_eta:49.126289, inckl_z:0.117072
snr: 1.568974, var: 1.410967, inckl_gen:345.256317, inckl_eta:131.174301, inckl_z:0.097199
snr: 1.462366, var: 1.318681, inckl_gen:219.387894, inckl_eta:41.114555, inckl_z:0.077220
snr: 1.456326, var: 1.288876, inckl_gen:247.988876, inckl_eta:69.465530, inckl_z:0.349252
snr: 1.460349, var: 1.304854, inckl_gen:245.336945, inckl_eta:38.255981, inckl_z:0.073487
snr: 1.490927, var: 1.386790, inckl_gen:241.045273, inckl_eta:42.329659, inckl_z:0.086274
snr: 1.499522, var: 1.296510, inckl_gen:229.456894, inckl_eta:58.171535, inckl_z:0.066274
snr: 1.496882, var: 1.308583, inckl_gen:162.843094, inckl_eta:49.752819, inckl_z:0.045722
snr: 1.486855, var: 1.405908, inckl_gen:221.024414, inckl_eta:96.046730, inckl_z:0.057745
snr: 1.513114, var: 1.478813, inckl_gen:240.330734, inckl_eta:39.668282, inckl_z:0.052091
snr: 1.412644, var: 1.298637, inckl_gen:179.390121, inckl_eta:33.879696, inckl_z:0.039137
snr: 1.398133, var: 1.270087, inckl_gen:198.155502, inckl_eta:21.689373, inckl_z:0.026027
snr: 1.476038, var: 1.213513, inckl_gen:135.630341, inckl_eta:25.760456, inckl_z:0.026384
snr: 1.515561, var: 1.167115, inckl_gen:112.778801, inckl_eta:13.781863, inckl_z:0.028608
snr: 1.533460, var: 1.139943, inckl_gen:205.447067, inckl_eta:13.492354, inckl_z:0.049094
snr: 1.433562, var: 0.993168, inckl_gen:119.837914, inckl_eta:15.275537, inckl_z:0.242870
snr: 1.657178, var: 1.207095, inckl_gen:177.730103, inckl_eta:17.920530, inckl_z:0.182874
snr: 1.443133, var: 1.013087, inckl_gen:302.391693, inckl_eta:19.614578, inckl_z:0.275977
snr: 1.523233, var: 1.021877, inckl_gen:132.757065, inckl_eta:13.793040, inckl_z:0.046277
snr: 1.460963, var: 0.990808, inckl_gen:154.298279, inckl_eta:6.130978, inckl_z:0.096141
snr: 1.465692, var: 0.959161, inckl_gen:597.344543, inckl_eta:8.873765, inckl_z:0.118012
snr: 1.364248, var: 0.827520, inckl_gen:194.462204, inckl_eta:9.470018, inckl_z:0.160779
snr: 1.379483, var: 0.846289, inckl_gen:221.419922, inckl_eta:5.904305, inckl_z:0.012498
snr: 1.391537, var: 0.828186, inckl_gen:118.089371, inckl_eta:8.427326, inckl_z:0.013279
snr: 1.340654, var: 0.783710, inckl_gen:231.490875, inckl_eta:4.818700, inckl_z:0.232168
snr: 1.460818, var: 0.930308, inckl_gen:160.600662, inckl_eta:5.379336, inckl_z:0.377825
snr: 1.340931, var: 0.786058, inckl_gen:191.959152, inckl_eta:2.998752, inckl_z:0.103021
snr: 1.320215, var: 0.742848, inckl_gen:95.629776, inckl_eta:3.174369, inckl_z:0.297710
snr: 1.264167, var: 0.671335, inckl_gen:203.032883, inckl_eta:1.953294, inckl_z:0.475520
snr: 1.288549, var: 0.692685, inckl_gen:54.154968, inckl_eta:1.923414, inckl_z:0.128767
snr: 1.208941, var: 0.638963, inckl_gen:28.068018, inckl_eta:1.115982, inckl_z:0.320447
snr: 1.114622, var: 0.515977, inckl_gen:113.888176, inckl_eta:2.773459, inckl_z:0.643570
snr: 1.094578, var: 0.496960, inckl_gen:46.094780, inckl_eta:0.639817, inckl_z:0.130354
snr: 1.079874, var: 0.478804, inckl_gen:80.751785, inckl_eta:0.846170, inckl_z:0.196685
snr: 0.980918, var: 0.377391, inckl_gen:19.599407, inckl_eta:0.586709, inckl_z:0.135480
snr: 0.955179, var: 0.347430, inckl_gen:16.416922, inckl_eta:0.168118, inckl_z:0.095651
snr: 0.962998, var: 0.359275, inckl_gen:20.068487, inckl_eta:0.397548, inckl_z:0.102815
snr: 0.922866, var: 0.321008, inckl_gen:25.353626, inckl_eta:0.430531, inckl_z:0.244411
snr: 0.893423, var: 0.291510, inckl_gen:18.461700, inckl_eta:0.148262, inckl_z:0.274584
snr: 0.874111, var: 0.289446, inckl_gen:10.605897, inckl_eta:0.105267, inckl_z:0.596140
snr: 0.852292, var: 0.260789, inckl_gen:5.941851, inckl_eta:0.103517, inckl_z:0.371644
snr: 0.833781, var: 0.236629, inckl_gen:4.358566, inckl_eta:0.047673, inckl_z:0.349758
snr: 0.838421, var: 0.235067, inckl_gen:4.991298, inckl_eta:0.082360, inckl_z:0.300767
snr: 0.847522, var: 0.236694, inckl_gen:1.015314, inckl_eta:0.096504, inckl_z:0.018429
snr: 0.833006, var: 0.230329, inckl_gen:10.055105, inckl_eta:0.061375, inckl_z:0.314164
snr: 0.831444, var: 0.228741, inckl_gen:10.959474, inckl_eta:0.025833, inckl_z:0.135801
snr: 0.808895, var: 0.199140, inckl_gen:1.109134, inckl_eta:0.011203, inckl_z:0.062151
