snr: 38.919151, var: 31.282084, inckl_gen:185.789688
snr: 44.428013, var: 34.086842, inckl_gen:240.477585
snr: 47.282070, var: 33.967400, inckl_gen:188.524658
snr: 46.154308, var: 31.543341, inckl_gen:147.331985
snr: 51.854675, var: 32.745575, inckl_gen:173.252518
snr: 44.877533, var: 31.518974, inckl_gen:109.553078
snr: 55.181587, var: 31.541370, inckl_gen:138.818527
snr: 49.944656, var: 31.031929, inckl_gen:139.320602
snr: 43.422543, var: 30.896307, inckl_gen:110.758629
snr: 56.011688, var: 30.805786, inckl_gen:107.193619
snr: 49.630150, var: 28.708469, inckl_gen:164.284775
snr: 56.126247, var: 30.584764, inckl_gen:105.868423
snr: 50.193798, var: 30.304073, inckl_gen:95.371361
snr: 50.382080, var: 29.192202, inckl_gen:68.564331
snr: 54.016701, var: 31.353418, inckl_gen:75.520508
snr: 53.092278, var: 32.314728, inckl_gen:95.314484
snr: 61.143906, var: 29.166164, inckl_gen:120.020973
snr: 47.207466, var: 29.166452, inckl_gen:68.737137
snr: 40.575710, var: 28.458418, inckl_gen:80.081001
snr: 52.417824, var: 28.326738, inckl_gen:81.489021
snr: 52.828281, var: 29.181505, inckl_gen:95.385193
snr: 43.654930, var: 29.704086, inckl_gen:103.959831
snr: 54.004845, var: 27.430935, inckl_gen:61.634033
snr: 55.568199, var: 25.055311, inckl_gen:53.929604
snr: 58.472397, var: 25.491964, inckl_gen:61.624706
snr: 53.881680, var: 23.705452, inckl_gen:63.174294
snr: 48.980755, var: 20.553240, inckl_gen:68.819939
snr: 43.264629, var: 20.333979, inckl_gen:46.591766
snr: 54.566257, var: 20.810022, inckl_gen:57.712505
snr: 57.050800, var: 21.327238, inckl_gen:48.244396
snr: 45.528381, var: 19.262678, inckl_gen:35.206409
snr: 50.491627, var: 18.895269, inckl_gen:33.593269
snr: 51.885857, var: 19.870567, inckl_gen:27.492273
snr: 50.903435, var: 19.093817, inckl_gen:17.273195
snr: 49.849274, var: 19.247004, inckl_gen:18.404364
snr: 50.686417, var: 18.168243, inckl_gen:19.596693
snr: 50.425789, var: 16.850050, inckl_gen:10.310605
snr: 54.927044, var: 17.458654, inckl_gen:15.341651
snr: 49.133793, var: 18.931896, inckl_gen:6.713872
snr: 55.485249, var: 17.819798, inckl_gen:4.596999
snr: 55.169884, var: 17.179564, inckl_gen:3.319204
snr: 54.205452, var: 17.006987, inckl_gen:2.179771
snr: 49.327023, var: 15.390325, inckl_gen:1.510907
snr: 52.029633, var: 14.920150, inckl_gen:0.411568
snr: 52.593212, var: 12.940865, inckl_gen:0.238740
snr: 53.399975, var: 11.593316, inckl_gen:0.116614
snr: 47.435051, var: 10.130759, inckl_gen:0.098410
snr: 52.919422, var: 13.697143, inckl_gen:0.078347
snr: 49.305901, var: 10.234011, inckl_gen:0.029704
snr: 51.354420, var: 11.082978, inckl_gen:0.037444
snr: 61.545025, var: 9.910758, inckl_gen:0.015044
snr: 56.971493, var: 9.171421, inckl_gen:0.037510
snr: 64.219826, var: 9.593135, inckl_gen:0.011701
snr: 52.992039, var: 11.724766, inckl_gen:0.009169
snr: 53.528839, var: 10.044399, inckl_gen:0.012949
snr: 49.366634, var: 10.350895, inckl_gen:0.004377
snr: 54.279053, var: 10.630704, inckl_gen:0.005077
snr: 54.845779, var: 11.592901, inckl_gen:0.005665
snr: 42.504204, var: 9.945969, inckl_gen:0.002237
snr: 52.353783, var: 9.484864, inckl_gen:0.001963
snr: 51.978374, var: 10.313726, inckl_gen:0.001610
snr: 53.615360, var: 10.064604, inckl_gen:0.002213
snr: 56.673286, var: 9.827729, inckl_gen:0.001084
snr: 60.807346, var: 10.261441, inckl_gen:0.001003
snr: 61.853348, var: 11.506927, inckl_gen:0.001578
snr: 46.691105, var: 10.422163, inckl_gen:0.001333
snr: 68.671402, var: 10.366767, inckl_gen:0.001010
snr: 60.420868, var: 10.787024, inckl_gen:0.001403
snr: 60.868515, var: 10.829518, inckl_gen:0.000810
snr: 51.142921, var: 10.979263, inckl_gen:0.000459
snr: 52.158134, var: 10.447099, inckl_gen:0.001116
snr: 53.512367, var: 9.940411, inckl_gen:0.000807
snr: 52.777699, var: 11.131748, inckl_gen:0.001095
snr: 57.402630, var: 11.813166, inckl_gen:0.000461
snr: 40.711758, var: 10.524688, inckl_gen:0.000523
snr: 56.060535, var: 11.852377, inckl_gen:0.000642
snr: 69.586586, var: 10.262529, inckl_gen:0.001097
snr: 52.252037, var: 10.706874, inckl_gen:0.000625
snr: 54.729679, var: 10.491115, inckl_gen:0.000438
snr: 56.060089, var: 9.675984, inckl_gen:0.000307
snr: 59.976582, var: 16.069921, inckl_gen:0.000683
snr: 61.982021, var: 10.684611, inckl_gen:0.000490
snr: 48.401562, var: 10.987848, inckl_gen:0.000471
snr: 63.915550, var: 11.518016, inckl_gen:0.000417
snr: 54.727909, var: 11.329893, inckl_gen:0.000442
snr: 56.443230, var: 11.094453, inckl_gen:0.000328
snr: 59.232582, var: 10.335372, inckl_gen:0.000548
snr: 57.400681, var: 11.291414, inckl_gen:0.000544
snr: 56.946800, var: 17.954670, inckl_gen:0.000685
snr: 45.337696, var: 12.345155, inckl_gen:0.001027
snr: 56.222843, var: 11.690945, inckl_gen:0.000352
snr: 49.732578, var: 12.070568, inckl_gen:0.000635
snr: 62.115906, var: 12.152829, inckl_gen:0.000500
snr: 51.967716, var: 12.085996, inckl_gen:0.000549
snr: 57.286579, var: 11.167992, inckl_gen:0.000544
snr: 54.831573, var: 11.320235, inckl_gen:0.000549
snr: 53.409447, var: 10.456084, inckl_gen:0.000564
snr: 55.625343, var: 10.559999, inckl_gen:0.000445
snr: 58.331615, var: 11.446541, inckl_gen:0.000877
snr: 57.571613, var: 11.906287, inckl_gen:0.000193
snr: 61.648170, var: 11.748019, inckl_gen:0.000735
snr: 55.948631, var: 11.115000, inckl_gen:0.000479
snr: 49.518230, var: 11.505172, inckl_gen:0.000318
snr: 54.264992, var: 12.837667, inckl_gen:0.000271
