snr: 55.666687, var: 1.225358
snr: 58.453156, var: 1.058905
snr: 73.939110, var: 1.109219
snr: 85.570518, var: 0.907521
snr: 95.324898, var: 0.822163
snr: 121.774292, var: 0.878715
snr: 128.420242, var: 0.862372
snr: 123.636642, var: 0.889165
snr: 123.367592, var: 0.884788
snr: 126.976486, var: 0.894328
snr: 120.730652, var: 0.906750
snr: 118.953064, var: 0.937754
snr: 143.084045, var: 0.959756
snr: 140.935760, var: 0.972072
snr: 133.588593, var: 1.015523
snr: 139.886795, var: 0.996147
snr: 152.374878, var: 1.044515
snr: 143.814423, var: 1.119343
snr: 173.528412, var: 1.167820
snr: 144.551163, var: 1.407347
snr: 154.043655, var: 1.146657
snr: 169.347610, var: 1.220384
snr: 176.249710, var: 1.212231
snr: 168.335876, var: 1.283458
snr: 172.466248, var: 1.389459
snr: 183.745270, var: 1.374382
snr: 169.347961, var: 1.491692
snr: 173.528885, var: 1.515333
snr: 178.489792, var: 1.476452
snr: 184.955063, var: 1.504544
snr: 176.249878, var: 1.766519
snr: 202.282623, var: 1.537366
snr: 206.757645, var: 1.645628
snr: 183.743729, var: 1.597989
snr: 202.282532, var: 1.673874
snr: 194.568069, var: 1.758568
snr: 213.851898, var: 1.677363
snr: 206.755157, var: 1.710247
snr: 191.254333, var: 1.805135
snr: 188.682648, var: 1.733179
snr: 186.179398, var: 1.775317
snr: 251.242828, var: 1.817720
snr: 170.373764, var: 1.874432
snr: 183.144394, var: 1.784670
snr: 197.303894, var: 1.878453
snr: 183.144821, var: 1.968637
snr: 234.422852, var: 1.850072
snr: 176.248230, var: 1.905063
snr: 206.755051, var: 1.807850
snr: 200.834900, var: 1.904999
snr: 271.993469, var: 1.874048
snr: 173.528915, var: 1.926499
snr: 198.702057, var: 1.999817
snr: 265.543427, var: 1.981424
snr: 230.561279, var: 1.964553
snr: 226.828796, var: 2.134472
snr: 197.303589, var: 1.946257
snr: 184.952805, var: 1.965666
snr: 225.007996, var: 2.055433
snr: 206.757523, var: 2.022810
snr: 218.859589, var: 2.019228
snr: 225.008041, var: 2.126718
snr: 169.345016, var: 2.168552
snr: 258.195740, var: 2.050473
snr: 193.228226, var: 2.310776
snr: 243.592377, var: 2.007575
snr: 223.214920, var: 2.043017
snr: 225.010040, var: 2.054195
snr: 237.399002, var: 2.182408
snr: 225.007248, var: 2.315453
snr: 235.404251, var: 2.132635
snr: 218.858673, var: 2.115232
snr: 225.009216, var: 2.129240
snr: 228.680649, var: 2.121707
snr: 247.906998, var: 2.194661
snr: 232.474564, var: 2.191674
snr: 217.163879, var: 2.268066
snr: 220.585297, var: 2.403958
snr: 241.499481, var: 2.221321
snr: 187.433823, var: 2.150079
snr: 258.212616, var: 2.146100
snr: 232.508026, var: 2.160959
snr: 280.191559, var: 2.269392
snr: 223.229721, var: 2.079492
snr: 255.850082, var: 2.226964
snr: 293.405090, var: 2.086339
snr: 277.410339, var: 2.117083
snr: 290.381378, var: 2.080649
snr: 230.669113, var: 2.034111
snr: 290.518921, var: 1.941140
snr: 409.568878, var: 1.882136
snr: 392.252563, var: 1.967408
snr: 421.876190, var: 1.756554
snr: 392.232391, var: 1.767609
snr: 409.488007, var: 1.769286
snr: 378.919250, var: 1.871701
snr: 296.499969, var: 1.804149
snr: 378.918732, var: 1.894812
snr: 331.677765, var: 1.920490
snr: 311.355865, var: 1.792797
