TrueKL=876.838633, loss: 65.020423,  ess_rws: 1.096308,  inckl_eta: 161.104239,  inckl_z: 25.966229
TrueKL=1377.320415, loss: 61.379053,  ess_rws: 1.347404,  inckl_eta: 155.974521,  inckl_z: 10.441785
TrueKL=1603.969022, loss: 59.690209,  ess_rws: 1.441370,  inckl_eta: 147.303492,  inckl_z: 8.035585
TrueKL=1625.670410, loss: 58.076127,  ess_rws: 1.383331,  inckl_eta: 153.545172,  inckl_z: 8.590614
TrueKL=1637.176709, loss: 56.274021,  ess_rws: 1.323756,  inckl_eta: 173.254186,  inckl_z: 9.498349
TrueKL=1644.443211, loss: 54.983738,  ess_rws: 1.291549,  inckl_eta: 188.765726,  inckl_z: 10.033971
TrueKL=1666.404855, loss: 53.963865,  ess_rws: 1.271604,  inckl_eta: 198.343725,  inckl_z: 10.210523
TrueKL=1666.266085, loss: 53.210097,  ess_rws: 1.258325,  inckl_eta: 213.115326,  inckl_z: 10.559445
TrueKL=1648.719294, loss: 52.393567,  ess_rws: 1.242145,  inckl_eta: 220.314854,  inckl_z: 10.754481
TrueKL=1667.366000, loss: 51.937291,  ess_rws: 1.236906,  inckl_eta: 235.244396,  inckl_z: 10.759078
TrueKL=1681.593344, loss: 51.575326,  ess_rws: 1.229595,  inckl_eta: 245.818363,  inckl_z: 10.770435
TrueKL=1678.232810, loss: 51.275338,  ess_rws: 1.227060,  inckl_eta: 255.318974,  inckl_z: 10.622583
TrueKL=1648.442839, loss: 51.201280,  ess_rws: 1.224278,  inckl_eta: 248.594235,  inckl_z: 10.474395
TrueKL=1649.280247, loss: 50.512643,  ess_rws: 1.215257,  inckl_eta: 258.274897,  inckl_z: 10.479449
TrueKL=1664.714492, loss: 50.342444,  ess_rws: 1.206259,  inckl_eta: 256.789765,  inckl_z: 10.334619
TrueKL=1669.944131, loss: 49.513816,  ess_rws: 1.205098,  inckl_eta: 267.398306,  inckl_z: 10.368461
TrueKL=1671.792796, loss: 48.887306,  ess_rws: 1.195149,  inckl_eta: 284.332930,  inckl_z: 10.425374
TrueKL=1701.902739, loss: 48.870791,  ess_rws: 1.190924,  inckl_eta: 281.154049,  inckl_z: 10.194477
TrueKL=1710.639450, loss: 48.494509,  ess_rws: 1.182973,  inckl_eta: 293.558192,  inckl_z: 10.167696
TrueKL=1703.301434, loss: 47.995688,  ess_rws: 1.178850,  inckl_eta: 297.533026,  inckl_z: 10.102568
TrueKL=1689.121716, loss: 47.511152,  ess_rws: 1.169751,  inckl_eta: 296.533338,  inckl_z: 9.999382
TrueKL=1693.377187, loss: 47.302448,  ess_rws: 1.166093,  inckl_eta: 284.229197,  inckl_z: 9.795269
TrueKL=1702.976783, loss: 46.966413,  ess_rws: 1.161555,  inckl_eta: 282.161388,  inckl_z: 9.627302
TrueKL=1691.251772, loss: 46.847967,  ess_rws: 1.162130,  inckl_eta: 272.546842,  inckl_z: 9.409735
TrueKL=1709.798539, loss: 46.663882,  ess_rws: 1.160579,  inckl_eta: 263.273371,  inckl_z: 9.209866
TrueKL=1703.403246, loss: 46.855343,  ess_rws: 1.152882,  inckl_eta: 245.507511,  inckl_z: 8.901812
TrueKL=1703.316398, loss: 45.856957,  ess_rws: 1.145425,  inckl_eta: 250.404321,  inckl_z: 9.040204
TrueKL=1698.031808, loss: 45.812607,  ess_rws: 1.145026,  inckl_eta: 230.329603,  inckl_z: 8.753645
TrueKL=1710.865888, loss: 45.514678,  ess_rws: 1.140943,  inckl_eta: 231.531894,  inckl_z: 8.624810
TrueKL=1737.707142, loss: 45.020340,  ess_rws: 1.138911,  inckl_eta: 238.977664,  inckl_z: 8.628772
TrueKL=1716.583527, loss: 44.870805,  ess_rws: 1.134906,  inckl_eta: 234.214639,  inckl_z: 8.513647
TrueKL=1716.909908, loss: 44.689572,  ess_rws: 1.133598,  inckl_eta: 235.734237,  inckl_z: 8.409616
