TrueKL=691.155172, loss: 56.174585,  ess_rws: 1.081961,  inckl_eta: 134.761577,  inckl_z: 27.303821
TrueKL=927.140936, loss: 52.078884,  ess_rws: 1.478079,  inckl_eta: 44.580194,  inckl_z: 6.442000
TrueKL=994.789684, loss: 25.840686,  ess_rws: 1.665228,  inckl_eta: 41.724665,  inckl_z: 3.837701
TrueKL=943.800305, loss: 19.661945,  ess_rws: 1.883465,  inckl_eta: 31.507748,  inckl_z: 2.919361
TrueKL=591.657092, loss: 21.117466,  ess_rws: 1.958193,  inckl_eta: 32.424768,  inckl_z: 2.660922
TrueKL=278.865161, loss: 19.351098,  ess_rws: 2.116372,  inckl_eta: 21.355018,  inckl_z: 2.028890
TrueKL=106.882832, loss: 17.263377,  ess_rws: 2.546130,  inckl_eta: 8.886469,  inckl_z: 1.665884
TrueKL=71.575091, loss: 16.485787,  ess_rws: 3.281284,  inckl_eta: 2.251783,  inckl_z: 1.647052
TrueKL=57.516855, loss: 15.962984,  ess_rws: 4.204311,  inckl_eta: 0.511897,  inckl_z: 1.643701
TrueKL=36.415370, loss: 15.550230,  ess_rws: 5.052707,  inckl_eta: 0.175980,  inckl_z: 1.512827
TrueKL=17.616361, loss: 15.339723,  ess_rws: 5.611926,  inckl_eta: 0.077851,  inckl_z: 1.377787
TrueKL=25.485480, loss: 15.317253,  ess_rws: 5.945674,  inckl_eta: 0.049786,  inckl_z: 1.223375
TrueKL=19.058720, loss: 15.241291,  ess_rws: 6.246056,  inckl_eta: 0.034945,  inckl_z: 1.072011
TrueKL=7.560810, loss: 15.258668,  ess_rws: 6.454094,  inckl_eta: 0.193127,  inckl_z: 0.933915
TrueKL=4.453308, loss: 15.057420,  ess_rws: 6.799306,  inckl_eta: 0.029768,  inckl_z: 0.830777
TrueKL=7.385570, loss: 14.851366,  ess_rws: 7.016083,  inckl_eta: 0.048194,  inckl_z: 0.775527
TrueKL=5.173265, loss: 14.932696,  ess_rws: 7.195351,  inckl_eta: 0.025811,  inckl_z: 0.745826
TrueKL=6.082403, loss: 14.917702,  ess_rws: 7.330571,  inckl_eta: 0.046299,  inckl_z: 0.726525
TrueKL=4.410352, loss: 14.910426,  ess_rws: 7.419868,  inckl_eta: 0.020144,  inckl_z: 0.702287
TrueKL=23.774599, loss: 14.997253,  ess_rws: 7.485999,  inckl_eta: 0.054415,  inckl_z: 0.692019
TrueKL=31.965597, loss: 14.956681,  ess_rws: 7.731834,  inckl_eta: 0.018821,  inckl_z: 0.647357
TrueKL=34.666085, loss: 14.912204,  ess_rws: 7.787487,  inckl_eta: 0.020135,  inckl_z: 0.631242
TrueKL=4.995377, loss: 14.980263,  ess_rws: 7.930325,  inckl_eta: 0.017945,  inckl_z: 0.625769
TrueKL=6.644440, loss: 15.044320,  ess_rws: 7.938542,  inckl_eta: 0.018790,  inckl_z: 0.616405
TrueKL=8.088909, loss: 15.011012,  ess_rws: 8.050481,  inckl_eta: 0.024699,  inckl_z: 0.597406
TrueKL=39.724906, loss: 14.878051,  ess_rws: 8.169369,  inckl_eta: 0.020946,  inckl_z: 0.574448
TrueKL=36.349822, loss: 15.058739,  ess_rws: 8.144696,  inckl_eta: 0.018861,  inckl_z: 0.577867
TrueKL=35.561451, loss: 15.121636,  ess_rws: 8.209843,  inckl_eta: 0.017138,  inckl_z: 0.567393
TrueKL=33.193659, loss: 14.985325,  ess_rws: 8.281087,  inckl_eta: 0.017223,  inckl_z: 0.540772
TrueKL=42.639468, loss: 14.960007,  ess_rws: 8.418445,  inckl_eta: 0.018362,  inckl_z: 0.526298
TrueKL=38.136127, loss: 14.906343,  ess_rws: 8.571170,  inckl_eta: 0.015948,  inckl_z: 0.524887
TrueKL=44.921639, loss: 14.971693,  ess_rws: 8.570149,  inckl_eta: 0.016655,  inckl_z: 0.514494
TrueKL=40.988702, loss: 14.855776,  ess_rws: 8.691461,  inckl_eta: 0.017352,  inckl_z: 0.489222
TrueKL=35.876620, loss: 14.849503,  ess_rws: 8.797250,  inckl_eta: 0.048594,  inckl_z: 0.483669
TrueKL=8.535538, loss: 14.828933,  ess_rws: 8.872197,  inckl_eta: 0.015960,  inckl_z: 0.464025
TrueKL=6.705554, loss: 14.925943,  ess_rws: 8.909622,  inckl_eta: 0.015677,  inckl_z: 0.454120
TrueKL=5.504953, loss: 15.082274,  ess_rws: 8.829950,  inckl_eta: 0.017048,  inckl_z: 0.470016
TrueKL=5.512426, loss: 14.977087,  ess_rws: 8.908674,  inckl_eta: 0.017788,  inckl_z: 0.452453
TrueKL=5.933867, loss: 15.057308,  ess_rws: 8.929842,  inckl_eta: 0.017448,  inckl_z: 0.452772
TrueKL=8.604639, loss: 15.011977,  ess_rws: 8.968969,  inckl_eta: 0.016953,  inckl_z: 0.439722
TrueKL=12.596147, loss: 15.058798,  ess_rws: 9.136346,  inckl_eta: 0.014541,  inckl_z: 0.423696
TrueKL=16.658057, loss: 15.151926,  ess_rws: 9.122044,  inckl_eta: 0.018137,  inckl_z: 0.434494
TrueKL=15.902695, loss: 14.969891,  ess_rws: 9.265490,  inckl_eta: 0.015739,  inckl_z: 0.413632
TrueKL=20.198167, loss: 15.011664,  ess_rws: 9.292464,  inckl_eta: 0.026279,  inckl_z: 0.411636
TrueKL=19.559566, loss: 14.895852,  ess_rws: 9.420548,  inckl_eta: 0.019709,  inckl_z: 0.388708
TrueKL=16.470022, loss: 14.832881,  ess_rws: 9.525682,  inckl_eta: 0.026691,  inckl_z: 0.387626
TrueKL=14.404665, loss: 14.926316,  ess_rws: 9.531418,  inckl_eta: 0.014946,  inckl_z: 0.375739
TrueKL=20.862602, loss: 14.919693,  ess_rws: 9.605942,  inckl_eta: 0.015251,  inckl_z: 0.373930
TrueKL=25.169654, loss: 14.951952,  ess_rws: 9.603958,  inckl_eta: 0.038632,  inckl_z: 0.371262
TrueKL=25.264979, loss: 14.897186,  ess_rws: 9.700114,  inckl_eta: 0.039941,  inckl_z: 0.364607
TrueKL=24.942036, loss: 14.890532,  ess_rws: 9.809256,  inckl_eta: 0.018683,  inckl_z: 0.357503
TrueKL=22.383730, loss: 14.730460,  ess_rws: 9.888884,  inckl_eta: 0.016866,  inckl_z: 0.338939
TrueKL=24.004046, loss: 14.773041,  ess_rws: 9.913716,  inckl_eta: 0.016448,  inckl_z: 0.337585
TrueKL=26.825485, loss: 14.873592,  ess_rws: 9.921046,  inckl_eta: 0.020627,  inckl_z: 0.337860
TrueKL=26.660445, loss: 14.883452,  ess_rws: 9.976699,  inckl_eta: 0.020979,  inckl_z: 0.342325
TrueKL=25.516449, loss: 15.047029,  ess_rws: 9.889781,  inckl_eta: 0.021498,  inckl_z: 0.341471
TrueKL=23.350886, loss: 14.915468,  ess_rws: 10.009827,  inckl_eta: 0.018601,  inckl_z: 0.330920
TrueKL=26.651384, loss: 14.764889,  ess_rws: 10.135245,  inckl_eta: 0.016445,  inckl_z: 0.318893
TrueKL=24.614576, loss: 14.919724,  ess_rws: 10.184688,  inckl_eta: 0.080217,  inckl_z: 0.321391
TrueKL=24.764985, loss: 14.937358,  ess_rws: 10.151263,  inckl_eta: 0.018745,  inckl_z: 0.315522
TrueKL=24.723122, loss: 15.001920,  ess_rws: 10.073125,  inckl_eta: 0.021735,  inckl_z: 0.317156
TrueKL=28.395960, loss: 15.107619,  ess_rws: 10.071097,  inckl_eta: 0.016762,  inckl_z: 0.311473
TrueKL=29.758550, loss: 15.121526,  ess_rws: 10.103664,  inckl_eta: 0.023432,  inckl_z: 0.312300
