TrueKL=940.881148, loss: 61.776622,  ess_rws: 1.047029,  ess_eta: 1.115032,  ess_z: 1.582070,  inckl_eta: 121.948347,  inckl_z: 18.233332
TrueKL=1513.156735, loss: 58.181152,  ess_rws: 1.109765,  ess_eta: 1.318746,  ess_z: 2.449205,  inckl_eta: 149.642503,  inckl_z: 5.833106
TrueKL=1584.265833, loss: 57.538267,  ess_rws: 1.162256,  ess_eta: 1.360696,  ess_z: 2.640398,  inckl_eta: 148.153537,  inckl_z: 4.710403
TrueKL=1504.601387, loss: 56.780991,  ess_rws: 1.185115,  ess_eta: 1.379068,  ess_z: 2.938851,  inckl_eta: 132.953394,  inckl_z: 3.688058
TrueKL=1002.415023, loss: 60.934646,  ess_rws: 1.110787,  ess_eta: 1.109357,  ess_z: 1.587943,  inckl_eta: 147.989294,  inckl_z: 16.955253
TrueKL=1440.391844, loss: 58.068729,  ess_rws: 1.196768,  ess_eta: 1.287405,  ess_z: 2.459954,  inckl_eta: 163.302655,  inckl_z: 6.051738
TrueKL=1526.042005, loss: 57.424764,  ess_rws: 1.203071,  ess_eta: 1.328230,  ess_z: 2.722141,  inckl_eta: 151.413489,  inckl_z: 4.665016
TrueKL=1463.172987, loss: 56.919149,  ess_rws: 1.197809,  ess_eta: 1.369191,  ess_z: 3.040290,  inckl_eta: 130.452347,  inckl_z: 3.612294
TrueKL=1388.870165, loss: 56.147598,  ess_rws: 1.193739,  ess_eta: 1.361227,  ess_z: 3.417097,  inckl_eta: 121.094688,  inckl_z: 2.791434
TrueKL=1347.172514, loss: 54.103338,  ess_rws: 1.188642,  ess_eta: 1.345452,  ess_z: 3.555962,  inckl_eta: 146.469074,  inckl_z: 2.446510
TrueKL=1320.153000, loss: 49.599683,  ess_rws: 1.180391,  ess_eta: 1.307748,  ess_z: 3.620889,  inckl_eta: 144.716347,  inckl_z: 2.394783
TrueKL=1290.815729, loss: 45.202415,  ess_rws: 1.170602,  ess_eta: 1.283808,  ess_z: 3.888786,  inckl_eta: 156.390843,  inckl_z: 2.197750
TrueKL=1180.446882, loss: 41.886196,  ess_rws: 1.155649,  ess_eta: 1.279756,  ess_z: 4.340584,  inckl_eta: 150.084147,  inckl_z: 1.830663
TrueKL=933.428674, loss: 36.335455,  ess_rws: 1.154153,  ess_eta: 1.330220,  ess_z: 5.155745,  inckl_eta: 136.426726,  inckl_z: 1.319126
TrueKL=726.834953, loss: 29.261344,  ess_rws: 1.140716,  ess_eta: 1.421651,  ess_z: 5.659318,  inckl_eta: 114.993584,  inckl_z: 0.991824
TrueKL=662.158907, loss: 25.354851,  ess_rws: 1.141816,  ess_eta: 1.461211,  ess_z: 5.524884,  inckl_eta: 93.574164,  inckl_z: 1.022865
TrueKL=611.973077, loss: 22.118119,  ess_rws: 1.138343,  ess_eta: 1.539823,  ess_z: 5.150620,  inckl_eta: 89.187290,  inckl_z: 0.967183
TrueKL=449.361886, loss: 20.038800,  ess_rws: 1.130589,  ess_eta: 1.721969,  ess_z: 4.614887,  inckl_eta: 82.588354,  inckl_z: 1.057528
TrueKL=233.856797, loss: 18.178024,  ess_rws: 1.127211,  ess_eta: 1.822081,  ess_z: 4.776440,  inckl_eta: 64.475440,  inckl_z: 0.972959
TrueKL=97.186693, loss: 15.246499,  ess_rws: 1.125335,  ess_eta: 1.849267,  ess_z: 5.559199,  inckl_eta: 35.999676,  inckl_z: 0.691140
TrueKL=13.862670, loss: 13.025352,  ess_rws: 1.123781,  ess_eta: 2.265175,  ess_z: 6.117974,  inckl_eta: 10.564226,  inckl_z: 0.527734
TrueKL=1.807294, loss: 11.400123,  ess_rws: 1.118790,  ess_eta: 5.478167,  ess_z: 6.000334,  inckl_eta: 1.415232,  inckl_z: 0.419957
TrueKL=0.326926, loss: 11.166706,  ess_rws: 1.115701,  ess_eta: 7.952027,  ess_z: 6.104302,  inckl_eta: 0.236756,  inckl_z: 0.363640
TrueKL=0.097908, loss: 11.098015,  ess_rws: 1.114366,  ess_eta: 9.066711,  ess_z: 6.243134,  inckl_eta: 0.060880,  inckl_z: 0.337311
TrueKL=0.043215, loss: 11.117017,  ess_rws: 1.107283,  ess_eta: 9.606501,  ess_z: 6.373316,  inckl_eta: 0.026552,  inckl_z: 0.309155
TrueKL=0.011673, loss: 11.085965,  ess_rws: 1.111339,  ess_eta: 9.828508,  ess_z: 6.521761,  inckl_eta: 0.006686,  inckl_z: 0.282227
TrueKL=0.005602, loss: 11.066278,  ess_rws: 1.112128,  ess_eta: 9.911496,  ess_z: 6.632785,  inckl_eta: 0.003594,  inckl_z: 0.263192
TrueKL=0.002261, loss: 11.043006,  ess_rws: 1.109604,  ess_eta: 9.945540,  ess_z: 6.728609,  inckl_eta: 0.002890,  inckl_z: 0.252761
TrueKL=0.002340, loss: 10.997817,  ess_rws: 1.108391,  ess_eta: 9.958046,  ess_z: 6.820596,  inckl_eta: 0.004330,  inckl_z: 0.241547
TrueKL=0.001151, loss: 11.050662,  ess_rws: 1.110615,  ess_eta: 9.963802,  ess_z: 6.893381,  inckl_eta: 0.001466,  inckl_z: 0.222946
TrueKL=0.000952, loss: 10.987926,  ess_rws: 1.103508,  ess_eta: 9.970636,  ess_z: 6.965561,  inckl_eta: 0.001746,  inckl_z: 0.216934
TrueKL=0.000918, loss: 10.994225,  ess_rws: 1.100879,  ess_eta: 9.968951,  ess_z: 7.024134,  inckl_eta: 0.002118,  inckl_z: 0.209079
TrueKL=0.000687, loss: 11.009649,  ess_rws: 1.105346,  ess_eta: 9.972997,  ess_z: 7.097264,  inckl_eta: 0.001749,  inckl_z: 0.200878
TrueKL=0.000702, loss: 10.936072,  ess_rws: 1.099335,  ess_eta: 9.972346,  ess_z: 7.137103,  inckl_eta: 0.001392,  inckl_z: 0.193325
TrueKL=0.000792, loss: 10.980561,  ess_rws: 1.100902,  ess_eta: 9.973062,  ess_z: 7.188511,  inckl_eta: 0.001840,  inckl_z: 0.187355
TrueKL=0.000682, loss: 10.971312,  ess_rws: 1.102193,  ess_eta: 9.971626,  ess_z: 7.221187,  inckl_eta: 0.001749,  inckl_z: 0.184413
TrueKL=0.000623, loss: 11.007651,  ess_rws: 1.096808,  ess_eta: 9.973799,  ess_z: 7.254691,  inckl_eta: 0.005353,  inckl_z: 0.179542
TrueKL=0.000774, loss: 10.946753,  ess_rws: 1.097317,  ess_eta: 9.967579,  ess_z: 7.303511,  inckl_eta: 0.002546,  inckl_z: 0.172706
TrueKL=0.000602, loss: 10.938917,  ess_rws: 1.102178,  ess_eta: 9.973420,  ess_z: 7.363731,  inckl_eta: 0.001551,  inckl_z: 0.171612
TrueKL=0.000618, loss: 10.988175,  ess_rws: 1.097715,  ess_eta: 9.973032,  ess_z: 7.397957,  inckl_eta: 0.001445,  inckl_z: 0.164814
TrueKL=0.000574, loss: 10.956963,  ess_rws: 1.093790,  ess_eta: 9.975019,  ess_z: 7.409468,  inckl_eta: 0.001500,  inckl_z: 0.163635
TrueKL=0.000591, loss: 10.921757,  ess_rws: 1.099797,  ess_eta: 9.973569,  ess_z: 7.447845,  inckl_eta: 0.002328,  inckl_z: 0.156993
TrueKL=0.000569, loss: 10.912829,  ess_rws: 1.094744,  ess_eta: 9.974267,  ess_z: 7.477308,  inckl_eta: 0.001730,  inckl_z: 0.152887
TrueKL=0.000650, loss: 10.924836,  ess_rws: 1.098811,  ess_eta: 9.971736,  ess_z: 7.538189,  inckl_eta: 0.021690,  inckl_z: 0.152482
TrueKL=0.000589, loss: 10.905875,  ess_rws: 1.095859,  ess_eta: 9.972589,  ess_z: 7.554923,  inckl_eta: 0.001989,  inckl_z: 0.148043
TrueKL=0.000660, loss: 10.918741,  ess_rws: 1.096244,  ess_eta: 9.973516,  ess_z: 7.575865,  inckl_eta: 0.001895,  inckl_z: 0.145940
TrueKL=0.000643, loss: 10.901827,  ess_rws: 1.094775,  ess_eta: 9.973898,  ess_z: 7.618366,  inckl_eta: 0.001662,  inckl_z: 0.143594
