ess: 1.21,  density: -623.21,  inc_kl: 723.00,  exc_kl: 535.33
ess: 1.81,  density: -380.47,  inc_kl: 667.57,  exc_kl: 115.03
ess: 2.18,  density: -344.75,  inc_kl: 529.13,  exc_kl: 83.09
ess: 2.66,  density: -330.98,  inc_kl: 211.06,  exc_kl: 32.12
ess: 3.85,  density: -317.38,  inc_kl: 38.97,  exc_kl: 13.35
ess: 6.41,  density: -310.19,  inc_kl: 10.69,  exc_kl: 5.05
ess: 10.25,  density: -306.75,  inc_kl: 3.18,  exc_kl: 1.70
ess: 14.31,  density: -304.88,  inc_kl: 1.22,  exc_kl: 0.54
ess: 17.19,  density: -303.49,  inc_kl: 0.26,  exc_kl: 0.18
ess: 18.71,  density: -301.50,  inc_kl: 0.27,  exc_kl: 0.08
ess: 19.39,  density: -300.34,  inc_kl: 0.12,  exc_kl: 0.03
ess: 19.68,  density: -298.65,  inc_kl: 0.01,  exc_kl: 0.01
ess: 19.80,  density: -297.51,  inc_kl: 0.01,  exc_kl: 0.01
ess: 19.87,  density: -296.45,  inc_kl: 0.01,  exc_kl: 0.00
ess: 19.90,  density: -295.46,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.92,  density: -294.52,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.93,  density: -293.87,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.93,  density: -293.04,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.94,  density: -292.76,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.94,  density: -292.12,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -292.09,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -291.66,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -291.71,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -291.40,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.91,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.76,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.98,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.82,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.37,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.57,  inc_kl: 0.04,  exc_kl: 0.00
ess: 19.95,  density: -290.35,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.96,  density: -290.45,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.42,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.17,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.94,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -290.09,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.87,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.84,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.68,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.60,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -291.52,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.20,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.10,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.16,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -288.98,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.13,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.29,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -289.10,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -288.83,  inc_kl: 0.00,  exc_kl: 0.00
ess: 19.95,  density: -288.53,  inc_kl: 0.00,  exc_kl: 0.00
ess=1.13, density=-696.21, inc_kl=1037.13, exc_kl=624.99
ess=1.34, density=-453.12, inc_kl=1202.46, exc_kl=239.77
ess=1.66, density=-379.49, inc_kl=832.00, exc_kl=130.35
ess=1.99, density=-351.88, inc_kl=484.73, exc_kl=70.69
ess=2.42, density=-336.37, inc_kl=158.69, exc_kl=33.16
ess=3.64, density=-319.48, inc_kl=60.24, exc_kl=14.91
ess=6.06, density=-310.71, inc_kl=26.24, exc_kl=5.99
ess=9.77, density=-306.30, inc_kl=12.87, exc_kl=2.09
ess=13.74, density=-304.34, inc_kl=4.33, exc_kl=0.67
ess=16.80, density=-302.13, inc_kl=0.49, exc_kl=0.22
ess=18.51, density=-300.56, inc_kl=0.22, exc_kl=0.08
ess=19.26, density=-298.95, inc_kl=0.04, exc_kl=0.03
ess=19.63, density=-297.85, inc_kl=0.03, exc_kl=0.01
ess=19.79, density=-296.40, inc_kl=0.01, exc_kl=0.01
ess=19.87, density=-295.62, inc_kl=0.01, exc_kl=0.00
ess=19.90, density=-294.59, inc_kl=0.00, exc_kl=0.00
ess=19.92, density=-293.73, inc_kl=0.00, exc_kl=0.00
ess=19.93, density=-293.08, inc_kl=0.00, exc_kl=0.00
ess=19.94, density=-292.69, inc_kl=0.00, exc_kl=0.00
ess=19.94, density=-292.13, inc_kl=0.00, exc_kl=0.00
ess=19.94, density=-291.85, inc_kl=0.00, exc_kl=0.00
ess=19.94, density=-291.47, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-291.19, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-290.69, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-290.19, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-289.77, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-289.55, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-289.20, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-289.19, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.93, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.98, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.73, inc_kl=0.00, exc_kl=0.00
ess=19.94, density=-288.62, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.55, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.99, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.70, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.77, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.69, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.84, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.87, inc_kl=0.00, exc_kl=0.00
ess=19.95, density=-288.73, inc_kl=0.00, exc_kl=0.00
