196s, loss: 347.986209,  ess_sis: 1.092431,  inckl_eta: 33.273637,  inckl_z: 17.230890
194s, loss: 328.679592,  ess_sis: 1.185164,  inckl_eta: 33.034952,  inckl_z: 10.761463
194s, loss: 322.828219,  ess_sis: 1.248071,  inckl_eta: 23.484536,  inckl_z: 8.773994
193s, loss: 316.259623,  ess_sis: 1.381275,  inckl_eta: 17.264540,  inckl_z: 5.921891
192s, loss: 312.230436,  ess_sis: 1.492220,  inckl_eta: 14.547668,  inckl_z: 4.794107
193s, loss: 283.791600,  ess_sis: 1.441646,  inckl_eta: 17.913765,  inckl_z: 5.440234
194s, loss: 180.456434,  ess_sis: 1.341497,  inckl_eta: 39.707679,  inckl_z: 4.440858
193s, loss: 117.484094,  ess_sis: 1.353227,  inckl_eta: 39.535617,  inckl_z: 3.060610
194s, loss: 91.795873,  ess_sis: 1.378020,  inckl_eta: 34.614193,  inckl_z: 2.258131
195s, loss: 79.800314,  ess_sis: 1.384629,  inckl_eta: 28.344648,  inckl_z: 1.769697
194s, loss: 72.049054,  ess_sis: 1.385520,  inckl_eta: 25.750183,  inckl_z: 1.589931
194s, loss: 66.381562,  ess_sis: 1.389841,  inckl_eta: 25.001423,  inckl_z: 1.446806
193s, loss: 65.698649,  ess_sis: 1.371380,  inckl_eta: 20.796010,  inckl_z: 1.349545
193s, loss: 64.542708,  ess_sis: 1.373857,  inckl_eta: 17.902366,  inckl_z: 1.285458
194s, loss: 62.228181,  ess_sis: 1.382611,  inckl_eta: 18.205096,  inckl_z: 1.325661
194s, loss: 61.875616,  ess_sis: 1.379250,  inckl_eta: 16.404495,  inckl_z: 1.209094
193s, loss: 59.957971,  ess_sis: 1.374141,  inckl_eta: 16.138709,  inckl_z: 1.131631
193s, loss: 60.398399,  ess_sis: 1.380857,  inckl_eta: 14.818086,  inckl_z: 1.094004
193s, loss: 60.753540,  ess_sis: 1.366212,  inckl_eta: 13.667819,  inckl_z: 1.047810
193s, loss: 60.201479,  ess_sis: 1.380383,  inckl_eta: 13.581179,  inckl_z: 1.122262
193s, loss: 58.802829,  ess_sis: 1.380184,  inckl_eta: 12.720315,  inckl_z: 1.061446
192s, loss: 59.215696,  ess_sis: 1.367487,  inckl_eta: 12.367730,  inckl_z: 1.038928
194s, loss: 60.002621,  ess_sis: 1.384093,  inckl_eta: 12.033558,  inckl_z: 1.027978
193s, loss: 60.337178,  ess_sis: 1.380927,  inckl_eta: 11.367098,  inckl_z: 0.973458
193s, loss: 59.228162,  ess_sis: 1.380744,  inckl_eta: 11.656630,  inckl_z: 0.958278
194s, loss: 58.332523,  ess_sis: 1.387676,  inckl_eta: 11.596231,  inckl_z: 0.988133
193s, loss: 58.217637,  ess_sis: 1.398660,  inckl_eta: 11.606680,  inckl_z: 0.915425
193s, loss: 59.872122,  ess_sis: 1.391013,  inckl_eta: 10.732055,  inckl_z: 0.876409
193s, loss: 58.410726,  ess_sis: 1.389423,  inckl_eta: 10.497739,  inckl_z: 0.888486
193s, loss: 57.210267,  ess_sis: 1.393102,  inckl_eta: 11.078760,  inckl_z: 0.936155
194s, loss: 57.842095,  ess_sis: 1.391647,  inckl_eta: 10.882650,  inckl_z: 0.981545
193s, loss: 58.535244,  ess_sis: 1.383846,  inckl_eta: 10.312061,  inckl_z: 0.872223
193s, loss: 58.730511,  ess_sis: 1.397601,  inckl_eta: 10.147821,  inckl_z: 0.861786
193s, loss: 60.765059,  ess_sis: 1.379021,  inckl_eta: 9.302284,  inckl_z: 0.819822
194s, loss: 58.994785,  ess_sis: 1.383566,  inckl_eta: 9.625941,  inckl_z: 0.853305
193s, loss: 57.682478,  ess_sis: 1.385326,  inckl_eta: 9.873053,  inckl_z: 0.843221
193s, loss: 57.791485,  ess_sis: 1.384725,  inckl_eta: 9.438073,  inckl_z: 0.861263
194s, loss: 58.448490,  ess_sis: 1.390846,  inckl_eta: 9.222620,  inckl_z: 0.831078
194s, loss: 59.190715,  ess_sis: 1.391000,  inckl_eta: 9.228294,  inckl_z: 0.812194
193s, loss: 59.477340,  ess_sis: 1.383954,  inckl_eta: 8.848163,  inckl_z: 0.793726
194s, loss: 58.642278,  ess_sis: 1.379630,  inckl_eta: 8.621037,  inckl_z: 0.743600
194s, loss: 58.823930,  ess_sis: 1.389704,  inckl_eta: 8.572720,  inckl_z: 0.761363
194s, loss: 58.725111,  ess_sis: 1.395212,  inckl_eta: 8.342894,  inckl_z: 0.743196
193s, loss: 60.006953,  ess_sis: 1.393360,  inckl_eta: 8.605123,  inckl_z: 0.808336
194s, loss: 59.071019,  ess_sis: 1.392586,  inckl_eta: 8.332412,  inckl_z: 0.756867
193s, loss: 57.915896,  ess_sis: 1.391899,  inckl_eta: 8.520200,  inckl_z: 0.732830
194s, loss: 58.703858,  ess_sis: 1.399548,  inckl_eta: 8.223276,  inckl_z: 0.697240
193s, loss: 59.960972,  ess_sis: 1.400187,  inckl_eta: 8.294536,  inckl_z: 0.690192
193s, loss: 58.624938,  ess_sis: 1.395558,  inckl_eta: 8.442443,  inckl_z: 0.689229
193s, loss: 58.744562,  ess_sis: 1.394985,  inckl_eta: 8.047772,  inckl_z: 0.711746
