time:34, inckl:193.045894
time:68, inckl:188.973467
time:101, inckl:179.816137
time:135, inckl:180.719214
time:169, inckl:178.115263
time:203, inckl:178.913735
time:236, inckl:178.986585
time:269, inckl:184.554031
time:303, inckl:190.659812
time:337, inckl:202.045431
time:371, inckl:209.825185
time:404, inckl:217.018999
time:437, inckl:223.379067
time:471, inckl:235.047352
time:505, inckl:235.709103
time:539, inckl:235.568136
time:572, inckl:239.657090
time:606, inckl:240.590008
time:639, inckl:240.699515
time:673, inckl:240.189780
time:706, inckl:243.102572
time:740, inckl:239.515603
time:773, inckl:239.715194
time:806, inckl:239.520994
time:839, inckl:239.377051
time:873, inckl:236.554624
time:907, inckl:241.094647
time:941, inckl:234.026621
time:975, inckl:236.934669
time:1008, inckl:230.253846
time:1042, inckl:229.705909
time:1077, inckl:231.341494
time:1110, inckl:230.662706
time:1144, inckl:229.047810
time:1178, inckl:227.469043
time:1213, inckl:225.660751
time:1246, inckl:224.468094
time:1280, inckl:221.825664
time:1314, inckl:219.596866
time:1348, inckl:217.475210
time:1382, inckl:216.861309
time:1416, inckl:216.804297
time:1450, inckl:220.529813
time:1483, inckl:212.997235
time:1516, inckl:208.767191
time:1551, inckl:204.513028
time:1585, inckl:210.569446
time:1620, inckl:212.392208
time:1652, inckl:208.339771
time:1687, inckl:207.859313
time:1720, inckl:205.446795
time:1753, inckl:204.344146
time:1787, inckl:207.317664
time:1820, inckl:211.299342
time:1854, inckl:203.378936
time:1888, inckl:207.799265
time:1922, inckl:202.107342
time:1955, inckl:201.129416
time:1989, inckl:200.811444
time:2023, inckl:201.453273
time:2057, inckl:196.604134
time:2090, inckl:208.057627
time:2124, inckl:202.432259
time:2158, inckl:203.435223
time:2192, inckl:208.455350
time:2226, inckl:210.157705
time:2260, inckl:202.600470
time:2293, inckl:203.814874
time:2328, inckl:206.923387
time:2361, inckl:207.250722
time:2395, inckl:208.683550
time:2429, inckl:199.670855
time:2461, inckl:201.414464
time:2494, inckl:192.237018
time:2529, inckl:206.327445
time:2562, inckl:198.407567
time:2595, inckl:201.823503
time:2629, inckl:199.281916
time:2663, inckl:192.460023
time:2697, inckl:196.056614
time:2731, inckl:195.808140
time:2764, inckl:191.448328
time:2798, inckl:195.065581
time:2831, inckl:188.985811
time:2865, inckl:183.183500
time:2899, inckl:189.889858
time:2934, inckl:181.233441
time:2967, inckl:175.772987
time:3001, inckl:181.004016
time:3035, inckl:180.603438
time:3069, inckl:180.563269
time:3103, inckl:178.804478
time:3138, inckl:172.844539
time:3171, inckl:170.859403
time:3206, inckl:164.150370
time:3239, inckl:159.740566
time:3273, inckl:158.990548
time:3307, inckl:166.921799
time:3341, inckl:155.767161
time:3375, inckl:159.608161
time:3409, inckl:147.912575
time:3444, inckl:148.349918
time:3478, inckl:148.869479
time:3512, inckl:151.337396
time:3546, inckl:145.229831
time:3579, inckl:145.632215
time:3614, inckl:138.641185
time:3648, inckl:137.158982
time:3681, inckl:138.850830
time:3715, inckl:132.219818
time:3749, inckl:129.556753
time:3783, inckl:117.754982
time:3817, inckl:122.306127
time:3852, inckl:122.195872
time:3887, inckl:124.080709
time:3922, inckl:113.693713
time:3955, inckl:118.397803
time:3990, inckl:108.232436
time:4024, inckl:107.424340
time:4059, inckl:98.069068
time:4093, inckl:100.324048
time:4126, inckl:92.592430
time:4160, inckl:95.017390
time:4194, inckl:95.641475
time:4228, inckl:84.994581
time:4262, inckl:85.769220
time:4295, inckl:88.804594
time:4329, inckl:74.645278
time:4364, inckl:72.631390
time:4398, inckl:69.654949
time:4432, inckl:66.493316
time:4466, inckl:64.321922
time:4500, inckl:59.150437
time:4533, inckl:52.975680
time:4567, inckl:51.575404
time:4601, inckl:46.459183
time:4635, inckl:46.520603
time:4669, inckl:45.334461
time:4703, inckl:39.428459
time:4736, inckl:34.779112
time:4770, inckl:33.201072
time:4804, inckl:33.305881
time:4838, inckl:31.143891
time:4872, inckl:29.244496
time:4906, inckl:27.186510
time:4940, inckl:24.937288
time:4972, inckl:23.056894
time:5006, inckl:23.158043
time:5040, inckl:23.226266
time:5074, inckl:22.446088
time:5107, inckl:22.733418
time:5142, inckl:21.476143
time:5175, inckl:22.421905
time:5209, inckl:17.301436
time:5244, inckl:15.113303
time:5278, inckl:15.222304
time:5311, inckl:13.346767
time:5344, inckl:12.345901
time:5378, inckl:10.369243
time:5411, inckl:12.332986
time:5445, inckl:10.975667
time:5479, inckl:10.364446
time:5512, inckl:11.007821
time:5546, inckl:9.483402
time:5580, inckl:9.243236
time:5614, inckl:7.762166
time:5647, inckl:9.679100
time:5682, inckl:10.428932
time:5716, inckl:9.916250
time:5749, inckl:11.006538
time:5782, inckl:9.693591
time:5815, inckl:7.815856
time:5848, inckl:8.362757
time:5882, inckl:9.286534
time:5916, inckl:8.176715
time:5950, inckl:8.080298
time:5984, inckl:8.541412
time:6018, inckl:5.527710
time:6052, inckl:6.772414
time:6086, inckl:5.715748
time:6119, inckl:5.888283
time:6152, inckl:4.274338
time:6186, inckl:4.930258
time:6220, inckl:4.468893
time:6254, inckl:3.463182
time:6288, inckl:3.206779
time:6321, inckl:4.499658
