time:39, inckl:95.492856
time:78, inckl:188.869585
time:118, inckl:305.331254
time:157, inckl:361.805716
time:196, inckl:344.645073
time:236, inckl:341.990674
time:275, inckl:364.204464
time:314, inckl:313.164783
time:352, inckl:327.769161
time:391, inckl:354.190879
time:430, inckl:351.134552
time:469, inckl:347.428054
time:508, inckl:372.783599
time:546, inckl:386.730276
time:586, inckl:383.312133
time:624, inckl:382.494931
time:663, inckl:416.667607
time:702, inckl:419.876541
time:740, inckl:471.536307
time:779, inckl:447.246015
time:818, inckl:446.994630
time:856, inckl:422.782272
time:895, inckl:483.919301
time:933, inckl:460.251522
time:972, inckl:498.961604
time:1010, inckl:478.103079
time:1049, inckl:493.315806
time:1087, inckl:482.736264
time:1126, inckl:528.474700
time:1165, inckl:553.547754
time:1204, inckl:616.385833
time:1243, inckl:555.041166
time:1281, inckl:585.697596
time:1320, inckl:592.292208
time:1359, inckl:534.333806
time:1398, inckl:530.993149
time:1437, inckl:481.725697
time:1475, inckl:518.866786
time:1514, inckl:480.536983
time:1553, inckl:526.027372
time:1592, inckl:545.596678
time:1631, inckl:489.419310
time:1669, inckl:465.005533
time:1709, inckl:399.390690
time:1748, inckl:419.849350
time:1786, inckl:408.540580
time:1825, inckl:401.259655
time:1864, inckl:390.027951
time:1904, inckl:312.106955
time:1943, inckl:331.575037
time:1982, inckl:350.531965
time:2020, inckl:377.326132
time:2059, inckl:296.217481
time:2098, inckl:257.430189
time:2137, inckl:320.077328
time:2176, inckl:314.025470
time:2215, inckl:282.356230
time:2253, inckl:289.943817
time:2292, inckl:247.569880
time:2331, inckl:244.937443
time:2370, inckl:232.522153
time:2408, inckl:213.336738
time:2447, inckl:187.711502
time:2486, inckl:192.633940
time:2524, inckl:185.660758
time:2563, inckl:168.951323
time:2601, inckl:162.380867
time:2640, inckl:148.001910
time:2679, inckl:148.047429
time:2717, inckl:134.649877
time:2756, inckl:130.418805
time:2795, inckl:152.027942
time:2834, inckl:142.299340
time:2873, inckl:134.980331
time:2912, inckl:133.667692
time:2951, inckl:120.268329
time:2990, inckl:116.166482
time:3029, inckl:112.638151
time:3068, inckl:106.226291
time:3107, inckl:107.478122
time:3145, inckl:90.881936
time:3184, inckl:86.447063
time:3223, inckl:90.837100
time:3261, inckl:97.949992
time:3300, inckl:89.273040
time:3339, inckl:73.689663
time:3377, inckl:71.844764
time:3416, inckl:71.478161
time:3455, inckl:72.722636
time:3494, inckl:74.568924
time:3533, inckl:69.681280
time:3572, inckl:56.648840
time:3610, inckl:59.766876
time:3649, inckl:58.334101
time:3687, inckl:64.996877
time:3726, inckl:57.884565
time:3764, inckl:56.623485
time:3803, inckl:62.287230
time:3842, inckl:56.521910
time:3881, inckl:59.724335
time:3920, inckl:57.086087
time:3958, inckl:58.135781
time:3997, inckl:50.065516
time:4036, inckl:47.219604
time:4074, inckl:43.016561
time:4113, inckl:45.696917
time:4152, inckl:47.355445
time:4190, inckl:48.965169
time:4229, inckl:41.310178
time:4267, inckl:42.424110
time:4307, inckl:42.959979
time:4345, inckl:36.160453
time:4384, inckl:46.150556
time:4423, inckl:45.042105
time:4462, inckl:46.037960
time:4500, inckl:37.754898
time:4539, inckl:43.956035
time:4578, inckl:43.079174
time:4617, inckl:42.732240
time:4656, inckl:35.041248
time:4694, inckl:42.819210
time:4733, inckl:38.550966
time:4772, inckl:39.167993
time:4811, inckl:38.905785
time:4850, inckl:34.842559
time:4888, inckl:32.638139
time:4927, inckl:46.043465
time:4966, inckl:40.102200
time:5005, inckl:39.799061
time:5044, inckl:40.307380
time:5082, inckl:43.583147
time:5121, inckl:39.366565
time:5160, inckl:40.824968
time:5198, inckl:43.043476
time:5237, inckl:44.619735
time:5276, inckl:37.482655
time:5315, inckl:32.452933
time:5353, inckl:35.214930
time:5392, inckl:38.193229
time:5430, inckl:34.210909
time:5469, inckl:31.224478
time:5509, inckl:31.777645
time:5547, inckl:36.887962
time:5586, inckl:31.756893
time:5624, inckl:30.317267
time:5663, inckl:37.993279
time:5701, inckl:32.628071
time:5740, inckl:29.943164
time:5779, inckl:38.010134
time:5817, inckl:36.005870
time:5856, inckl:33.490411
time:5895, inckl:34.120888
