snr: 1.021384, var: 5.557362, inckl_gen:161.023911
snr: 1.024418, var: 7.499028, inckl_gen:208.017746
snr: 1.020035, var: 7.153038, inckl_gen:259.192444
snr: 1.021596, var: 6.868631, inckl_gen:261.673798
snr: 1.021537, var: 5.956633, inckl_gen:211.619385
snr: 1.019297, var: 5.421683, inckl_gen:259.917084
snr: 1.025196, var: 5.365246, inckl_gen:266.883484
snr: 1.022395, var: 4.864169, inckl_gen:290.137878
snr: 1.022652, var: 4.632595, inckl_gen:248.496689
snr: 1.018089, var: 4.610436, inckl_gen:328.140106
snr: 1.019939, var: 4.596995, inckl_gen:300.852051
snr: 1.019924, var: 3.983702, inckl_gen:575.138977
snr: 1.012984, var: 3.810003, inckl_gen:254.917953
snr: 1.014039, var: 3.699377, inckl_gen:305.393219
snr: 1.012033, var: 3.990819, inckl_gen:313.691803
snr: 1.011860, var: 3.850344, inckl_gen:353.455200
snr: 1.009812, var: 3.502717, inckl_gen:427.933411
snr: 1.011044, var: 3.626750, inckl_gen:409.434814
snr: 1.010479, var: 4.124971, inckl_gen:371.141083
snr: 1.010900, var: 3.766535, inckl_gen:345.791260
snr: 1.007147, var: 3.810369, inckl_gen:449.124237
snr: 1.010223, var: 3.481659, inckl_gen:304.579407
snr: 1.008269, var: 3.822062, inckl_gen:341.643951
snr: 1.007048, var: 3.678491, inckl_gen:310.316620
snr: 1.005089, var: 3.488277, inckl_gen:255.206772
snr: 1.006634, var: 3.582298, inckl_gen:362.179871
snr: 1.005359, var: 3.534708, inckl_gen:510.462616
snr: 1.006098, var: 3.255668, inckl_gen:430.399994
snr: 1.006136, var: 3.575491, inckl_gen:498.000824
snr: 1.007037, var: 3.520714, inckl_gen:358.457642
snr: 1.006059, var: 3.311781, inckl_gen:378.274231
snr: 1.004719, var: 3.502515, inckl_gen:386.234589
snr: 1.006786, var: 3.446465, inckl_gen:373.451080
snr: 1.005509, var: 3.401418, inckl_gen:737.240479
snr: 1.005020, var: 3.422033, inckl_gen:345.686462
snr: 1.006008, var: 3.391451, inckl_gen:365.165985
snr: 1.007438, var: 3.296434, inckl_gen:423.542328
snr: 1.005702, var: 3.665480, inckl_gen:356.609833
snr: 1.007116, var: 3.606408, inckl_gen:423.027679
snr: 1.005126, var: 3.256451, inckl_gen:379.019531
snr: 1.005942, var: 3.483381, inckl_gen:292.955078
snr: 1.005061, var: 3.385395, inckl_gen:354.717590
snr: 1.006785, var: 3.658412, inckl_gen:372.267700
snr: 1.006346, var: 3.706148, inckl_gen:387.014954
snr: 1.007879, var: 3.594339, inckl_gen:503.463287
snr: 1.005450, var: 3.415584, inckl_gen:418.197571
snr: 1.007693, var: 3.334532, inckl_gen:380.358948
snr: 1.004717, var: 3.426288, inckl_gen:486.147369
snr: 1.006411, var: 3.450675, inckl_gen:391.515594
snr: 1.004917, var: 3.364227, inckl_gen:420.976562
snr: 1.004563, var: 3.483469, inckl_gen:433.012787
snr: 1.005567, var: 3.360575, inckl_gen:403.663086
snr: 1.004229, var: 3.192089, inckl_gen:353.027588
snr: 1.006465, var: 3.387434, inckl_gen:409.030121
snr: 1.006871, var: 3.361656, inckl_gen:356.854492
snr: 1.006108, var: 3.571539, inckl_gen:341.776123
snr: 1.005302, var: 3.350610, inckl_gen:465.102539
snr: 1.005516, var: 3.164323, inckl_gen:311.075470
snr: 1.004562, var: 3.325665, inckl_gen:434.252655
snr: 1.003695, var: 3.458469, inckl_gen:409.609772
snr: 1.005923, var: 3.269152, inckl_gen:383.738129
snr: 1.005726, var: 3.352966, inckl_gen:354.400970
snr: 1.004889, var: 3.448192, inckl_gen:316.374817
snr: 1.004070, var: 3.297128, inckl_gen:295.413239
snr: 1.006340, var: 3.317098, inckl_gen:393.198853
snr: 1.005169, var: 3.207255, inckl_gen:350.804443
snr: 1.006325, var: 3.457633, inckl_gen:490.000641
snr: 1.005276, var: 3.350801, inckl_gen:363.678558
snr: 1.007533, var: 3.301618, inckl_gen:261.088959
snr: 1.005576, var: 3.461279, inckl_gen:384.599579
snr: 1.005119, var: 3.665358, inckl_gen:471.929901
snr: 1.004230, var: 3.215129, inckl_gen:322.974579
snr: 1.005345, var: 3.267502, inckl_gen:308.172760
snr: 1.006374, var: 3.197744, inckl_gen:335.726135
snr: 1.005919, var: 3.213116, inckl_gen:444.712006
snr: 1.006358, var: 3.153229, inckl_gen:265.162231
snr: 1.006638, var: 3.314188, inckl_gen:490.258759
snr: 1.004646, var: 2.939433, inckl_gen:372.157532
snr: 1.005488, var: 3.071140, inckl_gen:355.564362
snr: 1.003911, var: 2.991446, inckl_gen:297.580566
snr: 1.005139, var: 3.195375, inckl_gen:406.186890
snr: 1.007056, var: 3.101927, inckl_gen:292.638733
snr: 1.004480, var: 3.142456, inckl_gen:329.013000
snr: 1.005020, var: 3.128726, inckl_gen:412.643036
snr: 1.004136, var: 2.956394, inckl_gen:341.715210
snr: 1.006457, var: 3.511585, inckl_gen:356.471100
snr: 1.004935, var: 3.193912, inckl_gen:317.895508
snr: 1.005199, var: 3.239469, inckl_gen:287.577759
