snr: 1.013162, var: 5.461471, inckl_gen:222.950790
snr: 1.023078, var: 6.513937, inckl_gen:253.000687
snr: 1.018887, var: 6.126871, inckl_gen:176.262741
snr: 1.025457, var: 5.474545, inckl_gen:326.929932
snr: 1.019562, var: 5.384221, inckl_gen:253.846436
snr: 1.018643, var: 5.260544, inckl_gen:236.605515
snr: 1.017765, var: 4.745437, inckl_gen:323.483246
snr: 1.016707, var: 4.588109, inckl_gen:302.618896
snr: 1.012889, var: 4.416532, inckl_gen:353.086914
snr: 1.016557, var: 4.133344, inckl_gen:350.738281
snr: 1.016749, var: 4.454282, inckl_gen:351.187012
snr: 1.014248, var: 4.434025, inckl_gen:454.525848
snr: 1.013126, var: 3.935654, inckl_gen:232.356232
snr: 1.009531, var: 4.173799, inckl_gen:442.322906
snr: 1.009645, var: 3.787349, inckl_gen:463.177826
snr: 1.011426, var: 3.812595, inckl_gen:444.361969
snr: 1.008366, var: 3.716465, inckl_gen:250.918365
snr: 1.008453, var: 3.869322, inckl_gen:532.465820
snr: 1.006958, var: 3.841336, inckl_gen:375.613159
snr: 1.006436, var: 3.995929, inckl_gen:450.396240
snr: 1.006388, var: 3.758192, inckl_gen:375.945770
snr: 1.007720, var: 3.932454, inckl_gen:375.807617
snr: 1.007738, var: 3.705699, inckl_gen:428.154999
snr: 1.005973, var: 3.791580, inckl_gen:489.811737
snr: 1.003901, var: 3.770167, inckl_gen:410.217285
snr: 1.006826, var: 3.790598, inckl_gen:401.255432
snr: 1.006170, var: 3.966149, inckl_gen:314.608185
snr: 1.006672, var: 4.123333, inckl_gen:312.133392
snr: 1.006585, var: 3.825174, inckl_gen:314.024567
snr: 1.009978, var: 3.731083, inckl_gen:582.501099
snr: 1.004733, var: 3.594776, inckl_gen:385.701965
snr: 1.006536, var: 3.938873, inckl_gen:318.352295
snr: 1.004796, var: 3.720925, inckl_gen:568.635559
snr: 1.006265, var: 3.941176, inckl_gen:511.395508
snr: 1.004794, var: 3.726128, inckl_gen:371.397552
snr: 1.008530, var: 4.155381, inckl_gen:392.336731
snr: 1.004774, var: 3.886498, inckl_gen:330.939880
snr: 1.006536, var: 3.683848, inckl_gen:422.759430
snr: 1.005035, var: 3.778628, inckl_gen:344.759491
snr: 1.003971, var: 3.801588, inckl_gen:509.069916
snr: 1.006028, var: 3.681788, inckl_gen:440.691956
snr: 1.006187, var: 3.651479, inckl_gen:545.877625
snr: 1.007148, var: 4.090676, inckl_gen:585.633484
snr: 1.004219, var: 3.518872, inckl_gen:555.688293
snr: 1.004579, var: 3.721046, inckl_gen:522.463074
snr: 1.007276, var: 3.875574, inckl_gen:531.821228
snr: 1.006036, var: 3.736011, inckl_gen:375.618622
snr: 1.006070, var: 3.886473, inckl_gen:504.970947
snr: 1.004959, var: 3.669861, inckl_gen:279.848389
snr: 1.005491, var: 3.917522, inckl_gen:462.677460
snr: 1.007454, var: 3.671076, inckl_gen:397.194794
snr: 1.004781, var: 3.549026, inckl_gen:407.993256
snr: 1.006263, var: 3.561338, inckl_gen:463.479218
snr: 1.004950, var: 4.220848, inckl_gen:502.852936
snr: 1.004618, var: 3.517483, inckl_gen:337.507294
snr: 1.004848, var: 3.774467, inckl_gen:332.399323
snr: 1.004868, var: 3.804984, inckl_gen:476.619476
snr: 1.004757, var: 3.511950, inckl_gen:547.396667
snr: 1.005592, var: 3.837844, inckl_gen:467.951630
snr: 1.004333, var: 3.710871, inckl_gen:510.002441
snr: 1.005736, var: 3.651580, inckl_gen:507.797699
snr: 1.006299, var: 3.566936, inckl_gen:362.876526
snr: 1.005182, var: 3.548879, inckl_gen:290.069427
snr: 1.006525, var: 3.765802, inckl_gen:319.058075
snr: 1.004718, var: 3.594798, inckl_gen:294.720917
snr: 1.006094, var: 3.605577, inckl_gen:374.096527
snr: 1.004953, var: 3.656783, inckl_gen:440.522614
snr: 1.006355, var: 3.665869, inckl_gen:427.294983
snr: 1.004169, var: 3.716132, inckl_gen:428.835205
snr: 1.003827, var: 3.663334, inckl_gen:365.884552
snr: 1.006538, var: 3.634948, inckl_gen:435.418701
snr: 1.003768, var: 3.891534, inckl_gen:412.109772
snr: 1.005846, var: 3.788147, inckl_gen:336.668365
snr: 1.005440, var: 3.680590, inckl_gen:536.680054
snr: 1.005911, var: 3.533350, inckl_gen:457.776764
snr: 1.006418, var: 3.520805, inckl_gen:529.899231
snr: 1.010242, var: 3.808331, inckl_gen:296.429901
snr: 1.007347, var: 3.483844, inckl_gen:468.142059
snr: 1.006908, var: 3.597178, inckl_gen:291.964233
snr: 1.007086, var: 3.682704, inckl_gen:531.224976
snr: 1.005923, var: 3.583209, inckl_gen:297.289001
snr: 1.006757, var: 3.697389, inckl_gen:343.088593
snr: 1.006749, var: 3.616070, inckl_gen:402.126709
snr: 1.009090, var: 3.619608, inckl_gen:427.603577
snr: 1.005418, var: 3.636530, inckl_gen:472.752167
snr: 1.006741, var: 3.736613, inckl_gen:414.623108
snr: 1.006678, var: 3.515737, inckl_gen:364.611572
snr: 1.007163, var: 3.498772, inckl_gen:527.237305
snr: 1.008876, var: 3.433496, inckl_gen:341.128113
snr: 1.006690, var: 3.562038, inckl_gen:589.919189
snr: 1.008018, var: 3.616576, inckl_gen:399.236053
snr: 1.010616, var: 3.442207, inckl_gen:471.878082
snr: 1.009196, var: 3.608585, inckl_gen:447.029633
snr: 1.008236, var: 3.408496, inckl_gen:391.400116
snr: 1.008290, var: 3.584772, inckl_gen:374.634796
snr: 1.007287, var: 3.971688, inckl_gen:457.801270
snr: 1.005904, var: 3.525639, inckl_gen:402.998993
snr: 1.008135, var: 3.614437, inckl_gen:549.662537
snr: 1.006344, var: 3.619113, inckl_gen:534.833740
snr: 1.006392, var: 3.862849, inckl_gen:369.860352
snr: 1.006846, var: 3.493867, inckl_gen:416.633636
snr: 1.005170, var: 3.625319, inckl_gen:341.232971
snr: 1.006713, var: 3.247680, inckl_gen:367.795868
snr: 1.005892, var: 3.527275, inckl_gen:514.941345
snr: 1.008098, var: 3.599499, inckl_gen:425.289459
snr: 1.006438, var: 3.687835, inckl_gen:349.724213
snr: 1.006670, var: 3.292921, inckl_gen:398.473083
snr: 1.004738, var: 3.563999, inckl_gen:277.236389
snr: 1.004612, var: 3.646096, inckl_gen:384.077118
snr: 1.005942, var: 3.477440, inckl_gen:421.338928
snr: 1.007579, var: 3.326460, inckl_gen:358.545990
snr: 1.005375, var: 3.455043, inckl_gen:355.013885
snr: 1.006151, var: 3.345894, inckl_gen:270.046570
snr: 1.004197, var: 3.436558, inckl_gen:315.687958
snr: 1.004824, var: 3.309667, inckl_gen:491.206146
snr: 1.004408, var: 3.813103, inckl_gen:417.480225
snr: 1.004624, var: 3.515333, inckl_gen:264.530975
snr: 1.006712, var: 3.429283, inckl_gen:347.082489
snr: 1.006052, var: 3.525921, inckl_gen:428.975830
snr: 1.004306, var: 3.244690, inckl_gen:375.939423
