(92s) loss: 126.009008,  ess_sis: 1.150782
(92s) loss: 120.844185,  ess_sis: 1.444552
(93s) loss: 120.514892,  ess_sis: 1.568136
(93s) loss: 118.981471,  ess_sis: 1.502070
(93s) loss: 116.779870,  ess_sis: 1.469934
(93s) loss: 116.801008,  ess_sis: 1.488438
(93s) loss: 115.974446,  ess_sis: 1.528854
(93s) loss: 95.067681,  ess_sis: 1.400354
(93s) loss: 79.339874,  ess_sis: 1.334303
(92s) loss: 65.566369,  ess_sis: 1.294046
(93s) loss: 56.567746,  ess_sis: 1.265328
(94s) loss: 50.452355,  ess_sis: 1.254070
(93s) loss: 46.003215,  ess_sis: 1.252563
(93s) loss: 44.273759,  ess_sis: 1.251401
(93s) loss: 43.975759,  ess_sis: 1.251424
(93s) loss: 44.282819,  ess_sis: 1.250673
(93s) loss: 48.458301,  ess_sis: 1.269525
(92s) loss: 51.316876,  ess_sis: 1.272817
(93s) loss: 54.145395,  ess_sis: 1.284235
(93s) loss: 57.791665,  ess_sis: 1.288886
(93s) loss: 58.124737,  ess_sis: 1.268713
(93s) loss: 55.835672,  ess_sis: 1.247115
(93s) loss: 53.941267,  ess_sis: 1.224529
(92s) loss: 52.218127,  ess_sis: 1.208904
(93s) loss: 51.617709,  ess_sis: 1.210731
(93s) loss: 50.420350,  ess_sis: 1.195935
(93s) loss: 49.525502,  ess_sis: 1.197447
(93s) loss: 47.897556,  ess_sis: 1.190459
(93s) loss: 47.527426,  ess_sis: 1.188537
(93s) loss: 48.019473,  ess_sis: 1.190726
