(337s) Epoch=0, Group=0loss_phi: 132.252203,  loss_theta: 60567.769414,  ess_rws: 1.000719,  ess_what: 1.016317,  ess_where: 1.002622,  density: -38326.510166
(344s) Epoch=0, Group=1loss_phi: 93.742799,  loss_theta: 44606.783164,  ess_rws: 1.000899,  ess_what: 1.028982,  ess_where: 1.003733,  density: -23301.894443
(369s) Epoch=0, Group=2loss_phi: 17.846086,  loss_theta: 27344.708965,  ess_rws: 1.001492,  ess_what: 1.047305,  ess_where: 1.040116,  density: -14134.112039
(361s) Epoch=0, Group=3loss_phi: -57.009571,  loss_theta: 17907.094155,  ess_rws: 1.002623,  ess_what: 1.079726,  ess_where: 1.132123,  density: -9289.575896
(524s) Epoch=0, Group=4loss_phi: -77.583989,  loss_theta: 16706.877988,  ess_rws: 1.007885,  ess_what: 1.053006,  ess_where: 1.175213,  density: -8649.818098
(475s) Epoch=0, Group=5loss_phi: -94.784139,  loss_theta: 16157.762632,  ess_rws: 1.009448,  ess_what: 1.067294,  ess_where: 1.195781,  density: -8349.606924
(449s) Epoch=0, Group=6loss_phi: -110.399459,  loss_theta: 15494.265293,  ess_rws: 1.016574,  ess_what: 1.073100,  ess_where: 1.202758,  density: -7997.983164
(431s) Epoch=0, Group=7loss_phi: -119.661192,  loss_theta: 14532.451152,  ess_rws: 1.013381,  ess_what: 1.052056,  ess_where: 1.216957,  density: -7534.467085
(433s) Epoch=0, Group=8loss_phi: -129.300485,  loss_theta: 13953.025605,  ess_rws: 1.016901,  ess_what: 1.061938,  ess_where: 1.237333,  density: -7219.904497
(445s) Epoch=0, Group=9loss_phi: -135.898869,  loss_theta: 13736.253457,  ess_rws: 1.021528,  ess_what: 1.052910,  ess_where: 1.231884,  density: -7094.976318
(451s) Epoch=0, Group=10loss_phi: -145.938949,  loss_theta: 13107.289321,  ess_rws: 1.019023,  ess_what: 1.049854,  ess_where: 1.247753,  density: -6788.727175
(488s) Epoch=0, Group=11loss_phi: -152.897604,  loss_theta: 12470.976372,  ess_rws: 1.011728,  ess_what: 1.064660,  ess_where: 1.256014,  density: -6467.566216
(466s) Epoch=0, Group=12loss_phi: -159.449218,  loss_theta: 12530.412305,  ess_rws: 1.015032,  ess_what: 1.048839,  ess_where: 1.246993,  density: -6476.608345
(492s) Epoch=0, Group=13loss_phi: -162.362857,  loss_theta: 12470.248013,  ess_rws: 1.012641,  ess_what: 1.056349,  ess_where: 1.253184,  density: -6433.181930
(490s) Epoch=0, Group=14loss_phi: -166.562670,  loss_theta: 11729.542446,  ess_rws: 1.013208,  ess_what: 1.062788,  ess_where: 1.263057,  density: -6067.737705
(488s) Epoch=0, Group=15loss_phi: -169.681843,  loss_theta: 11608.868274,  ess_rws: 1.014262,  ess_what: 1.078527,  ess_where: 1.267084,  density: -6010.355610
(486s) Epoch=0, Group=16loss_phi: -174.724965,  loss_theta: 11405.033013,  ess_rws: 1.015636,  ess_what: 1.067593,  ess_where: 1.259156,  density: -5888.126936
(488s) Epoch=0, Group=17loss_phi: -179.239370,  loss_theta: 11159.137195,  ess_rws: 1.015384,  ess_what: 1.078690,  ess_where: 1.266503,  density: -5765.113639
(487s) Epoch=0, Group=18loss_phi: -177.715955,  loss_theta: 11611.320127,  ess_rws: 1.015771,  ess_what: 1.081744,  ess_where: 1.247269,  density: -6001.512844
(487s) Epoch=0, Group=19loss_phi: -181.126246,  loss_theta: 11290.426514,  ess_rws: 1.014447,  ess_what: 1.090472,  ess_where: 1.261609,  density: -5833.896365
(486s) Epoch=0, Group=20loss_phi: -181.893977,  loss_theta: 11311.948584,  ess_rws: 1.014290,  ess_what: 1.072350,  ess_where: 1.252827,  density: -5842.593522
(483s) Epoch=0, Group=21loss_phi: -183.840824,  loss_theta: 11262.092131,  ess_rws: 1.017356,  ess_what: 1.098347,  ess_where: 1.248700,  density: -5812.571274
(488s) Epoch=0, Group=22loss_phi: -184.513972,  loss_theta: 11118.545999,  ess_rws: 1.016909,  ess_what: 1.102186,  ess_where: 1.255616,  density: -5741.476249
(485s) Epoch=0, Group=23loss_phi: -186.537874,  loss_theta: 11067.035273,  ess_rws: 1.014363,  ess_what: 1.088949,  ess_where: 1.253659,  density: -5720.090162
(489s) Epoch=0, Group=24loss_phi: -187.492060,  loss_theta: 10691.389448,  ess_rws: 1.019424,  ess_what: 1.079246,  ess_where: 1.243351,  density: -5538.746067
(490s) Epoch=0, Group=25loss_phi: -189.755040,  loss_theta: 10632.786025,  ess_rws: 1.013602,  ess_what: 1.097730,  ess_where: 1.253278,  density: -5515.969581
(484s) Epoch=0, Group=26loss_phi: -191.479248,  loss_theta: 10558.281399,  ess_rws: 1.015595,  ess_what: 1.092335,  ess_where: 1.255879,  density: -5477.476813
(484s) Epoch=0, Group=27loss_phi: -192.541551,  loss_theta: 10703.679233,  ess_rws: 1.008092,  ess_what: 1.111380,  ess_where: 1.249851,  density: -5549.542563
(488s) Epoch=0, Group=28loss_phi: -194.518669,  loss_theta: 10580.914241,  ess_rws: 1.017412,  ess_what: 1.110918,  ess_where: 1.248128,  density: -5480.973085
(485s) Epoch=0, Group=29loss_phi: -195.089404,  loss_theta: 10216.401550,  ess_rws: 1.009977,  ess_what: 1.114658,  ess_where: 1.256900,  density: -5300.585747
(484s) Epoch=0, Group=30loss_phi: -197.442674,  loss_theta: 10792.939729,  ess_rws: 1.017849,  ess_what: 1.096803,  ess_where: 1.251207,  density: -5592.819393
(484s) Epoch=0, Group=31loss_phi: -196.111098,  loss_theta: 10421.248140,  ess_rws: 1.010104,  ess_what: 1.096821,  ess_where: 1.254982,  density: -5398.788591
(483s) Epoch=0, Group=32loss_phi: -197.763355,  loss_theta: 10558.455095,  ess_rws: 1.016263,  ess_what: 1.113334,  ess_where: 1.242149,  density: -5480.437758
(486s) Epoch=0, Group=33loss_phi: -199.167638,  loss_theta: 10528.926252,  ess_rws: 1.028718,  ess_what: 1.108802,  ess_where: 1.251345,  density: -5463.302654
(489s) Epoch=0, Group=34loss_phi: -200.258473,  loss_theta: 10128.275254,  ess_rws: 1.010298,  ess_what: 1.135979,  ess_where: 1.253105,  density: -5249.311967
(487s) Epoch=0, Group=35loss_phi: -199.924764,  loss_theta: 10215.879158,  ess_rws: 1.014598,  ess_what: 1.119583,  ess_where: 1.256726,  density: -5300.587943
(484s) Epoch=0, Group=36loss_phi: -199.064965,  loss_theta: 10151.348599,  ess_rws: 1.013283,  ess_what: 1.104517,  ess_where: 1.249754,  density: -5275.284565
