(779s) loss_phi: 86.475881,  loss_theta: 2834.484810,  ess_rws: 1.017804,  ess_mu: 1.062754,  ess_local: 1.110646,  density: -1892.841792
(776s) loss_phi: -46.192802,  loss_theta: 1345.616191,  ess_rws: 1.074184,  ess_mu: 1.218235,  ess_local: 1.280300,  density: -1016.922132
(776s) loss_phi: -67.743413,  loss_theta: 1169.885744,  ess_rws: 1.135537,  ess_mu: 1.582803,  ess_local: 1.372484,  density: -917.809312
(779s) loss_phi: -80.033106,  loss_theta: 1112.460330,  ess_rws: 1.160389,  ess_mu: 1.881745,  ess_local: 1.404009,  density: -884.699170
(775s) loss_phi: -84.718037,  loss_theta: 1092.718544,  ess_rws: 1.178859,  ess_mu: 2.032790,  ess_local: 1.409166,  density: -872.328280
(775s) loss_phi: -86.661083,  loss_theta: 1085.929738,  ess_rws: 1.186033,  ess_mu: 2.113393,  ess_local: 1.414236,  density: -867.497611
(778s) loss_phi: -87.938215,  loss_theta: 1081.911572,  ess_rws: 1.194846,  ess_mu: 2.140654,  ess_local: 1.436752,  density: -864.735191
(777s) loss_phi: -88.973505,  loss_theta: 1079.061748,  ess_rws: 1.199077,  ess_mu: 2.166842,  ess_local: 1.432990,  density: -862.728591
(776s) loss_phi: -89.960580,  loss_theta: 1076.495887,  ess_rws: 1.204815,  ess_mu: 2.185813,  ess_local: 1.439150,  density: -860.698703
(776s) loss_phi: -90.848625,  loss_theta: 1074.179943,  ess_rws: 1.203665,  ess_mu: 2.184606,  ess_local: 1.454531,  density: -859.039980
(776s) loss_phi: -91.706687,  loss_theta: 1071.962223,  ess_rws: 1.210745,  ess_mu: 2.185742,  ess_local: 1.454073,  density: -857.382663
(777s) loss_phi: -92.277962,  loss_theta: 1070.970977,  ess_rws: 1.209040,  ess_mu: 2.207035,  ess_local: 1.457151,  density: -856.168935
