(271s) loss_phi: -85.880961,  loss_theta: 169053.752734,  ess_rws: 1.000253,  ess_mu: 1.005348,  ess_local: 1.456524,  density: -112760.169848
(270s) loss_phi: -387.984634,  loss_theta: 31211.040271,  ess_rws: 1.000751,  ess_mu: 1.042259,  ess_local: 2.082976,  density: -24497.092059
(273s) loss_phi: -457.659237,  loss_theta: 25685.711822,  ess_rws: 1.001023,  ess_mu: 1.043898,  ess_local: 2.232557,  density: -20372.044290
(270s) loss_phi: -498.409281,  loss_theta: 20982.750922,  ess_rws: 1.001166,  ess_mu: 1.045624,  ess_local: 2.307670,  density: -17754.847760
(269s) loss_phi: -495.281230,  loss_theta: 26833.880029,  ess_rws: 1.001210,  ess_mu: 1.050123,  ess_local: 2.493318,  density: -20081.648723
(274s) loss_phi: -526.950325,  loss_theta: 18853.152845,  ess_rws: 1.001682,  ess_mu: 1.048888,  ess_local: 2.423033,  density: -16122.457290
(269s) loss_phi: -545.465749,  loss_theta: 19023.444207,  ess_rws: 1.001599,  ess_mu: 1.045353,  ess_local: 2.464319,  density: -16012.376712
(269s) loss_phi: -552.778531,  loss_theta: 18691.880517,  ess_rws: 1.001846,  ess_mu: 1.046832,  ess_local: 2.528248,  density: -15580.681597
(268s) loss_phi: -559.947690,  loss_theta: 18221.616766,  ess_rws: 1.001659,  ess_mu: 1.046104,  ess_local: 2.529334,  density: -15331.852019
(272s) loss_phi: -563.122016,  loss_theta: 21041.610374,  ess_rws: 1.001015,  ess_mu: 1.046069,  ess_local: 2.525902,  density: -16727.297096
(270s) loss_phi: -569.708586,  loss_theta: 17327.512962,  ess_rws: 1.001560,  ess_mu: 1.055660,  ess_local: 2.635339,  density: -14603.333797
(268s) loss_phi: -581.430705,  loss_theta: 16873.126004,  ess_rws: 1.001548,  ess_mu: 1.051465,  ess_local: 2.575864,  density: -14476.193013
(270s) loss_phi: -590.399536,  loss_theta: 16641.254459,  ess_rws: 1.001475,  ess_mu: 1.050663,  ess_local: 2.604747,  density: -14270.832303
(271s) loss_phi: -600.935376,  loss_theta: 16225.567445,  ess_rws: 1.001527,  ess_mu: 1.052426,  ess_local: 2.611121,  density: -14018.525161
(273s) loss_phi: -602.436116,  loss_theta: 16763.838201,  ess_rws: 1.001515,  ess_mu: 1.050621,  ess_local: 2.672490,  density: -14108.868604
(272s) loss_phi: -612.124368,  loss_theta: 16019.729478,  ess_rws: 1.001311,  ess_mu: 1.052973,  ess_local: 2.660787,  density: -13765.954646
