(54s) loss: 58.182599,  ess_rws: 1.215109,  density: -722.057267
(54s) loss: 45.648239,  ess_rws: 1.263222,  density: -600.680712
(55s) loss: 37.624437,  ess_rws: 1.237585,  density: -592.624289
(57s) loss: 34.245702,  ess_rws: 1.218858,  density: -589.186451
(63s) loss: 30.963780,  ess_rws: 1.202061,  density: -589.099018
(55s) loss: 28.078085,  ess_rws: 1.187316,  density: -581.383229
(55s) loss: 26.253952,  ess_rws: 1.177476,  density: -565.168502
(56s) loss: 24.969888,  ess_rws: 1.171671,  density: -547.295878
(52s) loss: 24.378116,  ess_rws: 1.172687,  density: -534.285399
(55s) loss: 24.342560,  ess_rws: 1.176050,  density: -520.848225
(54s) loss: 24.507828,  ess_rws: 1.173694,  density: -506.871713
(55s) loss: 24.855924,  ess_rws: 1.184752,  density: -488.828766
(57s) loss: 26.220577,  ess_rws: 1.208201,  density: -468.114514
(56s) loss: 26.293817,  ess_rws: 1.231318,  density: -445.814788
(56s) loss: 26.260426,  ess_rws: 1.299393,  density: -395.833104
(56s) loss: 24.658536,  ess_rws: 1.667630,  density: -334.872430
(53s) loss: 20.846771,  ess_rws: 2.247894,  density: -308.238858
(53s) loss: 19.683116,  ess_rws: 2.516033,  density: -303.853650
(55s) loss: 19.312321,  ess_rws: 2.624700,  density: -302.613486
(53s) loss: 19.114164,  ess_rws: 2.706975,  density: -301.957444
(53s) loss: 19.020296,  ess_rws: 2.757554,  density: -301.709729
(53s) loss: 18.875635,  ess_rws: 2.802935,  density: -301.397259
(53s) loss: 18.801409,  ess_rws: 2.816369,  density: -301.137281
(54s) loss: 18.831509,  ess_rws: 2.835959,  density: -301.066477
(53s) loss: 18.781234,  ess_rws: 2.861524,  density: -300.865269
(54s) loss: 18.707574,  ess_rws: 2.884083,  density: -300.678418
(53s) loss: 18.781923,  ess_rws: 2.888067,  density: -300.678386
(55s) loss: 18.768720,  ess_rws: 2.912021,  density: -300.533985
(53s) loss: 18.751121,  ess_rws: 2.928800,  density: -300.529412
(54s) loss: 18.769547,  ess_rws: 2.940432,  density: -300.467926
