snr: 0.942286, var: 0.987821
snr: 1.059016, var: 1.169001
snr: 1.097898, var: 1.225283
snr: 1.057325, var: 1.217385
snr: 1.030017, var: 1.201180
snr: 1.008492, var: 1.209464
snr: 0.956421, var: 1.177676
snr: 0.868140, var: 1.152365
snr: 0.806604, var: 1.113053
snr: 0.794406, var: 1.161731
snr: 0.685781, var: 1.107880
snr: 0.680616, var: 1.135602
snr: 0.677075, var: 1.200707
snr: 0.634228, var: 1.175071
snr: 0.594564, var: 1.152580
snr: 0.613039, var: 1.222372
snr: 0.582573, var: 1.184334
snr: 0.538208, var: 1.191254
snr: 0.541971, var: 1.330644
snr: 0.525840, var: 1.145358
snr: 0.485517, var: 1.098048
snr: 0.509163, var: 1.187263
snr: 0.483989, var: 1.203773
snr: 0.505541, var: 1.177112
snr: 0.486952, var: 1.218657
snr: 0.485586, var: 1.134483
snr: 0.541975, var: 1.216902
snr: 0.499673, var: 1.172643
snr: 0.505343, var: 1.187362
snr: 0.491793, var: 1.148696
snr: 0.506269, var: 1.210964
snr: 0.518831, var: 1.264307
snr: 0.536032, var: 1.273561
snr: 0.529129, var: 1.206499
snr: 0.515846, var: 1.243955
snr: 0.504860, var: 1.199932
snr: 0.481412, var: 1.217565
snr: 0.494302, var: 1.164568
snr: 0.494175, var: 1.159706
snr: 0.534515, var: 1.239867
snr: 0.504984, var: 1.130468
snr: 0.495440, var: 1.136440
snr: 0.489116, var: 1.150690
snr: 0.487832, var: 1.114735
snr: 0.455330, var: 1.167230
snr: 0.423674, var: 1.033727
snr: 0.449154, var: 1.130241
snr: 0.441236, var: 1.086028
snr: 0.422013, var: 1.056970
snr: 0.430557, var: 1.081215
snr: 0.400232, var: 1.051256
snr: 0.417190, var: 1.058016
snr: 0.412882, var: 1.061451
snr: 0.430589, var: 1.128255
snr: 0.372917, var: 0.996497
snr: 0.365532, var: 0.924343
snr: 0.385583, var: 0.965387
snr: 0.356172, var: 0.969634
snr: 0.365421, var: 1.024563
snr: 0.387661, var: 1.039742
snr: 0.393545, var: 1.005287
snr: 0.436025, var: 1.097963
snr: 0.394904, var: 0.964589
snr: 0.400085, var: 0.972557
snr: 0.412384, var: 0.996715
snr: 0.398749, var: 0.994253
snr: 0.375294, var: 0.905766
snr: 0.397162, var: 1.021866
snr: 0.394388, var: 0.973958
snr: 0.404742, var: 1.014997
snr: 0.391195, var: 0.933410
snr: 0.396212, var: 0.966211
snr: 0.393506, var: 0.922354
snr: 0.413047, var: 0.986909
snr: 0.400655, var: 0.969860
snr: 0.391874, var: 0.990847
snr: 0.399427, var: 0.981768
snr: 0.398949, var: 0.950990
snr: 0.394047, var: 0.885313
snr: 0.425163, var: 0.905539
snr: 0.425895, var: 0.918144
snr: 0.419979, var: 0.916978
snr: 0.396169, var: 0.916611
snr: 0.421111, var: 0.970843
snr: 0.419022, var: 0.964550
snr: 0.428233, var: 0.975025
snr: 0.454306, var: 1.000213
snr: 0.457299, var: 0.999192
snr: 0.447212, var: 0.994138
snr: 0.435318, var: 1.008556
snr: 0.425329, var: 0.952123
snr: 0.413994, var: 0.911983
snr: 0.441872, var: 0.941648
snr: 0.431220, var: 0.857224
snr: 0.435364, var: 0.898180
snr: 0.473349, var: 0.926063
snr: 0.461410, var: 1.022367
snr: 0.466683, var: 0.979199
snr: 0.477078, var: 0.963559
snr: 0.457796, var: 0.919894
snr: 0.470194, var: 0.910583
snr: 0.503103, var: 0.971351
snr: 0.494715, var: 0.917917
snr: 0.485707, var: 0.889646
snr: 0.449817, var: 0.853684
snr: 0.480261, var: 0.962903
snr: 0.465275, var: 0.950520
snr: 0.483967, var: 0.900412
snr: 0.476234, var: 0.970098
snr: 0.458273, var: 0.870700
snr: 0.465873, var: 0.853374
snr: 0.449756, var: 0.881486
snr: 0.441926, var: 0.847253
snr: 0.511057, var: 0.888199
snr: 0.494428, var: 0.826334
snr: 0.483425, var: 0.885482
snr: 0.493088, var: 0.923048
snr: 0.491595, var: 0.942860
snr: 0.474839, var: 0.907434
snr: 0.518713, var: 0.924948
snr: 0.534739, var: 1.001200
snr: 0.502741, var: 0.890434
snr: 0.479502, var: 0.884094
snr: 0.485133, var: 0.878911
snr: 0.512052, var: 0.943797
snr: 0.525889, var: 0.996855
snr: 0.515270, var: 0.904560
snr: 0.499538, var: 0.898304
snr: 0.509879, var: 0.871081
snr: 0.512650, var: 0.928592
snr: 0.526688, var: 0.967744
snr: 0.511421, var: 0.905325
snr: 0.527577, var: 0.915708
snr: 0.537233, var: 0.939405
snr: 0.526757, var: 0.901439
snr: 0.551131, var: 0.941263
snr: 0.554199, var: 0.975115
snr: 0.501803, var: 0.905505
snr: 0.522938, var: 0.869215
snr: 0.518160, var: 0.888703
snr: 0.508350, var: 0.866860
snr: 0.526993, var: 0.873472
snr: 0.530915, var: 0.900896
snr: 0.548828, var: 0.892876
snr: 0.556006, var: 0.891376
snr: 0.559711, var: 0.900717
snr: 0.586223, var: 0.963726
snr: 0.556677, var: 0.891071
snr: 0.558325, var: 0.874217
snr: 0.539234, var: 0.848193
snr: 0.564883, var: 0.884066
snr: 0.568335, var: 0.917278
snr: 0.579036, var: 0.926469
snr: 0.582903, var: 0.953186
snr: 0.598603, var: 0.929480
snr: 0.576684, var: 0.929171
snr: 0.561577, var: 0.886211
snr: 0.574372, var: 0.937353
snr: 0.535951, var: 0.915061
snr: 0.551261, var: 0.903822
snr: 0.540691, var: 0.948316
snr: 0.590688, var: 0.964840
snr: 0.562965, var: 0.906144
snr: 0.558446, var: 0.917820
snr: 0.570885, var: 0.891530
snr: 0.589535, var: 0.921212
snr: 0.623002, var: 0.962761
snr: 0.630638, var: 0.978299
snr: 0.601497, var: 0.960501
snr: 0.587233, var: 0.946251
snr: 0.595586, var: 0.933894
snr: 0.571943, var: 0.882155
snr: 0.553607, var: 0.887286
snr: 0.572125, var: 0.908899
snr: 0.569176, var: 0.872046
snr: 0.573649, var: 0.852546
