time:17, inckl:96.540727
time:40, inckl:220.362076
time:61, inckl:248.794086
time:83, inckl:253.685184
time:105, inckl:259.164483
time:126, inckl:225.067682
time:146, inckl:196.606874
time:167, inckl:168.027275
time:187, inckl:156.274551
time:208, inckl:158.008571
time:229, inckl:177.250186
time:250, inckl:200.100090
time:272, inckl:200.283031
time:293, inckl:204.427223
time:313, inckl:212.222071
time:335, inckl:202.395625
time:356, inckl:198.872682
time:377, inckl:196.477738
time:399, inckl:179.261851
time:420, inckl:167.095554
time:440, inckl:159.793553
time:460, inckl:143.610902
time:481, inckl:138.681834
time:502, inckl:125.905541
time:524, inckl:122.399881
time:545, inckl:114.976285
time:566, inckl:100.526545
time:588, inckl:99.078955
time:609, inckl:92.174494
time:629, inckl:77.962695
time:650, inckl:74.298295
time:671, inckl:70.682849
time:692, inckl:68.410757
time:713, inckl:60.417841
time:733, inckl:60.128237
time:754, inckl:53.002310
time:775, inckl:49.658393
time:796, inckl:49.944500
time:818, inckl:51.244230
time:839, inckl:47.504356
time:860, inckl:43.700426
time:882, inckl:39.820401
time:904, inckl:35.828901
time:924, inckl:35.315633
time:945, inckl:35.862569
time:966, inckl:33.673028
time:987, inckl:26.316046
time:1009, inckl:27.938084
time:1029, inckl:29.359007
time:1049, inckl:28.994067
time:1071, inckl:28.927817
time:1092, inckl:26.510974
time:1113, inckl:26.848275
time:1136, inckl:23.686682
time:1157, inckl:21.321913
time:1179, inckl:24.293409
time:1200, inckl:21.938694
time:1221, inckl:20.195949
time:1241, inckl:20.369848
time:1263, inckl:20.650072
time:1284, inckl:18.648266
time:1306, inckl:18.953172
time:1328, inckl:20.728169
time:1349, inckl:18.914781
time:1370, inckl:17.693681
time:1392, inckl:18.189172
time:1413, inckl:17.359460
time:1434, inckl:15.787075
time:1456, inckl:18.110046
time:1478, inckl:17.717858
time:1499, inckl:16.346627
time:1521, inckl:16.530157
time:1542, inckl:14.955128
time:1563, inckl:16.453176
time:1584, inckl:14.908830
time:1605, inckl:13.623605
time:1627, inckl:15.469779
time:1648, inckl:15.852117
time:1670, inckl:14.763111
time:1691, inckl:15.669106
time:1713, inckl:13.366540
time:1734, inckl:13.820607
time:1756, inckl:15.189255
time:1778, inckl:11.919345
time:1800, inckl:12.132212
time:1821, inckl:13.964362
time:1843, inckl:11.977802
time:1864, inckl:12.818228
time:1885, inckl:13.505685
time:1907, inckl:11.491960
time:1928, inckl:11.664382
time:1949, inckl:10.366340
time:1971, inckl:11.797353
time:1992, inckl:12.506135
time:2014, inckl:12.262660
time:2035, inckl:11.516512
time:2057, inckl:11.522759
