snr: 1.365401, var: 22.860186, inckl_gen:215.651810
snr: 1.546309, var: 14.988179, inckl_gen:235.100937
snr: 1.512536, var: 12.827861, inckl_gen:278.268158
snr: 1.428696, var: 11.716014, inckl_gen:245.717606
snr: 1.311166, var: 10.155414, inckl_gen:301.326782
snr: 1.195271, var: 9.103752, inckl_gen:415.573730
snr: 1.125197, var: 8.185282, inckl_gen:324.309479
snr: 1.086736, var: 8.253381, inckl_gen:400.327179
snr: 1.076676, var: 8.808671, inckl_gen:383.602875
snr: 1.080514, var: 9.223296, inckl_gen:259.166870
snr: 1.077419, var: 10.422210, inckl_gen:457.007538
snr: 1.074695, var: 10.266684, inckl_gen:326.851501
snr: 1.073349, var: 12.093950, inckl_gen:542.016541
snr: 1.077759, var: 12.696515, inckl_gen:349.539307
snr: 1.076006, var: 13.487252, inckl_gen:256.949097
snr: 1.080659, var: 13.324671, inckl_gen:357.894684
snr: 1.081190, var: 14.366387, inckl_gen:314.548096
snr: 1.078850, var: 14.802588, inckl_gen:429.093018
snr: 1.073722, var: 13.763735, inckl_gen:324.505005
snr: 1.062086, var: 15.407596, inckl_gen:389.511627
snr: 1.054257, var: 14.202435, inckl_gen:463.911133
snr: 1.056563, var: 14.211765, inckl_gen:417.210449
snr: 1.053159, var: 13.999672, inckl_gen:255.365234
snr: 1.056259, var: 14.122914, inckl_gen:381.788635
snr: 1.053979, var: 14.395987, inckl_gen:366.293427
snr: 1.043693, var: 16.916428, inckl_gen:425.278900
snr: 1.044542, var: 14.015614, inckl_gen:473.570129
snr: 1.044081, var: 16.832556, inckl_gen:387.403137
snr: 1.042205, var: 15.434554, inckl_gen:302.877899
snr: 1.042998, var: 15.227345, inckl_gen:295.401398
snr: 1.043129, var: 16.801197, inckl_gen:366.404785
snr: 1.038514, var: 13.877297, inckl_gen:347.598999
snr: 1.037311, var: 13.255906, inckl_gen:366.116272
snr: 1.035817, var: 14.112188, inckl_gen:261.881866
snr: 1.033277, var: 14.403597, inckl_gen:389.861725
snr: 1.032552, var: 14.862329, inckl_gen:282.496521
snr: 1.030803, var: 14.499521, inckl_gen:245.133591
snr: 1.028363, var: 14.248163, inckl_gen:275.102631
snr: 1.028859, var: 14.209475, inckl_gen:282.249725
snr: 1.026100, var: 13.848046, inckl_gen:247.928024
snr: 1.025306, var: 13.853125, inckl_gen:215.397385
snr: 1.024757, var: 13.104739, inckl_gen:315.307129
snr: 1.026721, var: 12.852963, inckl_gen:340.684052
snr: 1.026106, var: 12.287664, inckl_gen:244.235458
snr: 1.026912, var: 12.501652, inckl_gen:278.197418
snr: 1.026455, var: 13.492169, inckl_gen:245.206711
snr: 1.026316, var: 12.503592, inckl_gen:208.625763
snr: 1.029206, var: 12.132770, inckl_gen:218.834717
snr: 1.029575, var: 10.758825, inckl_gen:220.241653
snr: 1.033663, var: 10.337304, inckl_gen:175.216339
snr: 1.042338, var: 10.350953, inckl_gen:223.943344
snr: 1.048288, var: 10.219679, inckl_gen:246.514893
snr: 1.057212, var: 10.271640, inckl_gen:299.673920
snr: 1.066348, var: 10.072648, inckl_gen:327.867767
snr: 1.087594, var: 9.361573, inckl_gen:299.638031
snr: 1.118317, var: 8.726778, inckl_gen:173.782379
snr: 1.137071, var: 8.976597, inckl_gen:157.400223
snr: 1.147530, var: 9.250470, inckl_gen:257.433075
snr: 1.138419, var: 8.620243, inckl_gen:349.572876
snr: 1.130300, var: 9.307926, inckl_gen:276.738281
snr: 1.117467, var: 8.653883, inckl_gen:428.991669
snr: 1.101775, var: 8.254195, inckl_gen:862.293091
snr: 1.115203, var: 8.811383, inckl_gen:353.144928
snr: 1.100392, var: 8.613968, inckl_gen:613.326355
snr: 1.092474, var: 8.162942, inckl_gen:418.148438
snr: 1.097932, var: 8.148354, inckl_gen:89.058525
snr: 1.098132, var: 8.582191, inckl_gen:206.900803
snr: 1.095902, var: 8.966720, inckl_gen:374.975006
snr: 1.085661, var: 8.401196, inckl_gen:568.099426
snr: 1.086569, var: 8.794992, inckl_gen:165.311310
snr: 1.083646, var: 8.937116, inckl_gen:190.436874
snr: 1.095794, var: 7.759065, inckl_gen:160.766724
snr: 1.079321, var: 8.079494, inckl_gen:281.181122
snr: 1.085902, var: 7.939818, inckl_gen:333.914795
snr: 1.097816, var: 7.663326, inckl_gen:308.463501
snr: 1.094297, var: 7.884674, inckl_gen:323.116791
snr: 1.095046, var: 7.548797, inckl_gen:146.803543
snr: 1.096515, var: 7.859703, inckl_gen:263.210754
snr: 1.096271, var: 8.395712, inckl_gen:365.484344
snr: 1.102807, var: 7.449188, inckl_gen:141.215973
snr: 1.102880, var: 7.223588, inckl_gen:171.052856
snr: 1.106753, var: 6.971484, inckl_gen:43.332394
snr: 1.111819, var: 6.783196, inckl_gen:238.403244
snr: 1.111210, var: 6.912307, inckl_gen:74.001320
snr: 1.111052, var: 6.890429, inckl_gen:119.765770
