snr: 3.269577, var: 2.477692, inckl_gen:232.138916, inckl_eta:72.583679, inckl_z:0.555497
snr: 2.635949, var: 1.885634, inckl_gen:298.490326, inckl_eta:76.687584, inckl_z:0.440490
snr: 2.204060, var: 1.515858, inckl_gen:311.726654, inckl_eta:52.891407, inckl_z:0.296427
snr: 2.027595, var: 1.345225, inckl_gen:412.298401, inckl_eta:68.168358, inckl_z:0.264161
snr: 1.780530, var: 1.151498, inckl_gen:406.366272, inckl_eta:67.778038, inckl_z:0.194915
snr: 1.645702, var: 1.023409, inckl_gen:408.043396, inckl_eta:92.497406, inckl_z:0.207073
snr: 1.612209, var: 1.033052, inckl_gen:404.455170, inckl_eta:86.439125, inckl_z:0.180937
snr: 1.631306, var: 1.113154, inckl_gen:476.699036, inckl_eta:172.960327, inckl_z:0.253122
snr: 1.549795, var: 1.100935, inckl_gen:583.182617, inckl_eta:170.028870, inckl_z:0.221286
snr: 1.535836, var: 1.182199, inckl_gen:572.223022, inckl_eta:98.530640, inckl_z:0.180129
snr: 1.593772, var: 1.390538, inckl_gen:650.291504, inckl_eta:145.457489, inckl_z:0.153695
snr: 1.549776, var: 1.378459, inckl_gen:380.454742, inckl_eta:84.359894, inckl_z:0.133579
snr: 1.564478, var: 1.412744, inckl_gen:515.996216, inckl_eta:75.558853, inckl_z:0.158641
snr: 1.541392, var: 1.417489, inckl_gen:364.924896, inckl_eta:82.600021, inckl_z:0.142285
snr: 1.630628, var: 1.589325, inckl_gen:568.385742, inckl_eta:206.123581, inckl_z:0.207407
snr: 1.575169, var: 1.551337, inckl_gen:536.512390, inckl_eta:198.080185, inckl_z:0.200112
snr: 1.583434, var: 1.630326, inckl_gen:589.146912, inckl_eta:179.163681, inckl_z:0.180794
snr: 1.586544, var: 1.747252, inckl_gen:515.151550, inckl_eta:143.817566, inckl_z:0.189133
snr: 1.663469, var: 1.828396, inckl_gen:528.837524, inckl_eta:261.464905, inckl_z:0.220698
snr: 1.602023, var: 1.727339, inckl_gen:506.531464, inckl_eta:140.771469, inckl_z:0.117738
snr: 1.485200, var: 1.712056, inckl_gen:417.403412, inckl_eta:86.732780, inckl_z:0.084893
snr: 1.484523, var: 1.766800, inckl_gen:475.052551, inckl_eta:156.398163, inckl_z:0.084832
snr: 1.462102, var: 1.728003, inckl_gen:415.310028, inckl_eta:105.327568, inckl_z:0.088166
snr: 1.504908, var: 1.877865, inckl_gen:428.805573, inckl_eta:158.681870, inckl_z:0.124636
snr: 1.458344, var: 2.125706, inckl_gen:474.224915, inckl_eta:92.937859, inckl_z:0.058070
snr: 1.461398, var: 2.151585, inckl_gen:396.235077, inckl_eta:145.737823, inckl_z:0.115772
snr: 1.424934, var: 2.022810, inckl_gen:457.993805, inckl_eta:110.655540, inckl_z:0.075582
snr: 1.404722, var: 2.167676, inckl_gen:427.566406, inckl_eta:149.083969, inckl_z:0.149390
snr: 1.341725, var: 2.031885, inckl_gen:315.448578, inckl_eta:61.155567, inckl_z:0.055753
snr: 1.371765, var: 2.153126, inckl_gen:509.327942, inckl_eta:228.517868, inckl_z:0.133404
snr: 1.412854, var: 2.100409, inckl_gen:519.068481, inckl_eta:120.211952, inckl_z:0.069233
snr: 1.370884, var: 2.615303, inckl_gen:299.450531, inckl_eta:123.176247, inckl_z:0.069702
snr: 1.429819, var: 2.626347, inckl_gen:192.673477, inckl_eta:66.783989, inckl_z:0.068283
snr: 1.313748, var: 2.286377, inckl_gen:552.049683, inckl_eta:164.373734, inckl_z:0.103980
snr: 1.366287, var: 2.569183, inckl_gen:294.064331, inckl_eta:58.262280, inckl_z:0.044485
snr: 1.291379, var: 2.001106, inckl_gen:373.784515, inckl_eta:127.620117, inckl_z:0.422987
snr: 1.366633, var: 2.121436, inckl_gen:204.219467, inckl_eta:44.345081, inckl_z:0.027522
snr: 1.343686, var: 1.736007, inckl_gen:338.013153, inckl_eta:81.153259, inckl_z:0.050342
snr: 1.379182, var: 1.931098, inckl_gen:379.740051, inckl_eta:167.605484, inckl_z:0.076106
snr: 1.399273, var: 1.934317, inckl_gen:282.278809, inckl_eta:59.011108, inckl_z:0.035208
snr: 1.363061, var: 1.656668, inckl_gen:177.587006, inckl_eta:42.449684, inckl_z:0.052530
snr: 1.387377, var: 1.494501, inckl_gen:194.869461, inckl_eta:31.447163, inckl_z:0.049792
snr: 1.392544, var: 1.399682, inckl_gen:301.242523, inckl_eta:63.240345, inckl_z:0.095014
snr: 1.495518, var: 1.603907, inckl_gen:206.974319, inckl_eta:19.431162, inckl_z:0.033804
snr: 1.425063, var: 1.440831, inckl_gen:162.969666, inckl_eta:31.372999, inckl_z:0.023677
snr: 1.474052, var: 1.502044, inckl_gen:199.335724, inckl_eta:32.427059, inckl_z:0.052329
snr: 1.481768, var: 1.490572, inckl_gen:258.987701, inckl_eta:31.291412, inckl_z:0.443705
snr: 1.462400, var: 1.260750, inckl_gen:240.183304, inckl_eta:33.926559, inckl_z:0.014231
snr: 1.448337, var: 1.143291, inckl_gen:284.985291, inckl_eta:32.538258, inckl_z:0.044576
snr: 1.439150, var: 1.069586, inckl_gen:174.697357, inckl_eta:26.897751, inckl_z:0.013937
snr: 1.418472, var: 1.064335, inckl_gen:232.959427, inckl_eta:19.692324, inckl_z:0.028548
snr: 1.390853, var: 1.101207, inckl_gen:168.005569, inckl_eta:19.243105, inckl_z:0.311228
snr: 1.492999, var: 1.095453, inckl_gen:143.674728, inckl_eta:14.346286, inckl_z:0.011027
snr: 1.390122, var: 0.992868, inckl_gen:162.645508, inckl_eta:17.987885, inckl_z:0.025158
snr: 1.476642, var: 1.108361, inckl_gen:185.118149, inckl_eta:12.130548, inckl_z:0.023090
snr: 1.374238, var: 0.955467, inckl_gen:86.410393, inckl_eta:9.836165, inckl_z:0.011462
snr: 1.466122, var: 1.059240, inckl_gen:119.102470, inckl_eta:11.604434, inckl_z:0.029612
snr: 1.478623, var: 1.084560, inckl_gen:183.182098, inckl_eta:6.084668, inckl_z:0.061912
snr: 1.489177, var: 1.032204, inckl_gen:149.448395, inckl_eta:11.800753, inckl_z:0.287105
snr: 1.519827, var: 1.049235, inckl_gen:198.771713, inckl_eta:16.128229, inckl_z:0.748358
snr: 1.466526, var: 1.021962, inckl_gen:183.711349, inckl_eta:8.998537, inckl_z:0.223321
snr: 1.407189, var: 0.950593, inckl_gen:153.681030, inckl_eta:6.606088, inckl_z:0.306926
snr: 1.368797, var: 0.876448, inckl_gen:183.482468, inckl_eta:7.098036, inckl_z:0.085477
snr: 1.415899, var: 0.899548, inckl_gen:212.825684, inckl_eta:14.281837, inckl_z:0.359685
snr: 1.437902, var: 0.906736, inckl_gen:119.206200, inckl_eta:6.439773, inckl_z:0.032916
snr: 1.395115, var: 0.900665, inckl_gen:174.501724, inckl_eta:4.249967, inckl_z:0.567726
snr: 1.430945, var: 0.890370, inckl_gen:57.476818, inckl_eta:3.636659, inckl_z:0.350500
snr: 1.440225, var: 0.907679, inckl_gen:165.788071, inckl_eta:2.729149, inckl_z:0.575774
snr: 1.368938, var: 0.806543, inckl_gen:119.264915, inckl_eta:2.013928, inckl_z:1.190181
snr: 1.327483, var: 0.755747, inckl_gen:128.344803, inckl_eta:2.086330, inckl_z:0.079809
snr: 1.297920, var: 0.733615, inckl_gen:73.626854, inckl_eta:1.326698, inckl_z:1.085898
snr: 1.221660, var: 0.642573, inckl_gen:16.610233, inckl_eta:0.601638, inckl_z:0.014722
snr: 1.101775, var: 0.514195, inckl_gen:137.056335, inckl_eta:5.799137, inckl_z:0.134987
snr: 1.086717, var: 0.501492, inckl_gen:30.122852, inckl_eta:0.496135, inckl_z:0.409893
snr: 0.976257, var: 0.393205, inckl_gen:17.978210, inckl_eta:0.237750, inckl_z:0.450455
snr: 0.965976, var: 0.377796, inckl_gen:3.505656, inckl_eta:0.461506, inckl_z:0.061167
snr: 0.920881, var: 0.333343, inckl_gen:121.547997, inckl_eta:0.423933, inckl_z:1.034397
snr: 0.903902, var: 0.321442, inckl_gen:77.013077, inckl_eta:0.161612, inckl_z:0.937104
snr: 0.883516, var: 0.296917, inckl_gen:19.829477, inckl_eta:0.144082, inckl_z:0.182105
snr: 0.854309, var: 0.265154, inckl_gen:10.732244, inckl_eta:0.449195, inckl_z:0.477503
snr: 0.843319, var: 0.265965, inckl_gen:5.346499, inckl_eta:0.090078, inckl_z:0.033853
snr: 0.872446, var: 0.286635, inckl_gen:21.740398, inckl_eta:0.025236, inckl_z:0.226161
snr: 0.827484, var: 0.257152, inckl_gen:4.193586, inckl_eta:0.063427, inckl_z:0.109319
snr: 0.815280, var: 0.225464, inckl_gen:13.061615, inckl_eta:0.024009, inckl_z:0.320803
snr: 0.814273, var: 0.225375, inckl_gen:24.357641, inckl_eta:0.066921, inckl_z:0.339933
snr: 0.813479, var: 0.224472, inckl_gen:8.150864, inckl_eta:0.010765, inckl_z:0.366407
